"area","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","total"
"Amnat Charoen",0,0,0,0,0,3,0,3,11,3,2,1,23
"Ang Thong",0,0,0,0,0,0,1,0,0,0,0,0,1
"Bangkok",5,3,2,2,2,2,9,11,8,4,11,9,68
"Bungkan",0,0,1,2,0,0,0,0,0,0,2,0,5
"Buri Ram",3,3,7,16,8,9,17,6,4,2,0,0,75
"Chachoengsao",1,0,0,0,1,2,4,2,5,5,1,0,21
"Chai Nat",0,0,2,1,0,1,1,0,0,1,0,1,7
"Chaiyaphum",0,0,0,0,7,7,7,5,4,6,3,0,39
"Chanthaburi",0,0,1,0,2,0,2,0,0,1,1,0,7
"Chiang Mai",2,2,0,0,0,1,1,3,1,8,1,3,22
"Chiang Rai",0,0,0,0,0,0,0,3,1,0,0,0,4
"Chon Buri",1,0,0,0,0,0,1,2,3,6,3,0,16
"Chumphon",0,0,0,0,0,1,1,0,1,1,0,2,6
"Kalasin",0,0,0,1,0,0,2,4,6,8,1,2,24
"Kamphaeng Phet",0,1,2,3,3,4,7,2,2,3,1,0,28
"Kanchanaburi",0,1,1,2,2,2,2,6,6,2,0,2,26
"Khon Kaen",1,1,3,4,8,7,5,2,5,2,3,0,41
"Krabi",3,0,1,2,7,8,1,2,3,4,10,5,46
"Lampang",0,0,0,0,0,0,0,0,0,0,0,0,0
"Lamphun",0,0,0,0,0,0,0,0,0,1,0,1,2
"Loei",0,0,1,0,3,2,1,3,1,0,0,1,12
"Lop Buri",0,0,1,0,0,1,1,3,2,0,0,0,8
"Mae Hong Son",0,0,0,0,0,0,1,0,0,1,0,0,2
"Maha Sarakham",0,0,0,0,0,1,1,1,2,0,2,2,9
"Mukdahan",0,1,0,0,1,3,0,1,2,0,1,0,9
"Nakhon Nayok",0,0,0,0,0,0,0,0,0,1,0,0,1
"Nakhon Pathom",0,0,1,0,1,1,0,2,1,0,3,0,9
"Nakhon Phanom",0,0,0,1,2,7,3,6,7,9,10,4,49
"Nakhon Ratchasima",1,4,1,3,8,12,12,15,8,9,15,8,96
"Nakhon Sawan",0,1,0,0,2,2,0,4,0,2,0,1,12
"Nakhon Si Thammarat",2,1,2,5,2,2,7,2,6,7,7,9,52
"Nan",0,0,0,0,0,0,0,0,1,0,0,0,1
"Narathiwat",4,3,0,2,0,0,0,0,0,1,0,0,10
"Nong Bua Lam Phu",0,1,0,0,0,2,6,3,1,0,0,1,14
"Nong Khai",0,0,1,0,1,3,2,1,1,0,0,2,11
"Nonthaburi",0,0,0,0,0,1,0,0,0,3,1,2,7
"P.Nakhon S.Ayutthaya",1,0,0,0,1,1,2,4,12,2,10,1,34
"Pathum Thani",0,0,0,0,0,0,0,0,1,0,0,0,1
"Pattani",0,1,0,0,0,1,0,1,0,1,0,3,7
"Phangnga",1,0,0,2,1,1,1,0,0,0,1,0,7
"Phatthalung",1,0,0,0,0,4,0,1,5,5,4,5,25
"Phayao",0,0,0,1,0,1,0,0,0,0,0,0,2
"Phetchabun",0,0,0,0,2,2,1,1,0,0,1,1,8
"Phetchaburi",1,1,1,1,2,1,4,2,0,0,0,0,13
"Phichit",2,0,0,0,0,0,0,0,0,2,0,0,4
"Phitsanulok",0,1,1,1,1,4,2,3,0,0,1,0,14
"Phrae",0,0,0,1,2,4,3,0,1,2,1,0,14
"Phuket",1,1,0,1,0,3,0,0,0,0,0,0,6
"Prachin Buri",0,0,0,2,0,1,2,0,0,0,0,0,5
"Prachuap Khiri Khan",0,0,1,0,2,0,1,0,0,0,0,1,5
"Ranong",0,0,0,0,0,0,0,0,0,0,0,0,0
"Ratchaburi",4,2,0,1,1,1,1,2,0,0,1,0,13
"Rayong",1,0,0,4,1,0,4,0,0,0,0,0,10
"Roi Et",0,0,0,0,1,4,2,2,3,6,7,7,32
"Sa Kaeo",0,1,1,0,1,1,3,3,2,7,4,2,25
"Sakon Nakhon",0,0,0,0,0,0,0,0,0,1,0,0,1
"Samut Prakan",0,0,0,0,0,0,0,0,0,0,0,0,0
"Samut Sakhon",0,0,0,1,0,0,0,0,1,1,0,0,3
"Samut Songkhram",2,1,0,0,0,0,0,0,0,2,0,1,6
"Saraburi",1,1,0,0,0,1,0,3,0,2,1,2,11
"Satun",0,1,0,0,3,0,0,0,0,0,0,0,4
"Si Sa Ket",0,0,0,0,6,8,9,7,1,1,1,1,34
"Sing Buri",0,0,0,0,0,0,0,0,0,0,0,0,0
"Songkhla",2,1,1,1,1,6,3,4,0,5,3,4,31
"Sukhothai",0,0,0,1,0,0,0,0,3,0,0,0,4
"Suphan Buri",1,4,0,1,0,0,0,2,3,2,3,3,19
"Surat Thani",2,0,1,1,3,3,2,4,4,4,9,4,37
"Surin",0,0,1,1,1,9,29,6,10,3,1,0,61
"Tak",0,0,1,1,0,7,1,0,1,0,1,0,12
"Trang",1,0,0,1,1,1,0,0,1,0,0,2,7
"Trat",1,1,0,0,0,0,1,2,0,0,0,0,5
"Ubon Ratchathani",0,0,0,0,0,9,2,5,7,10,7,3,43
"Udon Thani",0,0,0,1,2,2,0,1,2,2,2,0,12
"Uthai Thani",0,0,0,2,0,0,0,0,0,1,1,0,4
"Uttaradit",0,0,0,0,0,1,0,0,0,0,0,0,1
"Yala",0,0,0,0,1,0,0,1,1,0,1,0,4
"Yasothon",0,0,0,0,2,2,19,22,7,0,2,0,54
