"area","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","total"
"Amnat Charoen",0,0,0,0,0,0,1,1,0,0,0,0,2
"Ang Thong",0,0,0,1,0,0,0,0,0,1,0,0,2
"Bangkok",1,0,0,0,0,1,0,1,0,0,0,0,3
"Bungkan",0,0,0,1,2,4,2,0,1,0,0,0,10
"Buri Ram",1,2,0,1,2,1,6,2,2,0,0,0,17
"Chachoengsao",0,0,1,0,1,0,2,0,0,1,0,0,5
"Chai Nat",0,0,1,0,0,0,1,0,0,0,0,0,2
"Chaiyaphum",0,0,1,3,5,5,2,2,0,0,0,0,18
"Chanthaburi",0,0,0,1,2,0,0,0,0,0,0,0,3
"Chiang Mai",2,2,0,0,5,5,2,11,5,6,1,0,39
"Chiang Rai",0,0,0,0,0,1,1,2,0,1,1,0,6
"Chon Buri",1,0,1,0,0,2,1,0,3,1,1,0,10
"Chumphon",1,0,1,0,1,3,0,1,0,2,0,1,10
"Kalasin",1,0,0,0,1,1,0,0,1,0,0,0,4
"Kamphaeng Phet",0,0,0,1,0,0,0,0,0,1,0,0,2
"Kanchanaburi",0,0,0,0,0,1,2,0,0,2,2,1,8
"Khon Kaen",1,0,2,3,2,3,2,3,0,0,0,0,16
"Krabi",0,0,0,0,1,1,0,2,0,0,0,0,4
"Lampang",0,0,0,0,0,1,0,2,0,1,0,0,4
"Lamphun",0,0,0,0,0,0,0,0,0,0,0,0,0
"Loei",1,0,0,0,0,1,1,0,0,0,0,0,3
"Lop Buri",1,0,0,0,0,0,1,0,1,0,0,0,3
"Mae Hong Son",0,0,0,0,0,0,1,2,1,2,0,0,6
"Maha Sarakham",0,0,0,1,3,0,1,3,1,0,0,0,9
"Mukdahan",0,0,0,0,0,0,0,0,0,0,0,0,0
"Nakhon Nayok",0,0,0,0,0,0,0,0,0,0,0,0,0
"Nakhon Pathom",0,0,0,0,0,0,1,1,0,0,1,0,3
"Nakhon Phanom",0,0,0,0,0,1,2,0,0,0,0,0,3
"Nakhon Ratchasima",4,1,3,2,4,7,7,7,2,2,0,0,39
"Nakhon Sawan",0,0,0,0,0,0,1,0,0,0,0,0,1
"Nakhon Si Thammarat",4,2,0,1,0,4,5,5,0,1,0,0,22
"Nan",0,0,0,0,0,0,0,1,0,0,0,0,1
"Narathiwat",0,1,1,0,0,0,2,3,0,1,1,0,9
"Nong Bua Lam Phu",0,0,0,1,3,2,2,0,0,0,0,0,8
"Nong Khai",1,0,0,1,1,0,1,0,0,0,0,0,4
"Nonthaburi",0,0,0,1,0,0,1,1,0,1,0,1,5
"P.Nakhon S.Ayutthaya",0,0,1,0,0,0,1,0,1,1,1,0,5
"Pathum Thani",0,0,0,0,0,0,1,0,0,0,0,0,1
"Pattani",3,1,1,1,0,3,5,3,1,1,0,0,19
"Phangnga",0,0,0,0,2,1,2,0,0,0,0,0,5
"Phatthalung",0,1,0,1,0,0,4,0,1,1,1,0,9
"Phayao",0,0,0,0,0,0,1,1,0,0,0,0,2
"Phetchabun",0,0,0,0,0,1,4,1,0,0,0,0,6
"Phetchaburi",0,0,0,1,0,0,0,1,0,0,1,0,3
"Phichit",0,0,0,0,0,0,0,1,0,0,0,0,1
"Phitsanulok",0,0,0,1,1,3,0,1,1,1,0,0,8
"Phrae",0,0,0,0,0,0,0,0,0,0,0,0,0
"Phuket",1,0,0,0,0,1,0,0,1,0,0,0,3
"Prachin Buri",0,0,0,0,0,3,0,1,1,1,0,0,6
"Prachuap Khiri Khan",0,0,0,0,0,0,0,0,0,0,0,0,0
"Ranong",0,0,0,0,1,0,0,2,1,2,0,0,6
"Ratchaburi",1,0,0,0,0,1,0,0,3,0,0,0,5
"Rayong",0,0,1,0,0,1,2,0,1,1,0,0,6
"Roi Et",0,1,0,1,2,6,5,3,3,0,1,0,22
"Sa Kaeo",3,0,0,2,0,0,2,2,0,0,0,0,9
"Sakon Nakhon",0,0,1,0,1,0,2,0,0,0,0,0,4
"Samut Prakan",2,3,0,2,0,0,1,3,2,5,0,1,19
"Samut Sakhon",0,0,1,0,0,1,0,0,0,1,0,0,3
"Samut Songkhram",0,0,0,0,0,0,0,0,0,0,0,0,0
"Saraburi",0,0,0,1,0,0,0,2,1,3,0,0,7
"Satun",0,0,0,0,0,0,0,0,0,0,0,0,0
"Si Sa Ket",1,0,1,1,2,0,3,3,3,1,0,0,15
"Sing Buri",0,0,0,0,0,0,0,0,1,0,0,0,1
"Songkhla",0,0,4,0,2,6,0,4,1,0,2,0,19
"Sukhothai",0,0,0,0,0,0,0,3,0,0,0,0,3
"Suphan Buri",1,4,0,1,0,0,9,2,2,1,1,0,21
"Surat Thani",0,0,0,0,0,1,0,5,1,1,1,0,9
"Surin",0,2,0,1,0,0,2,4,1,3,0,0,13
"Tak",0,1,0,0,2,1,0,3,0,0,0,1,8
"Trang",0,0,0,0,0,0,2,1,0,0,0,0,3
"Trat",0,0,0,0,0,0,0,0,0,0,0,0,0
"Ubon Ratchathani",0,1,1,2,0,2,3,1,0,0,0,0,10
"Udon Thani",0,1,0,2,0,1,2,2,1,0,0,0,9
"Uthai Thani",0,0,0,0,0,0,0,1,0,0,0,0,1
"Uttaradit",0,0,0,0,0,0,1,1,0,0,0,0,2
"Yala",0,0,0,0,0,3,0,0,1,0,0,0,4
"Yasothon",0,1,0,1,0,1,1,0,0,0,0,0,4
