"area","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","total"
"Amnat Charoen",1,0,0,0,0,2,1,2,0,0,0,0,6
"Ang Thong",0,0,0,0,0,0,2,0,0,0,0,0,2
"Bangkok",1,0,1,0,1,2,6,5,3,2,6,5,32
"Bungkan",0,0,0,0,2,0,1,0,0,0,1,0,4
"Buri Ram",0,0,1,1,0,0,1,2,0,0,1,0,6
"Chachoengsao",0,0,0,0,0,0,0,2,2,1,0,1,6
"Chai Nat",0,0,1,0,0,1,0,0,0,1,0,0,3
"Chaiyaphum",0,0,1,1,0,1,0,1,0,1,1,0,6
"Chanthaburi",0,0,0,0,0,0,0,0,0,0,0,0,0
"Chiang Mai",0,1,0,0,1,2,5,2,2,0,1,0,14
"Chiang Rai",0,0,0,0,0,1,0,0,1,1,0,0,3
"Chon Buri",0,0,0,1,0,0,3,2,2,0,1,1,10
"Chumphon",0,0,3,1,1,0,0,1,1,1,2,0,10
"Kalasin",0,1,0,0,0,3,1,1,1,0,0,0,7
"Kamphaeng Phet",0,1,0,0,0,0,1,2,3,0,0,0,7
"Kanchanaburi",0,0,0,0,0,1,0,0,0,0,1,0,2
"Khon Kaen",0,1,1,1,0,1,3,2,1,1,2,0,13
"Krabi",1,0,0,2,1,3,0,1,2,2,2,1,15
"Lampang",0,0,0,0,0,0,0,0,0,0,0,0,0
"Lamphun",0,0,0,0,0,0,0,0,0,0,0,0,0
"Loei",0,0,0,0,1,2,1,0,2,0,1,0,7
"Lop Buri",0,1,0,0,0,1,0,0,0,0,0,0,2
"Mae Hong Son",0,0,0,0,0,0,2,0,0,1,0,1,4
"Maha Sarakham",0,0,0,1,3,2,1,2,2,0,1,0,12
"Mukdahan",1,0,0,1,1,0,0,0,0,0,0,0,3
"Nakhon Nayok",0,0,0,0,0,0,0,0,0,0,0,0,0
"Nakhon Pathom",0,0,0,1,1,0,1,1,4,2,0,1,11
"Nakhon Phanom",0,0,1,0,2,0,0,0,1,0,0,0,4
"Nakhon Ratchasima",1,1,0,0,0,3,5,8,2,2,0,0,22
"Nakhon Sawan",0,0,0,0,0,0,0,0,1,0,1,0,2
"Nakhon Si Thammarat",0,2,1,1,1,1,3,6,2,1,0,5,23
"Nan",0,0,0,0,0,1,1,1,1,0,0,0,4
"Narathiwat",6,4,2,2,2,4,2,2,0,0,0,0,24
"Nong Bua Lam Phu",0,0,0,0,0,0,2,1,0,0,0,0,3
"Nong Khai",0,0,0,0,0,1,1,1,0,0,0,0,3
"Nonthaburi",0,1,1,1,3,1,2,2,2,4,0,1,18
"P.Nakhon S.Ayutthaya",0,0,0,0,1,0,1,0,0,0,2,2,6
"Pathum Thani",2,0,2,0,0,0,1,0,0,0,0,0,5
"Pattani",4,0,1,2,0,0,1,0,1,0,0,0,9
"Phangnga",0,0,0,0,0,0,2,2,2,1,1,6,14
"Phatthalung",2,1,0,2,3,4,2,2,1,1,1,0,19
"Phayao",0,0,0,0,0,0,0,0,0,0,0,0,0
"Phetchabun",0,0,0,0,0,2,0,1,3,1,0,0,7
"Phetchaburi",0,0,1,0,2,1,2,2,2,2,4,1,17
"Phichit",0,0,0,1,0,0,0,0,1,0,0,0,2
"Phitsanulok",0,0,0,0,0,2,1,1,0,0,0,0,4
"Phrae",0,0,0,0,0,0,0,0,0,0,0,0,0
"Phuket",0,3,0,2,2,0,1,0,0,2,2,0,12
"Prachin Buri",0,0,0,0,0,0,0,0,0,0,0,0,0
"Prachuap Khiri Khan",1,1,1,1,0,0,0,1,1,1,0,1,8
"Ranong",0,0,0,0,0,0,0,0,0,0,0,0,0
"Ratchaburi",0,0,0,0,0,1,0,0,0,0,1,2,4
"Rayong",0,0,0,0,1,1,0,0,0,0,0,0,2
"Roi Et",0,0,1,1,1,0,0,0,0,0,1,0,4
"Sa Kaeo",0,0,0,0,1,1,3,1,1,0,0,0,7
"Sakon Nakhon",1,0,0,0,1,2,1,2,0,1,0,0,8
"Samut Prakan",1,1,2,0,2,1,1,4,5,0,2,1,20
"Samut Sakhon",0,0,0,0,0,0,2,1,0,0,0,0,3
"Samut Songkhram",0,0,0,0,0,0,0,0,0,1,0,0,1
"Saraburi",3,0,0,0,0,1,0,0,0,0,0,0,4
"Satun",0,0,1,0,0,0,0,0,0,1,0,0,2
"Si Sa Ket",0,0,0,0,0,0,0,0,0,0,0,0,0
"Sing Buri",0,0,0,0,0,0,0,0,0,0,0,0,0
"Songkhla",15,9,7,3,3,7,4,3,0,3,2,1,57
"Sukhothai",0,0,0,0,0,1,0,0,0,0,0,0,1
"Suphan Buri",0,0,0,0,1,1,2,1,0,0,0,1,6
"Surat Thani",8,4,2,1,6,3,1,1,1,2,1,2,32
"Surin",0,1,0,2,5,2,3,4,1,0,0,0,18
"Tak",0,0,1,0,0,1,2,1,2,1,1,1,10
"Trang",0,0,0,0,0,0,1,1,0,0,0,0,2
"Trat",0,0,0,0,0,0,0,0,0,0,0,0,0
"Ubon Ratchathani",0,0,0,0,4,5,8,1,2,2,0,1,23
"Udon Thani",0,0,0,0,0,1,2,3,0,1,0,0,7
"Uthai Thani",0,1,0,0,0,0,0,0,0,0,0,0,1
"Uttaradit",0,0,0,0,0,0,0,0,0,0,0,0,0
"Yala",2,2,0,0,1,0,0,1,0,1,0,0,7
"Yasothon",0,0,0,0,0,0,0,0,0,0,0,0,0
