"area","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","total"
"Amnat Charoen",0,0,0,0,0,0,3,0,2,3,10,5,23
"Ang Thong",0,0,0,0,1,0,1,1,0,1,1,0,5
"Bangkok",0,4,1,4,2,6,6,5,8,10,15,5,66
"Bungkan",0,0,0,0,0,2,1,2,2,1,3,0,11
"Buri Ram",0,0,0,0,2,1,2,4,1,0,0,0,10
"Chachoengsao",0,2,1,0,1,0,4,2,2,1,1,2,16
"Chai Nat",0,0,0,0,0,0,1,0,0,0,0,0,1
"Chaiyaphum",0,1,0,1,2,6,9,13,5,13,2,1,53
"Chanthaburi",0,0,0,0,1,1,0,1,1,1,2,1,8
"Chiang Mai",0,0,0,0,0,1,0,0,3,1,0,0,5
"Chiang Rai",0,0,0,0,3,4,0,1,1,1,3,1,14
"Chon Buri",1,0,0,0,3,0,6,3,1,0,2,0,16
"Chumphon",1,0,4,0,1,2,6,4,0,1,0,0,19
"Kalasin",0,0,0,3,2,3,3,0,4,6,1,0,22
"Kamphaeng Phet",0,0,0,1,1,3,1,1,4,5,0,2,18
"Kanchanaburi",1,2,1,1,0,1,4,3,1,2,7,1,24
"Khon Kaen",0,0,0,1,4,3,11,6,7,14,6,5,57
"Krabi",5,2,2,1,1,5,3,5,9,3,5,1,42
"Lampang",0,0,0,0,1,1,0,3,0,0,1,0,6
"Lamphun",0,0,0,0,0,0,1,0,0,1,0,0,2
"Loei",0,0,0,1,2,3,1,2,2,1,0,2,14
"Lop Buri",0,1,0,1,1,1,1,2,1,0,5,2,15
"Mae Hong Son",0,0,0,0,0,0,3,5,2,0,1,0,11
"Maha Sarakham",0,0,0,2,6,1,3,7,4,3,2,2,30
"Mukdahan",0,0,0,0,2,3,1,1,1,0,0,1,9
"Nakhon Nayok",0,0,0,0,0,0,1,0,0,1,0,0,2
"Nakhon Pathom",0,0,1,0,1,3,1,10,13,5,3,1,38
"Nakhon Phanom",0,0,0,1,1,3,3,6,3,3,0,0,20
"Nakhon Ratchasima",1,1,2,0,8,6,8,15,21,12,11,3,88
"Nakhon Sawan",0,0,0,0,1,0,1,5,1,4,3,2,17
"Nakhon Si Thammarat",4,1,0,0,2,4,1,4,0,1,8,19,44
"Nan",0,0,0,0,0,0,2,0,1,0,0,1,4
"Narathiwat",1,3,0,0,2,0,2,1,0,0,3,0,12
"Nong Bua Lam Phu",0,0,0,0,1,1,1,1,0,0,2,0,6
"Nong Khai",0,0,0,0,0,0,3,0,0,1,0,0,4
"Nonthaburi",0,0,0,0,0,0,0,2,3,2,0,1,8
"P.Nakhon S.Ayutthaya",0,0,0,0,1,1,1,0,2,1,1,1,8
"Pathum Thani",1,1,0,0,1,1,2,1,5,4,2,2,20
"Pattani",1,0,1,0,1,0,1,0,2,1,1,1,9
"Phangnga",1,0,0,1,0,1,1,0,0,0,0,0,4
"Phatthalung",0,1,0,0,0,0,1,0,0,1,1,0,4
"Phayao",0,0,0,0,0,0,2,0,0,0,0,0,2
"Phetchabun",0,0,0,0,0,0,2,4,2,3,1,0,12
"Phetchaburi",0,1,0,1,1,2,6,6,3,5,4,0,29
"Phichit",0,0,0,0,1,1,0,1,1,0,2,2,8
"Phitsanulok",0,0,0,0,0,3,4,6,1,2,1,3,20
"Phrae",0,0,0,0,1,1,3,4,0,0,0,0,9
"Phuket",1,0,0,0,0,0,0,1,0,0,2,0,4
"Prachin Buri",0,0,1,0,0,2,1,1,1,0,2,0,8
"Prachuap Khiri Khan",0,0,1,2,2,4,0,2,6,3,3,2,25
"Ranong",0,0,0,0,0,1,0,0,0,0,0,1,2
"Ratchaburi",0,0,4,1,2,4,7,14,4,2,4,1,43
"Rayong",0,3,0,1,2,2,5,4,4,3,1,0,25
"Roi Et",0,1,0,1,2,1,4,1,4,6,3,4,27
"Sa Kaeo",1,0,0,0,0,1,2,3,2,0,0,0,9
"Sakon Nakhon",0,0,0,1,2,2,5,1,2,1,0,3,17
"Samut Prakan",9,5,3,4,11,1,2,6,2,10,8,4,65
"Samut Sakhon",0,0,0,0,0,1,0,0,1,3,1,0,6
"Samut Songkhram",0,1,0,1,0,0,0,0,1,0,0,0,3
"Saraburi",2,2,3,1,3,5,3,4,4,4,4,1,36
"Satun",0,0,0,1,0,1,0,1,1,0,0,0,4
"Si Sa Ket",0,0,0,0,0,2,1,1,2,0,3,1,10
"Sing Buri",0,0,0,0,0,0,0,0,0,0,0,0,0
"Songkhla",1,0,2,3,1,1,6,5,1,2,3,1,26
"Sukhothai",0,1,1,1,0,1,1,0,0,0,0,0,5
"Suphan Buri",2,1,1,1,1,0,1,0,0,5,1,0,13
"Surat Thani",5,0,0,0,1,2,1,2,3,4,4,1,23
"Surin",0,1,1,0,2,3,1,15,3,3,4,0,33
"Tak",0,0,0,0,2,3,6,0,4,3,0,1,19
"Trang",0,0,0,0,0,2,0,1,0,1,0,2,6
"Trat",0,0,0,1,1,0,3,1,5,1,1,0,13
"Ubon Ratchathani",0,1,1,1,1,5,5,22,9,3,6,5,59
"Udon Thani",0,0,0,0,0,1,1,1,0,0,3,1,7
"Uthai Thani",0,0,0,0,0,1,1,0,0,1,1,0,4
"Uttaradit",0,0,0,0,0,0,1,1,0,0,0,0,2
"Yala",0,0,0,0,0,0,0,0,0,0,0,0,0
"Yasothon",1,0,0,0,0,1,7,9,5,4,4,1,32
