"area","<28days","<1yr","1+","2+","3+","4+","5+","6+","7-9","10-14","15-24","25-34","35-44","45-54","55-64","65+","unknown","year"
"Amnat Charoen",0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,2011
"Ang Thong",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2011
"Bangkok",0,3,1,1,1,1,4,2,9,22,15,7,1,3,1,1,0,2011
"Bungkan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
"Buri Ram",0,3,0,1,5,3,6,7,29,47,28,9,9,2,3,0,0,2011
"Chachoengsao",0,0,0,1,0,0,0,2,3,5,8,5,2,1,1,0,0,2011
"Chai Nat",0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2011
"Chaiyaphum",0,1,0,0,0,3,1,2,8,7,3,1,1,1,0,0,0,2011
"Chanthaburi",0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,2011
"Chiang Mai",0,0,2,0,0,0,0,0,4,8,11,13,11,5,4,1,0,2011
"Chiang Rai",0,0,0,0,0,0,0,0,1,3,0,1,0,1,1,0,0,2011
"Chon Buri",0,0,0,0,0,2,0,2,2,3,1,4,0,0,0,0,0,2011
"Chumphon",0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2011
"Kalasin",0,0,0,0,1,0,1,1,7,5,5,2,0,0,0,0,0,2011
"Kamphaeng Phet",0,0,0,0,2,1,1,0,9,20,25,8,4,2,1,3,0,2011
"Kanchanaburi",0,0,0,0,0,2,4,7,5,22,1,7,2,1,0,0,0,2011
"Khon Kaen",0,0,0,0,3,0,2,1,9,15,5,4,1,0,1,0,0,2011
"Krabi",0,0,1,0,0,0,0,1,1,5,7,0,1,0,0,0,0,2011
"Lampang",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2011
"Lamphun",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2011
"Loei",0,0,0,0,0,0,0,2,0,2,4,1,0,0,0,0,0,2011
"Lop Buri",0,0,0,0,1,0,2,4,6,9,10,4,1,0,0,0,0,2011
"Mae Hong Son",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2011
"Maha Sarakham",0,0,0,0,0,1,0,1,1,5,1,1,0,0,0,0,0,2011
"Mukdahan",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2011
"Nakhon Nayok",0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2011
"Nakhon Pathom",0,0,0,0,1,0,2,2,1,3,3,2,0,0,0,0,0,2011
"Nakhon Phanom",0,1,0,0,0,0,0,1,7,8,2,2,0,0,0,0,0,2011
"Nakhon Ratchasima",0,0,0,0,2,1,6,3,22,36,11,4,3,0,0,0,0,2011
"Nakhon Sawan",0,0,0,0,0,0,1,1,3,4,2,1,1,0,0,0,0,2011
"Nakhon Si Thammarat",0,0,1,2,1,0,2,1,4,4,2,1,1,0,1,0,0,2011
"Nan",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2011
"Narathiwat",0,0,1,0,0,0,1,1,0,1,5,1,0,0,0,0,0,2011
"Nong Bua Lam Phu",0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,2011
"Nong Khai",0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,2011
