"area","<28days","<1yr","1+","2+","3+","4+","5+","6+","7-9","10-14","15-24","25-34","35-44","45-54","55-64","65+","unknown","year"
"Amnat Charoen",0,0,0,0,0,0,1,0,2,3,8,3,1,2,1,2,0,2015
"Ang Thong",0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,2015
"Bangkok",0,2,0,1,1,1,1,0,9,11,10,14,10,3,2,1,0,2015
"Bungkan",0,1,0,0,0,0,1,0,0,1,2,3,2,1,0,0,0,2015
"Buri Ram",0,0,1,0,0,1,0,0,0,4,1,3,0,0,0,0,0,2015
"Chachoengsao",0,0,0,0,0,0,0,1,1,2,1,4,5,2,0,0,0,2015
"Chai Nat",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2015
"Chaiyaphum",0,0,1,1,0,0,4,1,4,16,17,2,1,5,1,0,0,2015
"Chanthaburi",0,0,0,0,0,0,0,0,1,1,3,2,1,0,0,0,0,2015
"Chiang Mai",0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,2015
"Chiang Rai",0,0,0,0,0,0,0,0,1,2,2,1,1,3,4,0,0,2015
"Chon Buri",0,0,0,0,0,0,0,0,0,6,3,2,4,1,0,0,0,2015
"Chumphon",0,0,1,0,1,1,0,1,1,4,4,5,1,0,0,0,0,2015
"Kalasin",0,1,0,0,0,0,0,0,7,7,6,1,0,0,0,0,0,2015
"Kamphaeng Phet",0,0,0,0,1,0,0,0,2,8,3,1,1,2,0,0,0,2015
"Kanchanaburi",0,1,0,0,0,2,0,0,3,7,7,2,1,1,0,0,0,2015
"Khon Kaen",0,0,0,0,0,0,0,5,5,20,23,3,1,0,0,0,0,2015
"Krabi",0,1,1,1,2,0,2,0,8,10,10,5,1,1,0,0,0,2015
"Lampang",0,0,0,0,0,0,0,0,1,1,3,0,1,0,0,0,0,2015
"Lamphun",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2015
"Loei",0,0,0,0,0,1,0,0,0,3,2,4,4,0,0,0,0,2015
"Lop Buri",0,0,0,0,0,0,0,1,1,6,3,1,1,2,0,0,0,2015
"Mae Hong Son",0,0,0,0,1,0,1,0,2,2,2,1,1,1,0,0,0,2015
"Maha Sarakham",0,1,0,0,0,0,0,0,5,7,10,2,5,0,0,0,0,2015
"Mukdahan",0,0,0,0,0,0,0,0,1,2,4,0,2,0,0,0,0,2015
"Nakhon Nayok",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2015
"Nakhon Pathom",0,1,0,0,2,0,0,1,8,13,4,6,1,1,1,0,0,2015
"Nakhon Phanom",0,0,0,0,1,1,1,1,2,4,7,1,1,0,1,0,0,2015
"Nakhon Ratchasima",0,1,0,1,2,2,4,5,10,22,17,13,4,4,0,3,0,2015
"Nakhon Sawan",0,0,0,0,0,0,0,0,2,3,7,2,1,2,0,0,0,2015
"Nakhon Si Thammarat",0,0,0,2,1,2,1,0,6,3,12,5,4,6,0,2,0,2015
"Nan",0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,2015
"Narathiwat",0,0,0,0,0,0,1,1,1,2,2,4,1,0,0,0,0,2015
"Nong Bua Lam Phu",0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,2015
"Nong Khai",0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,2015
"Nonthaburi",0,0,0,0,0,0,0,0,0,0,5,1,1,1,0,0,0,2015
"P.Nakhon S.Ayutthaya",0,0,0,1,0,0,0,0,0,0,2,1,3,0,1,0,0,2015
"Pathum Thani",0,0,0,0,0,0,0,0,1,1,6,6,3,2,0,1,0,2015
"Pattani",0,0,0,0,0,0,0,3,2,3,0,0,0,0,1,0,0,2015
"Phangnga",0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,2015
"Phatthalung",0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2015
"Phayao",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2015
"Phetchabun",0,0,0,0,0,0,0,0,1,3,2,2,1,2,1,0,0,2015
"Phetchaburi",0,1,0,0,0,0,0,1,2,8,10,1,2,2,1,1,0,2015
"Phichit",0,0,0,0,0,0,0,0,0,2,1,2,2,1,0,0,0,2015
"Phitsanulok",0,0,0,0,1,0,0,2,3,8,3,0,2,1,0,0,0,2015
"Phrae",0,1,0,0,0,0,0,0,1,2,2,2,1,0,0,0,0,2015
"Phuket",0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,2015
"Prachin Buri",0,0,0,0,0,0,0,0,2,1,2,2,0,1,0,0,0,2015
"Prachuap Khiri Khan",0,0,0,0,1,0,0,0,4,8,5,2,3,1,1,0,0,2015
"Ranong",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2015
"Ratchaburi",0,0,0,1,1,0,0,1,3,8,16,7,2,2,2,0,0,2015
"Rayong",0,0,0,1,0,0,0,0,0,4,7,4,4,2,3,0,0,2015
"Roi Et",0,0,0,0,0,1,2,0,3,9,8,4,0,0,0,0,0,2015
"Sa Kaeo",0,0,0,0,0,0,2,2,1,1,0,1,1,1,0,0,0,2015
"Sakon Nakhon",0,0,0,0,1,1,1,0,2,5,3,0,2,2,0,0,0,2015
"Samut Prakan",0,0,0,1,0,1,0,3,8,16,22,5,7,1,0,1,0,2015
"Samut Sakhon",0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,0,0,2015
"Samut Songkhram",0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2015
"Saraburi",0,3,0,2,1,0,1,0,3,11,7,5,2,0,1,0,0,2015
"Satun",0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,2015
"Si Sa Ket",0,0,0,0,0,1,0,0,0,1,4,1,1,2,0,0,0,2015
"Sing Buri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"Songkhla",0,0,0,0,0,0,0,0,5,11,8,1,1,0,0,0,0,2015
"Sukhothai",0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,2015
"Suphan Buri",0,1,0,0,0,0,1,0,0,2,2,4,0,2,1,0,0,2015
"Surat Thani",0,0,0,0,0,0,1,0,0,5,6,4,3,3,1,0,0,2015
"Surin",0,2,0,0,1,1,0,1,7,13,6,0,2,0,0,0,0,2015
"Tak",0,0,0,0,1,1,1,1,4,5,4,1,1,0,0,0,0,2015
"Trang",0,1,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,2015
"Trat",0,0,0,0,0,0,0,0,0,1,2,5,3,1,1,0,0,2015
"Ubon Ratchathani",0,0,0,1,2,0,0,0,9,19,10,12,3,2,0,1,0,2015
"Udon Thani",0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,2015
"Uthai Thani",0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,2015
"Uttaradit",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2015
"Yala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"Yasothon",0,0,0,0,1,1,1,0,4,12,4,6,1,1,1,0,0,2015
