"area","<28days","<1yr","1+","2+","3+","4+","5+","6+","7-9","10-14","15-24","25-34","35-44","45-54","55-64","65+","unknown","year"
"Amnat Charoen",0,1,0,0,2,2,1,1,3,6,4,1,1,1,0,0,0,2012
"Ang Thong",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012
"Bangkok",0,0,28,11,7,5,2,3,11,0,0,0,0,0,0,0,1,2012
"Bungkan",0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,2012
"Buri Ram",0,0,0,0,0,4,5,1,16,24,15,4,3,3,0,0,0,2012
"Chachoengsao",0,0,0,0,0,0,1,1,0,1,12,2,2,1,0,1,0,2012
"Chai Nat",0,0,0,0,0,0,0,1,1,2,1,0,0,0,1,1,0,2012
"Chaiyaphum",0,0,0,1,2,1,1,2,7,11,12,0,0,1,1,0,0,2012
"Chanthaburi",0,0,0,0,0,0,0,0,1,3,1,2,0,0,0,0,0,2012
"Chiang Mai",0,0,0,0,0,0,1,1,3,2,8,4,1,2,0,0,0,2012
"Chiang Rai",0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,2012
"Chon Buri",0,0,0,0,0,0,0,0,0,4,6,3,1,0,0,2,0,2012
"Chumphon",0,0,0,0,0,0,1,0,0,2,1,0,2,0,0,0,0,2012
"Kalasin",0,1,0,0,0,0,1,1,7,9,4,0,0,1,0,0,0,2012
"Kamphaeng Phet",0,0,0,0,1,0,2,0,2,9,9,4,1,0,0,0,0,2012
"Kanchanaburi",0,0,0,0,4,3,4,1,2,8,2,1,0,0,0,1,0,2012
"Khon Kaen",0,0,1,0,2,1,0,4,9,13,10,0,1,0,0,0,0,2012
"Krabi",0,3,0,0,0,0,1,0,6,10,8,12,3,2,1,0,0,2012
"Lampang",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
"Lamphun",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2012
"Loei",0,0,0,0,0,0,0,0,2,2,5,2,0,1,0,0,0,2012
"Lop Buri",0,0,0,0,0,1,0,0,4,0,3,0,0,0,0,0,0,2012
"Mae Hong Son",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2012
"Maha Sarakham",0,0,0,0,0,0,0,1,3,2,2,0,1,0,0,0,0,2012
"Mukdahan",0,0,0,0,0,0,1,1,0,3,2,1,0,1,0,0,0,2012
"Nakhon Nayok",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2012
"Nakhon Pathom",0,0,0,0,0,0,1,1,2,4,0,1,0,0,0,0,0,2012
"Nakhon Phanom",0,1,0,1,0,1,1,3,7,19,8,5,0,1,2,0,0,2012
"Nakhon Ratchasima",0,0,1,0,4,7,1,4,18,30,25,4,0,1,1,0,0,2012
"Nakhon Sawan",0,0,0,0,0,0,0,1,1,5,3,2,0,0,0,0,0,2012
"Nakhon Si Thammarat",0,2,1,1,2,1,0,0,9,12,16,7,0,1,0,0,0,2012
"Nan",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012
"Narathiwat",0,0,0,0,0,0,0,0,0,0,3,2,1,3,0,1,0,2012
"Nong Bua Lam Phu",0,0,0,0,1,0,0,0,2,5,6,0,0,0,0,0,0,2012
"Nong Khai",0,1,0,2,0,0,1,0,0,3,3,0,1,0,0,0,0,2012
"Nonthaburi",0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2012
"P.Nakhon S.Ayutthaya",0,3,1,0,0,0,0,0,5,6,12,4,3,0,0,0,0,2012
"Pathum Thani",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2012
"Pattani",0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,1,0,2012
"Phangnga",0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,2012
"Phatthalung",0,1,0,0,0,0,0,0,2,1,10,1,1,2,1,0,6,2012
"Phayao",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2012
"Phetchabun",0,0,0,0,0,0,0,0,1,4,2,1,0,0,0,0,0,2012
"Phetchaburi",0,0,0,0,0,0,0,0,4,3,4,1,1,0,0,0,0,2012
"Phichit",0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,2012
"Phitsanulok",0,1,0,0,1,0,0,0,2,6,2,1,0,1,0,0,0,2012
