"area","<28days","<1yr","1+","2+","3+","4+","5+","6+","7-9","10-14","15-24","25-34","35-44","45-54","55-64","65+","unknown","year"
"Amnat Charoen",0,0,0,0,0,0,0,0,0,3,1,0,2,0,1,0,0,2018
"Ang Thong",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2018
"Bangkok",0,1,0,0,1,0,0,0,5,3,3,6,2,2,1,4,0,2018
"Bungkan",0,0,0,0,0,1,1,0,1,5,1,0,1,1,0,0,0,2018
"Buri Ram",0,0,0,0,0,0,1,3,5,4,7,2,1,1,0,0,0,2018
"Chachoengsao",0,0,0,0,0,0,0,0,1,4,0,3,4,0,0,0,0,2018
"Chai Nat",0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2018
"Chaiyaphum",0,0,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,2018
"Chanthaburi",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2018
"Chiang Mai",0,0,0,0,0,1,0,0,1,3,4,2,3,1,1,0,0,2018
"Chiang Rai",0,0,0,0,0,0,0,0,1,1,2,3,1,0,0,1,0,2018
"Chon Buri",0,1,1,0,0,0,1,0,2,5,14,1,2,0,0,1,0,2018
"Chumphon",0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,1,0,2018
"Kalasin",0,0,0,0,0,0,1,0,3,3,0,0,0,1,1,0,0,2018
"Kamphaeng Phet",0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,2018
"Kanchanaburi",0,0,0,0,0,0,0,0,3,3,3,2,0,1,0,0,0,2018
"Khon Kaen",0,0,0,0,0,1,1,2,4,7,12,4,2,1,2,1,0,2018
"Krabi",0,1,0,0,2,3,2,3,12,13,6,3,0,0,0,0,0,2018
"Lampang",0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2018
"Lamphun",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2018
"Loei",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2018
"Lop Buri",0,1,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,2018
"Mae Hong Son",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2018
"Maha Sarakham",0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,2018
"Mukdahan",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2018
"Nakhon Nayok",0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,2018
"Nakhon Pathom",0,1,0,2,0,0,0,0,2,9,7,2,0,0,0,1,0,2018
"Nakhon Phanom",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2018
"Nakhon Ratchasima",0,2,0,0,1,2,3,2,7,14,12,0,4,2,0,0,0,2018
"Nakhon Sawan",0,0,0,0,0,1,0,0,1,2,2,6,0,1,0,0,0,2018
"Nakhon Si Thammarat",0,1,0,0,2,1,1,2,8,10,10,9,3,5,0,0,0,2018
"Nan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
"Narathiwat",0,0,0,1,0,1,0,1,2,0,3,0,2,1,0,0,0,2018
"Nong Bua Lam Phu",0,0,0,0,1,0,0,1,1,3,3,0,0,0,0,0,0,2018
"Nong Khai",0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2018
"Nonthaburi",0,0,0,0,1,1,1,1,3,8,7,3,1,2,0,2,0,2018
"P.Nakhon S.Ayutthaya",0,0,0,0,0,1,0,0,3,2,2,2,1,1,1,1,0,2018
"Pathum Thani",0,0,0,0,0,0,0,0,0,7,10,2,3,1,2,2,0,2018
"Pattani",0,0,0,0,0,2,0,1,1,0,3,2,0,0,0,0,0,2018
"Phangnga",0,1,0,1,1,1,0,1,4,9,1,0,1,1,0,0,0,2018
