"area","<28days","<1yr","1+","2+","3+","4+","5+","6+","7-9","10-14","15-24","25-34","35-44","45-54","55-64","65+","unknown","year"
"Amnat Charoen",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2020
"Ang Thong",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2020
"Bangkok",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2020
"Bungkan",0,0,0,0,0,0,0,0,3,5,1,1,0,0,0,0,0,2020
"Buri Ram",0,0,0,1,0,0,0,0,4,4,6,2,0,0,0,0,0,2020
"Chachoengsao",0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,2020
"Chai Nat",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2020
"Chaiyaphum",0,0,0,0,0,0,0,0,2,7,5,1,1,0,2,0,0,2020
"Chanthaburi",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2020
"Chiang Mai",0,0,0,0,0,0,0,0,2,7,2,8,9,3,5,3,0,2020
"Chiang Rai",0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,0,2020
"Chon Buri",0,0,0,0,0,0,1,0,0,3,1,3,1,0,0,1,0,2020
"Chumphon",0,0,0,0,0,0,0,0,0,2,2,4,1,0,0,1,0,2020
"Kalasin",0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,2020
"Kamphaeng Phet",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2020
"Kanchanaburi",0,0,0,0,0,0,0,0,0,0,4,0,0,2,1,1,0,2020
"Khon Kaen",0,1,0,0,0,0,0,0,2,5,6,2,0,0,0,0,0,2020
"Krabi",0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,2020
"Lampang",0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,2020
"Lamphun",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
