"area","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","total"
"Amnat Charoen",15,1,13,6,12,15,15,21,6,6,3,0,113
"Ang Thong",7,3,4,0,0,2,4,14,17,5,2,1,59
"Bangkok",904,376,224,126,45,60,168,292,313,389,411,321,3629
"Bungkan",8,5,11,8,24,55,50,30,21,16,5,0,233
"Buri Ram",44,27,33,21,3,13,27,36,34,30,17,5,290
"Chachoengsao",13,11,9,2,4,4,8,6,10,11,4,8,90
"Chai Nat",8,6,4,3,0,0,5,6,4,2,1,3,42
"Chaiyaphum",33,17,13,3,3,6,35,35,19,14,9,3,190
"Chanthaburi",10,6,4,2,9,22,33,30,23,17,9,2,167
"Chiang Mai",7,4,1,4,12,16,169,282,163,85,32,11,786
"Chiang Rai",1,0,2,5,7,14,35,17,12,0,3,0,96
"Chon Buri",81,48,35,19,9,11,8,39,26,25,23,8,332
"Chumphon",2,0,0,0,0,1,0,2,0,2,3,1,11
"Kalasin",12,5,15,8,9,16,51,43,23,17,3,1,203
"Kamphaeng Phet",14,5,12,11,1,1,2,0,0,2,0,1,49
"Kanchanaburi",7,3,2,3,2,1,5,6,4,5,1,4,43
"Khon Kaen",54,20,26,12,14,23,31,58,35,25,10,2,310
"Krabi",26,18,27,13,15,29,45,57,31,35,30,20,346
"Lampang",4,3,6,5,16,8,41,50,22,6,2,2,165
"Lamphun",7,4,0,4,4,6,23,46,40,17,6,7,164
"Loei",7,4,5,4,10,40,36,34,17,13,5,1,176
"Lop Buri",19,16,10,2,4,3,4,6,16,8,6,2,96
"Mae Hong Son",4,5,6,8,24,11,37,41,22,18,10,7,193
"Maha Sarakham",26,18,14,6,1,6,20,32,20,25,16,6,190
"Mukdahan",9,0,1,2,1,10,18,7,15,8,4,1,76
"Nakhon Nayok",0,1,2,0,0,1,5,2,0,1,0,0,12
"Nakhon Pathom",113,35,25,27,13,9,11,28,21,20,18,13,333
"Nakhon Phanom",2,3,5,3,6,25,22,25,7,2,1,0,101
"Nakhon Ratchasima",84,46,77,25,26,28,80,121,79,56,42,11,675
"Nakhon Sawan",46,18,20,9,3,3,19,24,22,10,8,1,183
"Nakhon Si Thammarat",67,40,19,9,15,17,37,76,76,101,105,61,623
"Nan",0,1,1,1,6,6,4,1,2,1,6,1,30
"Narathiwat",62,33,32,19,17,16,80,134,133,182,223,203,1134
"Nong Bua Lam Phu",8,4,6,5,1,13,14,35,13,7,1,0,107
"Nong Khai",7,3,9,2,6,5,14,12,5,2,5,2,72
"Nonthaburi",53,18,10,14,8,7,19,24,27,29,15,16,240
"P.Nakhon S.Ayutthaya",40,21,25,19,5,6,14,28,36,14,11,20,239
"Pathum Thani",41,20,11,12,4,7,20,23,17,9,12,8,184
"Pattani",44,37,18,20,14,25,52,137,170,254,371,265,1407
"Phangnga",9,11,6,12,10,13,8,16,4,1,3,0,93
"Phatthalung",12,15,11,10,8,10,62,123,113,103,118,104,689
"Phayao",4,3,1,2,16,4,6,7,4,3,2,0,52
"Phetchabun",11,22,30,17,42,85,29,34,33,15,3,1,322
"Phetchaburi",10,12,10,7,6,8,19,26,25,21,5,7,156
"Phichit",22,19,24,12,1,3,3,13,8,8,4,4,121
"Phitsanulok",30,18,13,7,1,15,15,16,25,9,6,8,163
"Phrae",1,4,4,1,2,1,3,3,2,2,1,0,24
"Phuket",39,22,24,17,16,13,19,30,16,36,31,27,290
"Prachin Buri",7,6,5,0,2,1,1,7,3,2,2,1,37
"Prachuap Khiri Khan",10,9,10,3,5,7,6,13,10,11,24,24,132
"Ranong",0,0,0,1,0,3,2,1,5,0,3,3,18
"Ratchaburi",44,13,11,7,1,7,9,6,8,8,9,3,126
"Rayong",86,42,43,35,20,26,35,53,25,29,18,12,424
"Roi Et",40,26,27,12,14,15,52,84,45,41,12,7,375
"Sa Kaeo",16,12,9,9,3,3,6,6,7,3,0,0,74
"Sakon Nakhon",5,2,2,7,14,56,79,34,12,9,0,1,221
"Samut Prakan",130,81,55,21,12,7,11,16,26,26,28,20,433
"Samut Sakhon",55,13,10,2,5,3,1,6,9,14,10,0,128
"Samut Songkhram",8,5,3,1,0,0,1,5,1,2,1,0,27
"Saraburi",27,10,3,3,2,1,4,5,11,8,3,10,87
"Satun",9,9,7,4,7,31,18,34,14,13,11,6,163
"Si Sa Ket",49,26,32,20,4,20,26,25,40,23,3,2,270
"Sing Buri",1,2,1,0,0,0,0,1,0,0,0,0,5
"Songkhla",132,92,74,38,39,84,212,394,564,642,653,749,3673
"Sukhothai",12,1,10,3,0,3,6,21,19,2,1,0,78
"Suphan Buri",26,16,16,15,3,5,9,25,32,14,14,9,184
"Surat Thani",3,4,1,0,1,1,3,5,3,5,5,3,34
"Surin",62,25,20,12,18,38,68,129,96,46,23,7,544
"Tak",26,14,25,20,19,31,71,49,17,9,11,7,299
"Trang",30,23,20,19,29,44,120,167,66,51,44,23,636
"Trat",9,9,4,5,13,11,6,8,5,4,2,0,76
"Ubon Ratchathani",86,29,51,39,44,88,169,146,65,49,25,4,795
"Udon Thani",9,4,7,3,1,3,30,17,15,9,6,1,105
"Uthai Thani",14,6,3,3,0,3,1,5,2,4,1,0,42
"Uttaradit",0,1,5,4,5,1,4,2,0,2,0,0,24
"Yala",10,13,8,6,4,8,25,49,60,61,48,55,347
"Yasothon",5,7,3,4,4,7,19,29,9,3,2,0,92
