"area","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","total"
"Amnat Charoen",0,0,0,4,12,20,14,10,7,5,2,1,75
"Ang Thong",4,0,1,6,9,5,9,10,20,14,17,14,109
"Bangkok",224,158,268,254,223,465,658,671,476,381,334,201,4313
"Bungkan",1,0,0,1,25,29,13,9,5,5,11,5,104
"Buri Ram",5,1,0,7,33,91,130,97,97,63,31,38,593
"Chachoengsao",4,5,9,5,25,48,27,30,53,105,75,57,443
"Chai Nat",2,1,2,2,3,8,7,7,2,6,10,5,55
"Chaiyaphum",1,1,0,6,31,55,20,27,23,19,13,16,212
"Chanthaburi",2,2,4,3,13,23,23,14,18,5,7,4,118
"Chiang Mai",6,3,3,7,33,80,89,61,79,33,19,13,426
"Chiang Rai",1,4,2,3,15,47,67,56,23,39,31,15,303
"Chon Buri",15,17,27,39,127,166,120,108,76,59,85,67,906
"Chumphon",0,7,1,9,6,4,5,1,1,1,1,0,36
"Kalasin",0,0,5,1,14,32,23,35,16,17,7,10,160
"Kamphaeng Phet",4,3,7,9,19,35,35,33,23,16,7,6,197
"Kanchanaburi",7,7,10,7,8,24,26,27,15,11,12,17,171
"Khon Kaen",1,2,5,8,37,121,96,84,44,27,32,44,501
"Krabi",26,30,34,50,85,65,54,39,28,27,29,22,489
"Lampang",1,0,1,3,8,21,16,7,4,1,2,1,65
"Lamphun",0,0,0,0,1,5,11,5,15,5,3,5,50
"Loei",1,2,5,2,20,32,42,18,16,12,9,10,169
"Lop Buri",3,1,1,5,18,38,73,53,44,38,15,27,316
"Mae Hong Son",0,1,1,1,13,32,26,12,8,9,3,5,111
"Maha Sarakham",7,2,5,6,26,79,46,42,11,18,17,17,276
"Mukdahan",0,2,2,2,9,4,5,4,3,2,2,4,39
"Nakhon Nayok",1,0,4,6,9,23,25,26,9,12,3,1,119
"Nakhon Pathom",60,50,42,48,69,123,164,141,121,119,177,125,1239
"Nakhon Phanom",0,0,1,3,14,17,12,9,3,1,2,3,65
"Nakhon Ratchasima",8,6,7,18,90,209,178,198,148,141,120,75,1198
"Nakhon Sawan",5,8,26,28,72,102,115,105,95,91,55,51,753
"Nakhon Si Thammarat",47,72,67,57,119,102,137,129,91,85,92,83,1081
"Nan",1,6,0,4,12,17,18,11,7,6,2,2,86
"Narathiwat",15,7,12,10,16,11,15,48,48,101,73,63,419
"Nong Bua Lam Phu",0,0,0,4,15,49,35,30,12,7,18,13,183
"Nong Khai",0,0,0,2,3,22,11,10,3,2,2,4,59
"Nonthaburi",29,21,26,63,88,184,235,163,75,84,130,69,1167
"P.Nakhon S.Ayutthaya",22,18,16,15,39,115,141,118,66,69,94,74,787
"Pathum Thani",29,12,31,27,104,157,169,204,84,96,83,47,1043
"Pattani",13,7,10,5,15,9,22,45,58,62,52,58,356
"Phangnga",14,12,12,31,52,46,40,23,9,7,6,1,253
"Phatthalung",18,4,6,12,28,33,26,30,17,25,30,25,254
"Phayao",0,0,0,0,6,11,16,22,10,6,2,0,73
"Phetchabun",7,12,8,15,97,185,119,59,51,22,16,10,601
"Phetchaburi",26,22,24,28,33,56,45,38,40,39,23,22,396
"Phichit",5,12,11,13,48,113,70,57,48,43,18,11,449
"Phitsanulok",3,6,9,13,28,69,80,57,25,22,14,14,340
"Phrae",0,1,2,0,16,21,14,5,1,1,0,1,62
"Phuket",38,29,32,28,53,48,50,72,25,21,46,56,498
"Prachin Buri",8,2,4,9,10,20,14,11,6,9,10,12,115
"Prachuap Khiri Khan",16,10,12,18,16,30,34,24,19,24,12,13,228
"Ranong",2,2,11,6,14,4,3,2,0,1,0,0,45
"Ratchaburi",31,24,37,28,41,51,68,74,67,44,52,47,564
"Rayong",21,9,30,44,71,104,83,93,45,41,66,50,657
"Roi Et",3,3,1,14,71,132,97,70,47,22,21,24,505
"Sa Kaeo",2,1,0,2,9,32,37,21,7,12,2,5,130
"Sakon Nakhon",1,0,9,4,18,38,22,17,4,3,7,5,128
"Samut Prakan",17,37,47,45,64,71,61,79,45,56,69,56,647
"Samut Sakhon",40,18,13,15,30,49,31,31,44,36,49,51,407
"Samut Songkhram",6,4,2,0,2,12,7,1,4,2,6,14,60
"Saraburi",0,4,0,10,23,24,34,39,32,38,28,15,247
"Satun",2,2,4,3,5,8,4,4,5,4,3,1,45
"Si Sa Ket",4,2,14,15,25,117,95,95,61,48,44,39,559
"Sing Buri",0,0,0,0,0,0,1,1,4,1,1,4,12
"Songkhla",56,48,38,29,38,92,102,96,58,106,163,139,965
"Sukhothai",0,3,2,5,11,29,44,23,16,24,24,21,202
"Suphan Buri",21,13,15,27,60,77,93,129,137,107,103,99,881
"Surat Thani",7,1,1,4,3,2,9,5,7,3,7,17,66
"Surin",3,7,4,25,44,106,124,117,106,84,35,33,688
"Tak",5,12,5,16,34,93,89,59,35,24,24,18,414
"Trang",18,11,18,28,28,61,59,85,42,23,19,31,423
"Trat",1,3,5,8,9,12,13,9,8,14,8,4,94
"Ubon Ratchathani",4,9,13,24,108,138,77,78,36,26,23,21,557
"Udon Thani",2,0,2,1,18,56,35,19,24,15,15,10,197
"Uthai Thani",9,5,4,8,31,44,46,21,18,14,22,15,237
"Uttaradit",0,0,1,0,5,6,11,8,5,3,1,2,42
"Yala",7,5,1,2,5,4,13,14,31,18,32,36,168
"Yasothon",2,1,2,4,16,35,54,36,11,10,4,1,176
