"area","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","total"
"Amnat Charoen",4,5,5,4,7,17,8,10,3,1,0,0,64
"Ang Thong",17,9,13,12,6,4,33,60,62,12,1,0,229
"Bangkok",248,132,81,51,66,97,254,352,280,249,255,153,2218
"Bungkan",3,0,1,5,42,30,34,3,7,2,0,0,127
"Buri Ram",15,12,15,20,44,49,93,65,46,13,2,1,375
"Chachoengsao",2,1,1,5,6,15,12,13,6,3,3,4,71
"Chai Nat",6,12,6,6,4,11,35,60,48,10,4,0,202
"Chaiyaphum",18,27,19,50,94,136,136,55,17,5,1,1,559
"Chanthaburi",2,4,3,4,13,19,12,5,2,6,2,1,73
"Chiang Mai",16,9,10,16,26,74,117,87,85,43,32,2,517
"Chiang Rai",12,3,1,5,16,21,43,26,14,9,3,3,156
"Chon Buri",51,29,27,17,36,47,89,96,81,67,51,13,604
"Chumphon",2,2,1,1,2,1,1,1,6,6,4,2,29
"Kalasin",10,10,13,18,21,14,50,19,12,8,3,3,181
"Kamphaeng Phet",4,2,7,1,1,3,17,13,9,9,5,3,74
"Kanchanaburi",11,1,2,13,14,21,20,19,8,20,9,9,147
"Khon Kaen",35,40,39,86,141,158,252,119,38,6,6,0,920
"Krabi",17,6,5,7,16,14,16,6,3,3,4,1,98
"Lampang",3,1,0,2,16,16,36,34,14,5,4,2,133
"Lamphun",0,0,0,1,0,2,7,7,7,5,0,0,29
"Loei",2,1,7,5,25,58,72,30,15,6,0,0,221
"Lop Buri",25,15,17,11,15,24,68,55,76,42,12,0,360
"Mae Hong Son",1,0,4,4,2,25,70,39,20,24,5,3,197
"Maha Sarakham",13,13,15,33,73,72,133,93,35,8,7,2,497
"Mukdahan",2,3,5,5,4,21,22,9,5,1,0,0,77
"Nakhon Nayok",0,3,1,0,1,0,5,8,5,3,0,1,27
"Nakhon Pathom",42,24,16,6,11,12,23,28,39,35,26,14,276
"Nakhon Phanom",1,0,0,5,7,16,31,5,5,1,0,1,72
"Nakhon Ratchasima",79,55,81,58,135,342,585,307,112,25,12,2,1793
"Nakhon Sawan",14,9,13,2,7,10,37,54,45,36,32,15,274
"Nakhon Si Thammarat",19,23,13,1,7,17,32,25,13,2,2,1,155
"Nan",2,2,1,17,10,11,13,3,3,7,1,0,70
"Narathiwat",64,40,16,6,9,19,75,70,52,30,26,17,424
"Nong Bua Lam Phu",5,3,7,8,15,33,50,12,8,1,0,0,142
"Nong Khai",2,1,3,4,13,29,25,13,4,3,2,4,103
"Nonthaburi",30,15,10,6,5,21,38,49,45,44,35,24,322
"P.Nakhon S.Ayutthaya",18,21,5,12,13,17,37,50,47,39,18,8,285
"Pathum Thani",10,10,12,4,6,10,25,22,33,16,5,4,157
"Pattani",39,19,23,14,22,34,88,49,25,10,10,3,336
"Phangnga",1,0,1,1,2,4,3,0,1,2,3,2,20
"Phatthalung",22,9,13,8,9,28,36,23,10,6,5,6,175
"Phayao",0,1,3,3,1,8,13,20,2,0,0,0,51
"Phetchabun",21,26,23,30,58,79,184,151,78,31,11,3,695
"Phetchaburi",16,13,11,5,4,10,18,12,8,5,3,2,107
"Phichit",6,6,15,16,4,3,16,19,19,7,3,0,114
"Phitsanulok",3,9,8,12,29,26,36,28,37,14,13,1,216
"Phrae",1,1,0,3,1,2,12,12,6,2,1,0,41
"Phuket",23,7,2,4,3,11,10,7,4,1,2,1,75
"Prachin Buri",6,2,3,4,3,16,22,12,2,4,3,0,77
"Prachuap Khiri Khan",4,7,16,4,6,10,21,20,13,11,10,2,124
"Ranong",2,2,2,1,3,1,4,2,2,1,0,0,20
"Ratchaburi",58,29,16,20,37,41,56,35,49,42,17,0,400
"Rayong",53,37,36,36,51,82,148,131,58,38,30,18,718
"Roi Et",26,26,32,50,77,82,141,129,73,19,14,5,674
"Sa Kaeo",6,10,9,16,11,24,30,17,4,5,0,1,133
"Sakon Nakhon",5,7,8,10,22,41,53,23,7,0,0,1,177
"Samut Prakan",24,17,10,4,8,8,18,51,52,27,24,10,253
"Samut Sakhon",25,24,16,15,16,9,10,15,31,28,5,0,194
"Samut Songkhram",0,0,2,0,0,0,1,2,1,1,0,0,7
"Saraburi",12,11,4,12,15,20,56,62,66,25,20,7,310
"Satun",3,0,0,1,3,8,7,2,0,0,0,1,25
"Si Sa Ket",10,11,12,5,10,37,43,40,31,14,6,4,223
"Sing Buri",1,1,4,2,3,0,15,26,4,0,0,0,56
"Songkhla",80,41,26,22,42,93,104,70,35,52,27,18,610
"Sukhothai",4,5,7,1,10,11,35,39,20,10,2,1,145
"Suphan Buri",35,48,29,14,9,5,13,30,63,50,23,8,327
"Surat Thani",2,0,0,0,1,2,1,0,1,0,2,0,9
"Surin",22,14,23,13,26,67,179,159,105,51,8,0,667
"Tak",7,3,5,6,12,23,55,37,37,22,17,7,231
"Trang",9,8,9,15,33,55,136,73,31,13,8,1,391
"Trat",1,1,0,1,2,2,8,6,1,2,0,1,25
"Ubon Ratchathani",18,20,30,40,57,71,60,45,23,19,7,0,390
"Udon Thani",9,1,10,25,24,20,102,52,21,4,7,0,275
"Uthai Thani",8,9,5,1,1,1,11,10,8,2,2,2,60
"Uttaradit",2,0,4,1,2,4,5,10,5,0,1,0,34
"Yala",27,9,3,3,11,25,30,27,8,7,4,3,157
"Yasothon",5,4,3,6,13,18,16,19,10,10,3,1,108
