"area","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","total"
"Amnat Charoen",2,3,1,2,15,8,12,2,3,0,0,0,48
"Ang Thong",3,2,0,1,4,9,19,16,19,26,5,6,110
"Bangkok",193,123,95,109,119,346,617,749,593,576,616,405,4541
"Bungkan",10,9,9,15,26,62,34,22,5,4,9,0,205
"Buri Ram",5,5,2,10,40,93,96,81,32,14,7,2,387
"Chachoengsao",3,1,1,6,4,11,26,17,15,8,7,5,104
"Chai Nat",2,4,5,4,4,17,18,9,3,8,2,0,76
"Chaiyaphum",6,1,4,2,8,22,29,22,9,9,3,2,117
"Chanthaburi",1,6,4,6,12,12,13,10,10,7,3,2,86
"Chiang Mai",13,5,9,10,50,139,173,116,59,45,46,17,682
"Chiang Rai",1,1,0,3,9,32,43,54,21,22,14,2,202
"Chon Buri",11,15,16,12,33,33,22,11,19,14,20,19,225
"Chumphon",4,1,1,4,2,5,3,3,0,3,0,1,27
"Kalasin",10,2,2,5,13,42,30,26,17,4,2,1,154
"Kamphaeng Phet",3,3,7,2,11,21,23,17,9,9,2,2,109
"Kanchanaburi",0,1,2,0,3,6,15,6,3,4,3,9,52
"Khon Kaen",3,0,2,6,16,42,41,36,21,7,5,3,182
"Krabi",11,18,33,25,43,35,35,30,37,19,26,19,331
"Lampang",2,0,1,5,4,19,16,15,7,2,4,0,75
"Lamphun",0,0,0,0,4,8,20,25,16,5,4,1,83
"Loei",2,4,4,1,10,29,21,9,8,8,6,4,106
"Lop Buri",4,2,1,0,4,3,2,6,5,1,0,1,29
"Mae Hong Son",1,0,0,7,8,21,22,21,10,12,9,12,123
"Maha Sarakham",4,4,6,16,19,32,31,28,17,19,7,2,185
"Mukdahan",0,3,2,8,5,21,18,8,4,2,1,0,72
"Nakhon Nayok",0,1,0,0,3,0,2,0,1,0,0,0,7
"Nakhon Pathom",15,17,12,11,10,33,51,82,66,70,81,81,529
"Nakhon Phanom",2,0,1,1,9,10,10,13,1,2,2,0,51
"Nakhon Ratchasima",19,12,18,21,63,150,155,132,64,32,22,3,691
"Nakhon Sawan",3,4,8,7,4,22,22,26,27,20,26,17,186
"Nakhon Si Thammarat",76,93,82,68,76,99,75,91,57,59,75,45,896
"Nan",2,2,0,2,2,14,11,12,9,6,2,2,64
"Narathiwat",181,130,74,43,65,55,37,26,19,25,17,22,694
"Nong Bua Lam Phu",1,1,0,7,6,5,15,13,5,5,1,1,60
"Nong Khai",4,3,2,3,5,10,13,8,5,3,0,1,57
"Nonthaburi",15,13,5,5,22,46,64,91,76,62,80,69,548
"P.Nakhon S.Ayutthaya",13,6,13,19,16,37,46,37,28,24,20,19,278
"Pathum Thani",6,8,16,8,15,21,26,17,15,23,24,8,187
"Pattani",256,141,59,34,24,28,20,18,16,12,16,8,632
"Phangnga",4,3,3,1,5,15,10,3,5,0,6,5,60
"Phatthalung",93,70,60,57,68,49,53,21,25,32,27,12,567
"Phayao",0,1,0,0,3,4,3,5,3,0,1,1,21
"Phetchabun",2,4,7,5,21,45,85,59,24,18,4,11,285
"Phetchaburi",16,10,21,13,25,36,60,63,29,17,27,21,338
"Phichit",4,3,6,5,9,24,41,25,14,4,16,11,162
"Phitsanulok",7,3,6,16,21,62,44,25,21,9,6,1,221
"Phrae",0,0,1,0,3,5,1,4,0,0,0,0,14
"Phuket",24,15,25,21,43,90,49,28,31,38,56,44,464
"Prachin Buri",2,0,1,8,16,14,28,25,5,6,2,1,108
"Prachuap Khiri Khan",9,9,9,11,17,30,26,27,15,10,15,12,190
"Ranong",1,1,1,3,4,2,1,4,0,0,0,0,17
"Ratchaburi",6,2,2,2,7,19,25,35,33,42,35,44,252
"Rayong",18,12,11,13,31,39,42,32,23,19,38,30,308
"Roi Et",7,2,1,8,20,71,51,41,15,7,1,0,224
"Sa Kaeo",0,2,6,11,16,44,31,13,13,2,0,1,139
"Sakon Nakhon",1,2,8,8,25,43,27,24,6,3,1,3,151
"Samut Prakan",23,10,23,15,14,38,55,62,42,37,42,36,397
"Samut Sakhon",4,9,7,4,10,29,43,35,38,36,33,42,290
"Samut Songkhram",2,1,1,1,1,1,3,2,9,1,2,7,31
"Saraburi",5,3,4,1,3,13,16,14,5,3,1,0,68
"Satun",6,4,4,4,2,2,0,2,2,3,1,1,31
"Si Sa Ket",4,1,1,0,11,13,21,24,13,12,5,7,112
"Sing Buri",0,0,0,0,0,6,0,0,0,0,0,0,6
"Songkhla",555,333,230,136,165,147,103,35,33,40,35,34,1846
"Sukhothai",0,0,0,2,3,12,12,20,10,5,2,3,69
"Suphan Buri",2,12,21,13,13,21,29,52,34,33,31,27,288
"Surat Thani",4,2,2,3,4,5,1,9,3,4,12,4,53
"Surin",12,7,12,24,40,78,94,54,14,6,2,1,344
"Tak",5,3,11,5,19,92,90,61,30,36,21,10,383
"Trang",26,19,16,15,21,34,29,24,14,16,16,18,248
"Trat",1,0,0,2,4,5,8,4,3,3,0,1,31
"Ubon Ratchathani",5,6,8,15,27,49,58,27,13,10,9,0,227
"Udon Thani",3,2,3,8,4,19,22,23,14,7,2,2,109
"Uthai Thani",1,0,0,0,3,2,8,3,5,3,8,4,37
"Uttaradit",0,0,1,1,0,2,8,11,3,3,0,3,32
"Yala",38,17,9,10,14,8,10,2,1,2,2,8,121
"Yasothon",0,0,4,8,9,12,14,13,5,4,2,2,73
