"area","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","total"
"Amnat Charoen",1,1,14,28,51,52,43,11,10,15,1,0,227
"Ang Thong",18,10,17,8,15,17,22,11,7,15,14,7,161
"Bangkok",336,206,178,102,98,205,528,753,669,946,904,425,5350
"Bungkan",11,17,20,14,54,55,13,1,0,1,0,0,186
"Buri Ram",72,82,76,80,107,256,271,171,126,103,37,17,1398
"Chachoengsao",48,29,27,30,40,41,74,60,27,22,13,4,415
"Chai Nat",10,6,8,1,3,8,18,14,9,11,0,6,94
"Chaiyaphum",14,10,21,24,36,81,82,64,41,77,62,24,536
"Chanthaburi",6,3,3,17,35,83,97,76,37,27,25,7,416
"Chiang Mai",2,4,9,20,26,79,192,193,148,127,65,29,894
"Chiang Rai",5,8,9,11,21,74,176,144,162,77,82,23,792
"Chon Buri",45,60,44,58,55,124,177,160,88,125,146,110,1192
"Chumphon",6,5,4,7,12,9,14,7,1,5,2,1,73
"Kalasin",13,5,15,12,24,64,89,55,40,24,16,12,369
"Kamphaeng Phet",3,5,13,17,12,20,11,11,7,8,3,3,113
"Kanchanaburi",11,9,11,3,9,33,50,63,34,12,11,8,254
"Khon Kaen",31,41,46,36,57,183,216,160,134,165,99,28,1196
"Krabi",14,24,23,26,29,38,46,20,22,13,13,7,275
"Lampang",2,4,5,10,3,22,46,34,24,15,11,2,178
"Lamphun",1,0,0,0,0,9,7,13,16,10,5,0,61
"Loei",10,5,8,16,60,141,138,66,54,29,14,6,547
"Lop Buri",42,44,42,13,17,32,48,30,57,41,14,8,388
"Mae Hong Son",5,3,1,3,0,1,4,12,15,6,5,1,56
"Maha Sarakham",25,16,39,20,8,89,97,89,84,51,25,13,556
"Mukdahan",0,2,8,11,16,40,29,27,6,6,1,0,146
"Nakhon Nayok",1,9,5,2,4,11,25,3,3,4,2,0,69
"Nakhon Pathom",102,60,53,14,23,34,59,106,105,136,99,62,853
"Nakhon Phanom",4,4,5,29,92,124,49,12,7,1,2,0,329
"Nakhon Ratchasima",81,82,104,108,252,482,422,245,195,258,190,68,2487
"Nakhon Sawan",46,30,19,22,9,23,61,37,37,27,29,15,355
"Nakhon Si Thammarat",83,82,55,64,78,155,152,126,102,89,66,52,1104
"Nan",1,3,3,3,7,21,12,4,11,9,6,1,81
"Narathiwat",76,62,74,49,60,138,219,223,129,183,150,78,1441
"Nong Bua Lam Phu",5,2,9,7,22,32,42,23,17,9,14,5,187
"Nong Khai",6,1,8,19,27,43,36,26,16,13,9,1,205
"Nonthaburi",65,38,28,18,18,29,71,83,87,112,135,41,725
"P.Nakhon S.Ayutthaya",58,36,38,25,10,19,22,28,22,43,44,11,356
"Pathum Thani",29,42,12,9,6,18,18,28,20,42,24,25,273
"Pattani",70,33,37,24,35,75,101,88,57,56,49,39,664
"Phangnga",5,4,5,5,11,12,15,12,5,3,3,1,81
"Phatthalung",16,12,13,19,30,68,31,68,87,69,40,18,471
"Phayao",0,0,10,11,3,9,15,15,12,10,6,2,93
"Phetchabun",22,15,40,48,106,286,352,289,209,100,63,16,1546
"Phetchaburi",27,12,30,14,16,20,42,48,40,26,30,8,313
"Phichit",4,8,9,6,1,10,15,13,18,14,6,3,107
"Phitsanulok",13,12,14,10,10,14,26,31,32,13,17,6,198
"Phrae",0,0,0,1,3,12,11,13,10,5,6,0,61
"Phuket",33,15,22,6,23,30,52,31,34,22,26,33,327
"Prachin Buri",16,15,7,30,44,92,129,62,32,17,15,6,465
"Prachuap Khiri Khan",19,15,10,18,24,40,29,40,22,14,29,23,283
"Ranong",0,3,0,0,2,4,0,2,2,1,2,0,16
"Ratchaburi",56,46,39,16,13,24,50,54,77,100,90,38,603
"Rayong",39,30,39,48,50,129,168,123,56,75,86,61,904
"Roi Et",16,25,31,41,110,335,352,239,223,155,54,27,1608
"Sa Kaeo",12,23,14,18,31,67,98,81,45,21,22,3,435
"Sakon Nakhon",3,8,18,34,59,173,113,65,22,6,3,3,507
"Samut Prakan",53,36,30,19,15,19,46,71,49,76,74,35,523
"Samut Sakhon",42,38,32,20,16,10,20,30,32,30,37,18,325
"Samut Songkhram",14,4,4,4,2,4,8,5,6,2,4,4,61
"Saraburi",18,23,18,9,8,12,54,58,61,70,44,15,390
"Satun",7,5,0,2,12,6,20,8,10,5,4,3,82
"Si Sa Ket",19,22,45,27,59,124,120,71,50,26,15,7,585
"Sing Buri",2,1,4,1,1,16,2,8,5,7,1,0,48
"Songkhla",109,56,35,34,70,197,196,170,118,136,147,99,1367
"Sukhothai",21,9,18,15,8,23,39,37,39,23,10,5,247
"Suphan Buri",62,39,23,10,15,26,29,32,19,39,36,40,370
"Surat Thani",5,2,1,3,0,1,3,1,13,2,0,2,33
"Surin",37,39,44,52,54,159,167,174,171,130,61,18,1106
"Tak",9,14,17,10,27,47,90,71,54,17,28,10,394
"Trang",18,22,5,12,50,64,65,53,42,33,28,12,404
"Trat",3,3,12,15,35,25,17,7,5,6,4,1,133
"Ubon Ratchathani",35,39,67,86,256,386,226,153,94,51,39,12,1444
"Udon Thani",23,8,22,25,34,88,119,57,28,19,13,1,437
"Uthai Thani",8,14,16,29,27,24,58,22,23,40,34,14,309
"Uttaradit",2,1,2,1,0,4,7,6,9,9,2,5,48
"Yala",24,22,25,19,46,72,93,55,63,49,38,15,521
"Yasothon",8,8,31,31,39,67,70,39,21,14,7,3,338
