"area","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","total"
"Amnat Charoen",3,0,4,3,23,21,58,15,9,1,3,3,143
"Ang Thong",4,4,3,9,19,32,16,20,7,6,7,2,129
"Bangkok",477,271,256,331,760,1011,1052,815,592,556,767,414,7302
"Bungkan",0,1,0,0,1,9,1,3,2,0,0,0,17
"Buri Ram",37,11,32,40,117,295,232,207,148,19,33,6,1177
"Chachoengsao",36,23,26,41,111,222,241,215,150,126,120,62,1373
"Chai Nat",2,7,2,5,15,21,36,11,17,9,20,6,151
"Chaiyaphum",4,4,6,15,47,112,76,84,50,42,35,16,491
"Chanthaburi",19,7,12,6,73,66,54,47,15,13,26,8,346
"Chiang Mai",10,5,8,3,42,61,32,38,14,10,14,3,240
"Chiang Rai",12,2,2,7,13,43,31,36,34,9,6,3,198
"Chon Buri",57,50,73,103,148,173,150,83,104,74,104,55,1174
"Chumphon",11,19,8,6,6,4,10,10,11,7,7,1,100
"Kalasin",7,1,3,6,24,37,66,37,16,10,3,6,216
"Kamphaeng Phet",7,15,16,21,78,167,186,119,63,32,41,17,762
"Kanchanaburi",14,29,42,68,99,86,46,45,20,33,42,12,536
"Khon Kaen",9,7,3,16,67,125,174,99,76,53,17,21,667
"Krabi",33,29,27,16,33,36,49,37,35,25,21,52,393
"Lampang",2,0,3,2,5,11,12,6,3,0,1,2,47
"Lamphun",1,0,3,3,6,13,5,6,4,2,2,0,45
"Loei",0,2,1,3,19,24,24,11,10,4,4,1,103
"Lop Buri",35,46,11,7,57,126,165,143,91,75,84,33,873
"Mae Hong Son",2,0,1,3,11,15,9,4,4,4,4,0,57
"Maha Sarakham",4,2,4,5,32,59,69,47,47,22,21,5,317
"Mukdahan",0,1,3,2,7,12,22,5,3,0,0,0,55
"Nakhon Nayok",3,3,1,7,23,29,25,14,3,7,9,2,126
"Nakhon Pathom",63,53,49,33,73,107,165,129,99,117,91,43,1022
"Nakhon Phanom",0,1,0,3,8,16,23,23,17,6,3,2,102
"Nakhon Ratchasima",28,20,36,49,133,291,303,319,193,97,90,53,1612
"Nakhon Sawan",33,41,45,92,227,333,310,216,85,50,44,10,1486
"Nakhon Si Thammarat",66,40,52,25,33,36,30,39,40,15,29,19,424
"Nan",0,1,0,2,5,4,4,3,4,1,0,0,24
"Narathiwat",25,12,8,5,7,13,14,14,14,6,8,12,138
"Nong Bua Lam Phu",0,0,3,2,10,18,12,10,2,0,0,0,57
"Nong Khai",3,1,0,1,2,14,19,7,14,1,0,0,62
"Nonthaburi",29,21,21,31,85,122,121,109,64,47,46,19,715
"P.Nakhon S.Ayutthaya",24,12,22,41,67,89,111,65,62,13,8,0,514
"Pathum Thani",8,12,35,29,68,80,67,48,37,10,22,4,420
"Pattani",29,5,3,7,7,8,4,2,7,6,5,4,87
"Phangnga",10,13,16,19,28,31,36,26,15,8,3,5,210
"Phatthalung",32,8,8,12,8,11,16,17,12,24,16,12,176
"Phayao",2,1,1,6,11,25,13,6,1,1,1,0,68
"Phetchabun",17,21,22,58,128,173,148,117,44,27,12,4,771
"Phetchaburi",9,15,15,48,102,206,203,137,72,25,27,9,868
"Phichit",22,16,31,48,112,250,217,116,48,20,18,4,902
"Phitsanulok",12,15,15,42,98,146,174,71,43,30,29,13,688
"Phrae",0,1,1,0,6,13,4,5,2,1,1,0,34
"Phuket",22,12,9,5,15,12,20,22,11,12,5,10,155
"Prachin Buri",1,4,10,18,36,66,52,24,20,9,17,4,261
"Prachuap Khiri Khan",14,8,10,15,30,36,37,28,22,18,13,9,240
"Ranong",2,3,3,4,4,3,0,2,2,4,7,0,34
"Ratchaburi",37,38,41,38,59,97,92,147,124,94,113,56,936
"Rayong",34,21,34,43,71,102,133,96,69,59,67,37,766
"Roi Et",6,5,14,24,104,215,203,265,111,43,30,7,1027
"Sa Kaeo",7,8,13,51,70,91,75,37,41,14,13,4,424
"Sakon Nakhon",0,0,0,2,11,6,4,2,0,3,0,1,29
"Samut Prakan",87,62,67,95,192,171,124,108,67,80,51,33,1137
"Samut Sakhon",41,44,40,29,75,66,89,93,86,77,64,44,748
"Samut Songkhram",3,2,1,5,11,21,25,18,14,3,11,6,120
"Saraburi",11,19,25,34,79,81,85,42,24,14,18,9,441
"Satun",14,10,6,13,23,23,11,8,14,20,19,11,172
"Si Sa Ket",3,6,16,38,113,123,163,111,58,26,10,9,676
"Sing Buri",0,3,4,2,7,8,7,11,1,0,1,1,45
"Songkhla",100,69,54,41,39,52,33,30,34,39,45,34,570
"Sukhothai",10,7,15,24,99,150,123,70,26,16,7,2,549
"Suphan Buri",27,21,17,36,72,65,92,149,72,49,31,24,655
"Surat Thani",15,6,6,4,4,4,5,2,0,3,3,4,56
"Surin",14,6,19,9,59,138,151,114,46,17,9,4,586
"Tak",14,21,26,11,38,66,45,34,16,13,11,8,303
"Trang",13,9,9,12,18,35,16,22,18,16,24,19,211
"Trat",5,3,6,14,20,26,20,16,13,10,6,11,150
"Ubon Ratchathani",13,10,7,13,63,131,103,80,40,19,13,0,492
"Udon Thani",2,1,0,1,11,25,22,19,12,8,4,2,107
"Uthai Thani",4,2,1,10,6,16,17,12,9,4,4,5,90
"Uttaradit",5,3,0,3,23,51,34,20,3,1,6,0,149
"Yala",3,3,0,1,2,4,1,5,2,2,2,1,26
"Yasothon",0,0,1,3,7,12,20,13,4,5,1,0,66
