"area","<28days","<1yr","1+","2+","3+","4+","5+","6+","7-9","10-14","15-24","25-34","35-44","45-54","55-64","65+","unknown","year"
"Amnat Charoen",0,1,0,0,1,5,6,4,7,23,16,8,5,3,3,1,0,2017
"Ang Thong",0,0,1,2,4,0,5,6,10,31,39,23,14,10,6,4,0,2017
"Bangkok",0,27,48,61,52,45,60,89,255,620,916,0,2472,0,0,0,0,2017
"Bungkan",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2017
"Buri Ram",0,3,2,3,2,10,14,11,33,65,54,9,8,3,10,5,0,2017
"Chachoengsao",0,2,2,1,2,5,9,12,24,38,66,67,40,30,16,18,0,2017
"Chai Nat",0,0,0,0,0,2,1,1,8,18,33,23,11,9,7,3,0,2017
"Chaiyaphum",0,2,2,13,13,10,17,17,40,65,42,13,5,11,6,7,0,2017
"Chanthaburi",0,1,6,2,6,5,8,6,29,48,49,39,27,16,19,5,0,2017
"Chiang Mai",1,5,3,9,10,9,11,15,43,153,388,335,212,151,117,48,0,2017
"Chiang Rai",0,5,9,19,16,25,26,16,85,165,320,291,228,167,164,68,0,2017
"Chon Buri",0,3,3,8,5,12,14,12,46,104,133,77,50,21,10,11,0,2017
"Chumphon",0,2,1,2,6,3,8,8,35,66,66,46,28,13,10,5,0,2017
"Kalasin",0,2,2,3,6,20,14,18,58,105,116,31,23,25,11,10,0,2017
"Kamphaeng Phet",0,1,3,10,6,7,8,13,41,91,101,39,33,17,9,4,0,2017
"Kanchanaburi",0,0,0,1,1,0,4,6,7,19,23,7,5,2,1,1,0,2017
"Khon Kaen",0,1,3,2,5,6,7,3,23,58,49,19,8,7,6,5,0,2017
"Krabi",0,3,8,4,4,3,10,13,24,37,36,19,9,4,0,6,0,2017
"Lampang",0,0,2,3,1,1,1,4,14,45,52,60,26,22,26,7,0,2017
"Lamphun",0,0,0,1,1,1,0,3,10,21,32,47,30,22,15,13,0,2017
"Loei",0,3,0,1,2,6,8,5,28,62,56,27,19,13,12,9,0,2017
"Lop Buri",0,2,7,1,6,7,4,19,31,30,24,18,5,5,7,3,0,2017
"Mae Hong Son",0,0,4,2,3,5,3,4,16,34,79,83,65,52,22,12,0,2017
"Maha Sarakham",0,1,2,3,4,14,7,14,40,64,54,17,11,12,5,5,0,2017
"Mukdahan",0,0,0,1,4,1,3,6,22,54,41,25,24,15,6,2,0,2017
"Nakhon Nayok",0,0,2,1,0,1,0,0,2,6,4,7,1,3,1,0,0,2017
"Nakhon Pathom",0,9,2,4,6,5,12,10,57,121,138,78,38,28,9,13,0,2017
"Nakhon Phanom",0,0,0,1,2,4,4,2,7,22,29,10,6,3,2,2,0,2017
"Nakhon Ratchasima",0,7,10,13,10,23,30,35,134,224,239,100,85,47,36,33,0,2017
"Nakhon Sawan",0,4,1,2,2,8,7,5,37,92,99,48,34,16,18,7,0,2017
"Nakhon Si Thammarat",0,15,33,30,40,49,56,73,209,416,557,226,138,101,72,48,0,2017
"Nan",0,0,2,0,2,0,5,5,18,45,90,38,34,34,24,7,0,2017
"Narathiwat",0,0,8,9,10,7,7,9,29,67,94,57,32,25,8,7,0,2017
"Nong Bua Lam Phu",0,0,0,1,2,2,1,2,5,25,22,3,0,2,6,1,0,2017
"Nong Khai",0,0,1,2,3,3,4,4,17,27,20,14,5,0,3,1,0,2017
"Nonthaburi",0,3,5,5,8,7,4,11,36,89,104,77,55,38,19,13,0,2017
"P.Nakhon S.Ayutthaya",0,2,1,4,6,2,1,8,18,46,42,24,18,18,7,7,0,2017
"Pathum Thani",0,3,2,4,2,0,1,7,17,39,54,33,14,4,6,3,0,2017
"Pattani",0,1,1,4,7,12,12,13,38,55,62,31,14,11,6,8,0,2017
"Phangnga",0,5,9,4,8,11,5,10,42,63,88,68,38,19,16,13,0,2017
"Phatthalung",0,3,4,8,7,14,13,17,67,107,87,31,25,16,9,5,0,2017
"Phayao",0,0,1,1,3,0,1,1,1,7,14,9,6,7,7,3,0,2017
"Phetchabun",0,4,1,4,4,4,7,7,36,81,46,17,5,1,2,10,0,2017
"Phetchaburi",0,5,8,14,12,21,28,38,91,137,152,82,30,23,18,12,0,2017
"Phichit",0,9,4,3,4,3,5,14,44,94,100,36,29,17,14,15,0,2017
"Phitsanulok",0,2,3,2,4,3,5,9,28,76,124,50,35,27,14,6,0,2017
"Phrae",0,0,2,0,1,0,0,0,2,7,6,6,3,7,3,1,0,2017
"Phuket",0,2,2,5,4,7,5,9,21,35,88,57,39,21,1,5,0,2017
"Prachin Buri",0,1,5,6,6,9,10,8,45,67,86,57,33,16,18,5,0,2017
"Prachuap Khiri Khan",0,2,1,0,4,2,6,7,16,30,59,34,15,10,9,4,0,2017
"Ranong",0,2,0,3,4,8,3,7,11,28,37,27,20,6,7,3,0,2017
