"area","<28days","<1yr","1+","2+","3+","4+","5+","6+","7-9","10-14","15-24","25-34","35-44","45-54","55-64","65+","unknown","year"
"Amnat Charoen",0,1,1,1,3,6,8,11,55,98,78,23,9,9,8,8,0,2019
"Ang Thong",0,0,1,2,2,0,1,0,13,26,22,17,12,9,3,6,0,2019
"Bangkok",1,45,68,74,85,103,112,149,570,1163,2094,1759,1037,672,425,233,0,2019
"Bungkan",0,10,3,10,14,27,29,43,136,205,115,34,27,17,10,2,0,2019
"Buri Ram",0,15,19,28,59,75,97,132,489,762,483,107,56,54,34,11,0,2019
"Chachoengsao",1,3,8,7,10,9,11,16,73,130,185,119,71,31,22,14,0,2019
"Chai Nat",0,0,2,1,1,2,8,5,28,58,63,27,21,11,11,3,0,2019
"Chaiyaphum",0,10,22,31,47,66,102,125,436,639,406,111,51,35,29,15,0,2019
"Chanthaburi",0,10,6,7,18,34,29,42,154,273,407,252,140,60,40,36,0,2019
"Chiang Mai",0,5,10,15,19,20,36,27,158,335,712,651,381,256,239,98,0,2019
"Chiang Rai",0,19,35,39,52,49,77,83,281,518,1003,805,513,501,430,257,0,2019
"Chon Buri",0,24,33,39,41,32,59,59,265,512,697,386,199,89,54,34,0,2019
"Chumphon",0,5,6,1,7,6,9,9,44,121,125,71,44,31,16,7,0,2019
"Kalasin",0,7,1,9,10,27,32,49,145,290,222,58,51,22,17,17,0,2019
"Kamphaeng Phet",0,5,6,4,4,8,6,13,49,104,102,32,12,12,6,3,0,2019
"Kanchanaburi",0,4,6,13,7,19,11,30,99,174,115,66,37,18,15,5,0,2019
"Khon Kaen",0,18,17,28,36,65,91,108,366,707,546,184,87,37,24,19,0,2019
"Krabi",0,7,2,12,10,3,6,8,38,61,64,30,26,13,4,5,0,2019
"Lampang",0,5,6,8,14,11,17,20,65,138,164,94,48,47,33,29,0,2019
"Lamphun",0,2,0,3,1,1,2,2,15,22,60,51,38,30,24,19,0,2019
"Loei",0,12,21,14,22,26,25,38,145,309,305,126,56,35,35,19,0,2019
"Lop Buri",0,9,12,18,16,22,38,47,147,210,189,74,44,21,13,13,0,2019
"Mae Hong Son",0,0,1,2,0,2,1,5,8,38,83,70,47,42,30,21,0,2019
