"area","<28days","<1yr","1+","2+","3+","4+","5+","6+","7-9","10-14","15-24","25-34","35-44","45-54","55-64","65+","unknown","year"
"Amnat Charoen",0,1,0,0,1,5,4,6,22,39,29,4,7,3,1,1,0,2012
"Ang Thong",0,2,1,1,1,1,3,3,13,35,70,21,10,7,3,4,5,2012
"Bangkok",0,0,1158,813,557,346,195,156,315,0,0,0,0,0,0,0,43,2012
"Bungkan",0,0,0,1,1,7,5,12,36,40,14,3,1,2,0,0,0,2012
"Buri Ram",0,1,8,14,32,31,39,40,215,348,182,25,24,20,15,7,0,2012
"Chachoengsao",0,3,3,7,8,14,19,13,70,109,173,97,32,28,27,21,1,2012
"Chai Nat",0,1,2,2,4,5,7,7,23,56,64,21,8,10,5,1,1,2012
"Chaiyaphum",0,4,4,5,10,21,28,23,102,177,91,23,8,6,3,4,0,2012
"Chanthaburi",0,10,10,12,12,21,19,26,86,175,182,102,50,27,17,5,0,2012
"Chiang Mai",0,3,3,10,9,6,12,12,58,160,390,288,177,121,73,24,0,2012
"Chiang Rai",0,6,5,7,9,7,5,19,45,112,207,131,86,70,55,23,0,2012
"Chon Buri",0,5,11,9,12,13,15,25,68,123,179,63,35,17,8,7,0,2012
"Chumphon",0,4,3,10,13,12,20,20,79,156,150,80,44,23,9,8,0,2012
"Kalasin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
"Kamphaeng Phet",0,4,5,8,10,20,18,22,73,144,151,49,24,18,7,8,0,2012
"Kanchanaburi",0,11,8,13,15,24,23,31,96,134,110,53,29,16,12,6,0,2012
"Khon Kaen",0,7,6,15,14,14,32,33,144,335,252,58,20,21,5,4,0,2012
"Krabi",0,6,8,10,14,21,24,30,90,146,176,88,53,14,9,9,0,2012
"Lampang",8,7,1,0,0,3,2,3,9,17,47,23,15,11,5,2,35,2012
"Lamphun",0,1,0,0,1,3,1,2,11,36,85,22,14,7,5,6,0,2012
"Loei",0,1,3,9,9,5,15,14,80,176,140,34,21,21,12,4,0,2012
"Lop Buri",0,7,16,26,15,22,43,42,139,239,158,57,21,14,8,5,0,2012
"Mae Hong Son",0,0,1,0,0,1,0,3,5,12,17,24,13,3,3,1,0,2012
"Maha Sarakham",0,1,4,9,12,17,27,31,151,289,217,41,20,5,4,1,0,2012
"Mukdahan",0,0,1,1,1,3,8,6,15,52,33,13,3,3,2,2,0,2012
"Nakhon Nayok",0,1,0,1,0,0,1,1,10,26,26,8,6,5,1,0,0,2012
"Nakhon Pathom",0,2,3,9,6,10,10,16,65,114,158,72,30,16,2,6,0,2012
"Nakhon Phanom",0,1,0,1,4,2,5,6,41,58,54,14,3,3,1,1,0,2012
"Nakhon Ratchasima",1,20,19,28,27,37,61,62,253,437,307,110,63,40,15,7,0,2012
"Nakhon Sawan",0,11,9,16,24,30,36,43,144,282,281,90,37,21,13,8,0,2012
"Nakhon Si Thammarat",0,9,13,26,22,30,35,35,117,235,214,88,45,30,7,12,1,2012
"Nan",1,0,0,1,3,3,1,0,11,22,51,20,13,10,11,3,0,2012
"Narathiwat",0,0,0,2,3,4,3,3,10,24,46,41,26,16,11,8,0,2012
"Nong Bua Lam Phu",0,2,1,4,3,6,4,4,31,50,23,5,4,2,0,2,0,2012
"Nong Khai",0,2,0,1,0,2,2,3,7,21,11,4,4,1,0,1,0,2012
"Nonthaburi",0,14,7,8,6,13,9,11,40,69,143,53,38,20,16,4,0,2012
"P.Nakhon S.Ayutthaya",0,1,2,3,2,2,3,5,24,33,32,14,9,3,1,2,7,2012
"Pathum Thani",0,10,2,8,8,7,13,10,42,80,79,50,19,9,5,1,0,2012
"Pattani",0,1,4,2,5,6,4,4,11,23,21,23,9,2,2,2,0,2012
"Phangnga",0,1,5,0,10,8,9,13,24,72,52,34,20,16,8,5,0,2012
"Phatthalung",1,19,5,7,5,12,20,14,58,101,105,32,25,16,14,4,171,2012
"Phayao",0,1,0,0,1,1,0,1,7,8,34,12,8,8,5,3,0,2012
"Phetchabun",0,2,6,2,1,12,10,12,49,95,73,18,21,12,3,2,0,2012
"Phetchaburi",0,4,4,11,19,14,18,45,77,91,104,54,16,19,9,9,0,2012
"Phichit",0,5,2,13,9,10,14,10,42,103,76,30,15,19,7,10,0,2012
"Phitsanulok",0,2,1,8,7,5,18,23,90,205,235,93,47,25,10,6,0,2012
"Phrae",1,8,0,3,1,3,4,9,33,105,171,48,22,13,6,4,75,2012
"Phuket",0,2,0,2,1,2,1,2,8,16,52,36,19,6,0,3,0,2012
"Prachin Buri",0,7,9,8,16,13,11,24,78,137,179,77,33,15,17,8,0,2012
"Prachuap Khiri Khan",0,18,1,1,5,4,5,7,25,36,58,36,15,9,3,0,5,2012
"Ranong",0,2,0,0,2,2,2,4,18,43,42,8,5,6,3,1,0,2012
"Ratchaburi",0,10,6,22,25,26,38,32,175,268,257,100,61,30,15,7,1,2012
"Rayong",0,8,18,23,25,31,22,38,135,224,255,206,84,35,29,13,3,2012
"Roi Et",0,2,4,6,15,22,29,29,150,255,178,30,11,4,5,6,0,2012
"Sa Kaeo",0,4,4,10,8,19,18,18,73,110,89,34,14,8,5,3,0,2012
"Sakon Nakhon",0,0,1,0,1,1,3,2,16,21,18,3,4,0,0,0,0,2012
"Samut Prakan",0,5,4,10,8,15,8,16,56,105,114,42,27,15,4,7,0,2012
"Samut Sakhon",0,14,10,26,23,24,33,35,128,158,109,48,18,20,5,8,0,2012
"Samut Songkhram",0,0,0,1,0,1,2,2,9,30,56,39,21,9,1,1,0,2012
"Saraburi",0,3,2,5,10,9,5,18,49,86,38,17,9,4,2,5,0,2012
"Satun",0,4,1,3,10,6,12,7,36,68,48,19,11,5,4,2,0,2012
"Si Sa Ket",0,10,5,19,24,27,21,32,173,338,240,65,33,24,21,3,0,2012
