"area","<28days","<1yr","1+","2+","3+","4+","5+","6+","7-9","10-14","15-24","25-34","35-44","45-54","55-64","65+","unknown","year"
"Amnat Charoen",0,0,1,3,1,4,12,11,24,62,27,11,4,1,0,0,0,2011
"Ang Thong",0,0,0,3,4,1,0,10,23,51,71,34,10,7,9,6,0,2011
"Bangkok",0,32,46,47,60,66,62,78,250,509,765,592,345,198,106,44,0,2011
"Bungkan",0,0,0,1,3,1,5,0,3,16,6,1,0,1,0,0,0,2011
"Buri Ram",0,4,6,6,10,16,24,25,88,177,86,18,11,20,6,9,0,2011
"Chachoengsao",0,2,1,5,4,3,9,9,30,89,156,105,55,34,16,15,0,2011
"Chai Nat",0,1,0,2,5,3,6,7,28,34,67,23,12,7,5,2,0,2011
"Chaiyaphum",0,1,3,10,2,10,20,18,82,125,63,10,9,5,0,1,0,2011
"Chanthaburi",0,1,4,6,8,15,18,18,61,122,106,67,29,16,7,2,0,2011
"Chiang Mai",0,0,0,0,8,2,2,2,13,37,88,58,36,31,17,8,0,2011
"Chiang Rai",0,4,5,4,4,5,3,3,17,51,78,50,37,32,11,9,0,2011
"Chon Buri",0,7,7,10,7,15,11,20,62,128,185,123,40,25,11,4,0,2011
"Chumphon",0,6,1,2,4,3,3,8,17,42,62,16,11,4,3,2,0,2011
"Kalasin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
"Kamphaeng Phet",0,2,9,8,9,13,14,17,85,162,80,46,29,9,4,0,0,2011
"Kanchanaburi",0,7,2,5,12,7,13,13,46,80,80,32,8,4,2,3,0,2011
"Khon Kaen",0,3,2,4,11,15,12,29,88,182,148,29,19,4,6,1,0,2011
"Krabi",0,4,6,2,10,13,12,4,29,46,68,50,29,12,2,2,0,2011
"Lampang",0,0,0,2,3,3,1,1,10,30,42,17,20,17,3,7,0,2011
"Lamphun",0,0,0,0,0,2,0,2,2,10,22,6,4,5,0,3,0,2011
"Loei",0,1,0,1,5,2,4,7,37,70,35,12,12,6,5,2,0,2011
"Lop Buri",0,3,1,12,12,10,23,23,82,155,108,38,22,9,8,1,0,2011
"Mae Hong Son",0,0,0,0,1,1,1,1,7,22,27,20,21,4,2,3,0,2011
"Maha Sarakham",0,1,0,3,6,8,8,18,44,77,78,15,5,5,3,3,0,2011
"Mukdahan",0,0,0,1,0,2,0,0,9,28,12,0,2,0,0,0,0,2011
"Nakhon Nayok",0,0,2,1,3,4,2,4,17,40,60,22,10,4,3,1,0,2011
"Nakhon Pathom",0,1,2,6,5,9,11,10,51,75,114,49,27,12,5,2,0,2011
"Nakhon Phanom",0,1,0,4,0,3,4,6,18,30,25,6,5,3,3,2,0,2011
"Nakhon Ratchasima",2,7,9,14,29,22,22,39,160,247,165,50,25,14,16,9,0,2011
"Nakhon Sawan",0,7,12,13,16,20,36,41,141,312,300,134,48,34,13,5,0,2011
"Nakhon Si Thammarat",0,10,16,10,13,14,9,10,56,92,71,34,27,18,11,15,0,2011
"Nan",0,0,0,1,0,0,0,1,1,4,8,2,2,1,0,1,0,2011
"Narathiwat",0,0,0,2,4,2,6,1,12,26,42,27,11,20,13,7,0,2011
"Nong Bua Lam Phu",0,0,0,0,3,0,2,3,7,13,2,1,2,0,0,0,0,2011
"Nong Khai",0,1,1,1,1,2,5,3,12,41,19,1,1,0,0,0,0,2011
"Nonthaburi",0,7,8,6,18,14,19,14,65,123,152,76,50,48,15,15,0,2011
"P.Nakhon S.Ayutthaya",0,3,3,0,2,5,1,3,9,20,40,21,3,7,5,2,0,2011
"Pathum Thani",0,11,6,8,16,7,13,12,42,90,71,28,19,6,5,1,0,2011
"Pattani",0,2,2,1,2,3,0,1,4,9,11,5,3,4,4,2,0,2011
"Phangnga",0,1,2,3,1,4,2,8,13,21,11,15,5,7,3,2,0,2011
"Phatthalung",0,2,3,4,4,9,8,8,30,91,77,18,13,11,8,4,0,2011
"Phayao",0,0,2,1,0,1,1,1,5,16,21,9,11,8,5,2,0,2011
"Phetchabun",0,4,5,9,20,15,22,24,85,128,80,26,18,9,7,1,0,2011
"Phetchaburi",0,12,7,14,19,13,16,32,107,217,235,93,53,26,10,9,0,2011
