"area","<28days","<1yr","1+","2+","3+","4+","5+","6+","7-9","10-14","15-24","25-34","35-44","45-54","55-64","65+","unknown","year"
"Amnat Charoen",0,3,0,1,1,6,4,5,19,38,24,2,3,3,1,2,0,2014
"Ang Thong",0,1,3,0,0,3,1,1,12,11,22,10,12,3,6,3,0,2014
"Bangkok",0,31,25,26,31,43,36,49,166,334,532,366,243,117,82,41,0,2014
"Bungkan",0,0,3,4,2,5,7,8,21,31,21,9,6,5,3,1,0,2014
"Buri Ram",0,4,2,7,7,10,10,12,56,64,25,4,7,3,6,3,0,2014
"Chachoengsao",0,0,2,0,3,3,3,8,15,29,53,11,8,5,2,1,0,2014
"Chai Nat",0,0,1,0,0,2,2,0,7,4,9,2,2,3,2,0,0,2014
"Chaiyaphum",0,3,3,7,14,10,15,17,72,117,69,28,18,11,2,0,0,2014
"Chanthaburi",0,0,2,9,13,16,10,23,62,105,182,136,70,55,24,9,0,2014
"Chiang Mai",0,2,2,1,1,3,7,8,35,67,167,158,73,46,30,14,0,2014
"Chiang Rai",0,1,3,1,7,1,1,2,12,29,67,49,39,40,19,23,0,2014
"Chon Buri",0,2,2,3,8,6,6,4,39,42,62,32,19,13,10,1,0,2014
"Chumphon",0,2,8,4,13,9,11,7,41,95,107,46,35,30,6,5,0,2014
"Kalasin",0,1,7,5,5,5,11,11,43,73,57,16,13,9,7,8,0,2014
"Kamphaeng Phet",0,5,10,13,11,13,25,31,88,152,110,37,15,13,7,9,0,2014
"Kanchanaburi",0,3,3,1,5,10,1,2,16,31,19,9,2,1,1,0,0,2014
"Khon Kaen",0,1,3,0,9,8,5,17,39,65,85,18,13,10,4,0,0,2014
"Krabi",0,5,6,6,9,12,15,14,52,65,92,55,27,17,8,3,0,2014
"Lampang",0,0,0,0,1,0,1,1,4,21,38,20,8,6,5,8,0,2014
"Lamphun",0,0,0,0,0,0,1,0,1,4,4,4,5,0,2,0,0,2014
"Loei",0,0,3,0,2,1,2,3,12,16,15,8,8,5,3,2,0,2014
"Lop Buri",0,1,8,7,16,14,18,15,76,136,88,22,12,11,3,1,0,2014
"Mae Hong Son",0,0,1,0,3,5,9,15,42,77,117,62,34,36,16,9,0,2014
"Maha Sarakham",0,2,1,5,15,10,14,19,40,73,52,8,6,4,2,1,0,2014
"Mukdahan",0,1,1,0,0,2,1,1,6,9,18,6,7,5,0,0,0,2014
"Nakhon Nayok",0,1,2,1,2,0,1,4,4,11,8,7,4,7,2,1,0,2014
"Nakhon Pathom",0,3,7,4,4,8,10,9,39,94,96,43,34,18,14,9,0,2014
"Nakhon Phanom",0,0,1,1,2,1,6,8,20,23,14,6,4,3,3,3,0,2014
"Nakhon Ratchasima",0,5,5,8,12,9,24,18,63,98,106,46,30,12,6,5,0,2014
"Nakhon Sawan",0,4,8,9,7,10,13,12,63,109,92,36,20,11,11,5,0,2014
"Nakhon Si Thammarat",0,14,15,37,30,31,29,50,220,369,580,285,205,144,65,47,0,2014
"Nan",0,0,0,1,1,5,3,3,18,67,126,46,43,48,26,14,0,2014
"Narathiwat",0,0,1,1,3,3,8,10,30,68,110,61,49,40,19,12,0,2014
"Nong Bua Lam Phu",0,1,3,3,2,3,1,3,10,19,6,4,4,1,0,1,0,2014
"Nong Khai",0,0,3,3,7,11,3,11,50,54,12,5,1,1,3,2,0,2014
"Nonthaburi",0,4,4,5,5,0,4,6,23,27,43,33,10,13,6,6,0,2014
"P.Nakhon S.Ayutthaya",0,2,3,2,2,2,2,5,17,23,42,15,15,4,2,3,0,2014
"Pathum Thani",0,6,6,3,3,5,5,7,14,39,43,13,17,7,3,2,0,2014
"Pattani",0,3,4,5,11,9,11,12,47,82,105,40,29,12,11,9,0,2014
"Phangnga",0,0,2,0,3,3,7,5,20,15,13,7,9,2,3,1,0,2014
"Phatthalung",0,5,9,11,10,9,9,14,72,104,130,49,43,29,18,11,0,2014
"Phayao",0,0,1,1,1,0,1,0,2,11,25,7,3,9,5,2,0,2014
"Phetchabun",0,0,1,0,0,0,1,4,12,21,10,6,2,3,1,0,0,2014
"Phetchaburi",0,3,8,6,9,7,16,16,51,96,89,42,23,14,11,6,0,2014
"Phichit",0,1,1,11,4,17,11,17,47,62,41,23,14,13,11,6,0,2014
"Phitsanulok",0,0,1,1,1,2,0,8,14,25,21,12,10,4,2,1,0,2014
"Phrae",0,1,3,0,2,3,3,8,19,74,77,23,12,9,6,3,0,2014
"Phuket",0,5,1,3,3,3,2,7,11,28,73,53,46,19,8,8,1,2014
"Prachin Buri",0,3,2,3,4,8,13,7,30,68,97,34,22,5,7,3,0,2014
"Prachuap Khiri Khan",0,6,3,4,2,4,4,5,15,22,45,25,17,8,4,5,0,2014
"Ranong",0,0,3,0,2,2,3,6,18,20,20,17,11,12,5,6,0,2014
"Ratchaburi",0,4,9,4,5,12,18,25,102,172,171,83,51,18,14,6,0,2014
"Rayong",0,1,5,8,4,9,11,17,36,71,116,80,53,26,14,6,0,2014
"Roi Et",0,1,1,1,3,13,12,22,72,86,61,8,10,6,3,3,0,2014
"Sa Kaeo",0,1,2,6,3,4,3,7,23,42,34,10,8,1,3,0,0,2014
"Sakon Nakhon",0,0,0,3,1,1,4,2,11,19,10,4,4,3,0,0,0,2014
"Samut Prakan",0,7,9,8,8,14,15,15,51,83,90,40,20,13,11,6,0,2014
"Samut Sakhon",0,19,12,9,9,14,12,9,36,76,36,16,9,10,4,6,0,2014
"Samut Songkhram",0,0,0,0,1,1,1,1,11,21,51,17,12,6,1,3,0,2014
"Saraburi",0,1,4,3,3,2,10,7,30,64,73,37,20,12,0,1,0,2014
"Satun",0,3,2,4,5,5,5,3,18,20,26,12,7,4,1,1,0,2014
"Si Sa Ket",0,3,6,9,8,12,17,16,64,105,79,28,22,18,10,7,0,2014
"Sing Buri",0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,2014
"Songkhla",0,2,2,9,10,6,11,16,37,72,96,55,27,24,6,8,0,2014
"Sukhothai",0,5,2,6,6,5,11,7,27,38,41,19,4,4,4,1,0,2014
"Suphan Buri",0,1,1,2,3,3,5,7,18,37,29,20,7,3,3,1,0,2014
"Surat Thani",0,3,2,8,6,10,10,15,53,119,199,110,39,24,5,5,0,2014
"Surin",0,1,6,9,10,15,12,20,78,127,93,31,10,11,7,4,0,2014
"Tak",0,2,2,14,9,10,16,15,52,99,87,35,28,16,5,2,0,2014
"Trang",0,2,0,1,0,0,2,2,4,15,18,8,4,7,3,0,0,2014
"Trat",0,1,1,0,1,1,3,6,12,17,34,30,8,8,2,1,0,2014
"Ubon Ratchathani",0,4,1,9,12,2,14,16,43,99,56,15,16,14,9,6,0,2014
"Udon Thani",0,1,1,1,1,1,2,0,5,9,5,1,0,0,0,0,0,2014
