"area","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","total"
"Amnat Charoen",2,2,3,5,40,40,39,14,10,2,4,0,161
"Ang Thong",1,16,4,15,23,48,42,27,9,21,15,8,229
"Bangkok",202,145,128,129,302,416,483,414,279,221,304,177,3200
"Bungkan",1,0,0,0,2,5,11,5,8,3,2,0,37
"Buri Ram",11,5,7,9,35,116,96,123,68,12,15,9,506
"Chachoengsao",12,12,4,16,53,105,99,69,70,40,37,16,533
"Chai Nat",9,6,5,4,31,30,36,18,21,20,14,8,202
"Chaiyaphum",3,1,5,23,38,62,70,62,40,33,13,9,359
"Chanthaburi",9,9,9,22,75,92,84,67,37,29,27,20,480
"Chiang Mai",13,2,2,9,40,65,52,51,29,11,19,9,302
"Chiang Rai",9,5,2,3,25,63,61,66,44,11,14,10,313
"Chon Buri",36,26,58,65,119,93,71,56,51,33,28,19,655
"Chumphon",21,16,16,11,20,31,33,10,5,10,8,3,184
"Kalasin",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kamphaeng Phet",8,9,5,24,58,143,85,76,35,20,14,10,487
"Kanchanaburi",6,5,18,30,63,62,25,19,20,16,40,10,314
"Khon Kaen",5,4,2,12,57,113,125,92,60,29,32,22,553
"Krabi",18,32,20,14,29,32,33,27,23,21,23,17,289
"Lampang",9,3,1,4,21,36,35,20,10,7,4,6,156
"Lamphun",1,1,1,2,6,15,10,7,5,5,3,0,56
"Loei",0,5,3,8,25,43,56,15,25,10,6,3,199
"Lop Buri",21,20,7,0,4,73,114,94,65,42,49,18,507
"Mae Hong Son",0,0,3,5,44,25,27,6,0,0,0,0,110
"Maha Sarakham",5,3,7,4,14,21,76,61,57,18,7,1,274
"Mukdahan",0,0,2,2,4,19,15,7,3,2,0,0,54
"Nakhon Nayok",0,1,1,6,24,36,36,37,12,11,7,2,173
"Nakhon Pathom",34,27,15,10,16,24,44,44,53,41,46,25,379
"Nakhon Phanom",1,1,0,0,18,29,35,15,3,5,0,3,110
"Nakhon Ratchasima",16,14,17,25,69,112,144,186,116,55,58,18,830
"Nakhon Sawan",19,25,31,55,164,300,242,152,71,43,21,9,1132
"Nakhon Si Thammarat",69,51,38,30,45,33,22,28,23,34,20,13,406
"Nan",0,1,0,1,4,5,5,2,3,0,0,0,21
"Narathiwat",23,10,8,10,16,16,13,15,11,11,14,26,173
"Nong Bua Lam Phu",1,1,0,1,3,13,10,3,1,0,0,0,33
"Nong Khai",2,0,0,0,2,29,18,24,7,1,5,0,88
"Nonthaburi",21,31,30,27,71,97,107,95,59,29,39,24,630
"P.Nakhon S.Ayutthaya",7,1,3,5,22,23,16,18,14,5,9,1,124
"Pathum Thani",10,7,12,21,90,56,68,31,18,6,12,4,335
"Pattani",8,2,3,3,5,4,4,1,6,3,10,4,53
"Phangnga",1,2,2,0,3,7,20,29,11,8,8,7,98
"Phatthalung",35,29,13,11,25,17,24,26,17,29,26,38,290
"Phayao",1,1,1,2,12,35,18,8,4,0,0,1,83
"Phetchabun",7,16,13,22,52,139,89,56,31,15,10,3,453
"Phetchaburi",8,8,10,46,132,169,148,173,95,33,27,14,863
"Phichit",12,18,18,49,144,202,227,176,69,22,13,8,958
"Phitsanulok",14,16,14,26,75,153,116,73,29,14,9,7,546
"Phrae",2,0,1,2,4,17,16,10,8,1,1,2,64
"Phuket",4,5,3,0,7,5,5,5,3,9,2,7,55
"Prachin Buri",12,3,20,23,99,157,80,65,38,32,26,8,563
"Prachuap Khiri Khan",13,15,11,33,40,78,62,53,44,21,18,16,404
"Ranong",3,3,4,3,6,3,3,6,3,1,7,5,47
"Ratchaburi",40,41,38,30,53,99,92,168,144,96,113,51,965
"Rayong",24,15,23,35,76,94,100,88,79,68,63,39,704
"Roi Et",3,7,9,10,52,156,174,149,61,23,14,5,663
"Sa Kaeo",3,3,11,13,56,66,101,58,38,14,5,3,371
"Sakon Nakhon",0,0,0,1,2,22,10,15,4,2,0,1,57
"Samut Prakan",50,61,57,65,71,114,103,80,44,34,27,16,722
"Samut Sakhon",30,20,15,16,44,36,62,58,64,92,78,44,559
"Samut Songkhram",4,7,19,30,44,42,60,44,27,27,33,6,343
"Saraburi",10,13,16,25,35,43,51,20,17,14,14,6,264
"Satun",12,4,3,17,27,29,17,13,2,10,13,13,160
"Si Sa Ket",8,12,20,43,203,273,290,253,123,50,21,17,1313
"Sing Buri",1,0,0,0,0,2,4,1,0,0,0,0,8
"Songkhla",89,55,39,22,31,28,29,26,33,44,31,35,462
"Sukhothai",6,6,7,25,50,73,54,30,17,10,7,4,289
"Suphan Buri",12,19,22,25,51,40,80,60,38,12,10,11,380
"Surat Thani",41,27,24,14,30,23,14,28,17,23,23,15,279
"Surin",21,11,39,30,141,290,338,262,128,47,23,9,1339
"Tak",19,14,21,12,48,78,52,37,26,17,15,6,345
"Trang",2,0,1,2,7,7,6,5,9,5,9,15,68
"Trat",9,6,10,26,72,60,45,22,29,12,9,14,314
"Ubon Ratchathani",7,8,9,16,73,149,98,106,68,23,6,2,565
"Udon Thani",0,0,0,0,3,6,8,12,8,0,2,0,39
"Uthai Thani",0,4,1,18,8,12,16,9,9,8,11,5,101
"Uttaradit",2,2,1,3,23,61,26,31,20,8,13,3,193
"Yala",7,6,8,9,14,6,8,8,2,7,8,5,88
"Yasothon",0,0,0,1,11,21,15,32,11,5,1,0,97
