"area","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","total"
"Amnat Charoen",11,14,18,12,9,24,55,37,17,13,5,2,217
"Ang Thong",6,3,11,7,1,1,5,10,24,14,1,1,84
"Bangkok",998,440,310,124,78,63,193,314,309,333,364,283,3809
"Bungkan",15,22,21,18,45,86,73,59,22,12,7,0,380
"Buri Ram",60,65,61,13,9,23,49,72,61,24,14,4,455
"Chachoengsao",41,22,32,7,5,9,24,46,51,32,25,11,305
"Chai Nat",18,5,10,4,4,3,5,13,23,5,3,1,94
"Chaiyaphum",33,29,28,15,11,33,60,84,62,34,11,0,400
"Chanthaburi",43,31,37,16,38,62,108,72,41,45,40,9,542
"Chiang Mai",73,24,41,57,96,260,903,1339,700,216,182,61,3952
"Chiang Rai",31,19,17,26,42,108,292,292,154,61,38,19,1099
"Chon Buri",137,70,58,31,20,8,14,36,47,34,19,10,484
"Chumphon",25,19,5,6,7,18,28,42,34,30,14,5,233
"Kalasin",42,25,39,22,18,55,95,129,77,49,6,8,565
"Kamphaeng Phet",24,4,9,15,6,6,6,15,18,14,5,1,123
"Kanchanaburi",31,14,25,7,7,7,18,16,12,10,2,1,150
"Khon Kaen",42,35,27,13,20,52,79,94,66,28,12,7,475
"Krabi",9,10,11,10,3,13,34,38,28,14,19,17,206
"Lampang",19,20,22,14,10,24,121,195,82,53,13,6,579
"Lamphun",29,8,17,16,16,32,72,102,47,16,7,5,367
"Loei",14,21,30,20,43,118,101,64,49,29,9,6,504
"Lop Buri",61,55,52,11,4,2,13,39,52,33,8,9,339
"Mae Hong Son",12,12,19,29,64,83,199,207,147,99,52,13,936
"Maha Sarakham",26,34,50,28,12,14,40,67,63,49,23,10,416
"Mukdahan",10,7,11,8,7,68,70,81,48,31,19,3,363
"Nakhon Nayok",12,18,8,0,0,4,8,14,1,2,0,0,67
"Nakhon Pathom",97,50,37,8,7,11,27,59,55,28,16,14,409
"Nakhon Phanom",13,4,16,6,38,53,77,49,20,11,10,4,301
"Nakhon Ratchasima",98,67,57,38,25,66,112,194,129,75,53,18,932
"Nakhon Sawan",79,58,52,15,6,13,33,71,52,24,18,9,430
"Nakhon Si Thammarat",194,130,84,30,23,50,117,230,268,200,208,101,1635
"Nan",1,4,6,3,17,45,32,28,4,15,11,15,181
"Narathiwat",44,25,24,12,5,24,41,60,61,111,103,72,582
"Nong Bua Lam Phu",7,3,10,8,1,11,12,24,24,7,2,0,109
"Nong Khai",9,16,10,5,2,8,11,17,16,2,4,0,100
"Nonthaburi",101,26,22,7,11,13,24,39,26,32,33,20,354
"P.Nakhon S.Ayutthaya",37,39,20,18,7,14,21,43,45,30,14,6,294
"Pathum Thani",44,14,16,3,4,7,12,40,36,12,15,8,211
"Pattani",29,10,15,19,16,20,39,111,97,219,183,131,889
"Phangnga",37,19,14,16,15,48,45,39,20,8,6,0,267
"Phatthalung",28,16,13,9,5,9,53,126,142,121,137,97,756
"Phayao",4,3,1,23,30,14,16,28,28,2,0,1,150
"Phetchabun",6,12,13,16,77,155,182,74,21,10,3,0,569
"Phetchaburi",29,15,20,14,13,14,36,61,58,33,25,15,333
"Phichit",20,36,39,9,1,2,7,29,21,19,9,15,207
"Phitsanulok",60,37,34,15,7,32,77,49,46,22,20,6,405
"Phrae",11,5,9,2,4,6,13,13,8,11,8,3,93
"Phuket",28,20,20,11,13,10,18,24,14,12,20,13,203
"Prachin Buri",33,27,20,7,4,21,25,43,25,19,16,11,251
"Prachuap Khiri Khan",12,18,17,6,3,2,23,34,19,13,22,13,182
"Ranong",13,12,4,5,7,9,16,16,5,9,8,6,110
"Ratchaburi",50,41,23,13,2,10,29,35,39,14,5,3,264
"Rayong",59,45,41,33,23,32,78,68,31,40,23,7,480
"Roi Et",76,64,75,31,15,61,111,137,106,78,32,12,798
"Sa Kaeo",31,23,12,12,5,5,11,8,20,16,4,5,152
"Sakon Nakhon",1,1,8,10,14,29,39,16,11,4,0,1,134
"Samut Prakan",141,71,53,21,15,9,19,40,27,39,27,38,500
"Samut Sakhon",98,38,23,8,9,5,15,14,36,24,22,2,294
"Samut Songkhram",13,4,5,4,3,2,0,3,2,1,2,3,42
"Saraburi",22,24,16,6,5,6,7,28,20,9,11,2,156
"Satun",10,20,7,6,3,20,39,34,14,14,9,2,178
"Si Sa Ket",112,69,92,47,20,60,93,157,160,105,31,13,959
"Sing Buri",0,0,0,0,0,0,0,0,1,0,0,0,1
"Songkhla",83,53,41,23,15,33,69,182,328,311,286,332,1756
"Sukhothai",30,17,31,7,2,1,14,46,50,22,6,5,231
"Suphan Buri",18,10,20,8,5,3,17,25,31,9,12,8,166
"Surat Thani",39,27,24,12,7,14,30,54,88,58,53,50,456
"Surin",163,109,99,73,38,133,248,356,212,152,67,14,1664
"Tak",26,18,20,19,19,31,58,63,43,49,39,17,402
"Trang",4,6,6,3,1,10,32,18,16,7,11,7,121
"Trat",17,19,9,14,15,18,17,20,7,4,11,3,154
"Ubon Ratchathani",136,102,131,81,60,132,203,221,120,82,38,10,1316
"Udon Thani",3,5,5,2,3,6,10,13,7,8,4,1,67
"Uthai Thani",26,14,20,8,3,5,10,7,14,11,7,4,129
"Uttaradit",13,6,22,11,12,12,37,46,36,7,6,1,209
"Yala",18,9,6,5,11,11,24,56,77,100,75,103,495
"Yasothon",12,18,16,16,9,22,47,51,41,9,4,0,245
