"area","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","total"
"Amnat Charoen",3,7,7,23,74,92,94,47,22,8,0,1,378
"Ang Thong",16,10,8,7,9,17,16,22,16,12,4,6,143
"Bangkok",575,282,292,210,271,346,740,949,713,708,660,328,6074
"Bungkan",5,4,17,50,118,167,153,86,10,1,0,0,611
"Buri Ram",56,56,80,64,71,171,155,147,94,26,13,3,936
"Chachoengsao",15,16,8,11,20,43,66,47,32,21,13,3,295
"Chai Nat",18,28,21,9,14,34,53,11,4,8,3,2,205
"Chaiyaphum",13,21,44,56,75,154,127,95,52,22,15,4,678
"Chanthaburi",44,21,31,60,93,148,140,110,78,54,39,13,831
"Chiang Mai",106,67,142,455,978,2592,2466,1155,505,147,73,27,8713
"Chiang Rai",98,26,49,136,722,1970,3272,2738,1197,385,124,37,10754
"Chon Buri",39,43,40,46,49,90,51,76,90,44,26,20,614
"Chumphon",45,60,61,61,98,122,161,84,68,33,36,23,852
"Kalasin",0,0,0,0,0,1,355,207,88,38,16,1,706
"Kamphaeng Phet",21,28,32,31,51,148,181,81,39,27,23,8,670
"Kanchanaburi",32,19,24,17,9,18,29,40,10,6,2,2,208
"Khon Kaen",80,35,64,60,118,222,352,465,208,57,16,0,1677
"Krabi",88,70,75,60,99,128,94,39,0,0,0,1,654
"Lampang",21,19,20,53,225,726,738,439,210,67,26,3,2547
"Lamphun",29,16,31,78,86,148,273,147,72,32,4,1,917
"Loei",47,63,127,180,336,469,424,171,55,34,15,6,1927
"Lop Buri",6,29,35,10,25,46,89,83,66,47,51,11,498
"Mae Hong Son",2,10,11,32,152,333,398,275,112,63,60,25,1473
"Maha Sarakham",58,46,72,45,98,275,388,402,198,81,33,10,1706
"Mukdahan",10,12,29,72,127,168,120,78,20,12,4,0,652
"Nakhon Nayok",8,19,19,27,53,34,37,41,18,7,1,1,265
"Nakhon Pathom",42,44,24,40,13,15,52,77,64,42,39,23,475
"Nakhon Phanom",19,20,46,165,330,359,188,72,19,13,4,0,1235
"Nakhon Ratchasima",139,85,146,155,294,617,645,389,235,116,57,16,2894
"Nakhon Sawan",71,68,85,60,46,127,155,112,73,39,33,12,881
"Nakhon Si Thammarat",259,194,143,140,263,326,185,167,103,61,70,29,1940
"Nan",4,13,14,27,50,140,259,131,50,16,10,1,715
"Narathiwat",32,28,35,19,18,47,96,84,60,48,45,26,538
"Nong Bua Lam Phu",12,20,37,48,71,97,72,56,8,1,0,0,422
"Nong Khai",5,10,3,14,60,109,273,140,40,11,0,0,665
"Nonthaburi",49,38,53,29,37,37,74,97,77,66,66,31,654
"P.Nakhon S.Ayutthaya",27,25,24,12,8,9,25,22,20,22,16,16,226
"Pathum Thani",35,30,16,18,35,42,72,63,45,45,54,11,466
"Pattani",21,25,35,23,24,28,36,45,32,41,57,35,402
"Phangnga",24,21,37,97,128,125,85,50,18,10,12,7,614
"Phatthalung",103,40,61,52,74,143,133,84,54,52,67,47,910
"Phayao",13,5,4,6,43,155,222,142,59,13,2,2,666
"Phetchabun",5,25,26,50,277,504,315,24,2,7,2,0,1237
"Phetchaburi",25,18,31,31,39,62,64,70,48,53,32,16,489
"Phichit",23,21,23,28,28,59,85,61,22,13,14,6,383
"Phitsanulok",39,39,34,63,88,145,174,110,73,35,24,9,833
"Phrae",7,4,28,34,92,148,139,92,52,14,16,0,626
"Phuket",8,19,75,176,230,300,198,159,110,62,53,45,1435
"Prachin Buri",22,19,22,30,61,127,146,106,59,19,9,0,620
"Prachuap Khiri Khan",22,9,24,19,28,29,44,26,12,12,6,9,240
"Ranong",11,7,10,22,30,38,29,29,10,7,11,4,208
"Ratchaburi",65,65,44,34,31,35,117,131,111,98,80,37,848
"Rayong",85,77,54,59,81,127,142,95,84,63,59,30,956
"Roi Et",44,49,65,100,238,473,529,416,172,62,13,3,2164
"Sa Kaeo",15,6,19,27,39,52,72,67,35,24,9,6,371
"Sakon Nakhon",19,19,67,66,65,196,87,17,4,3,0,0,543
"Samut Prakan",88,62,61,64,70,48,41,107,86,72,65,36,800
"Samut Sakhon",75,48,36,19,20,26,51,60,42,40,66,26,509
"Samut Songkhram",20,16,22,17,8,10,15,26,20,23,17,6,200
"Saraburi",18,9,35,15,33,38,78,129,54,48,43,6,506
"Satun",27,8,14,15,37,39,47,20,10,14,7,7,245
"Si Sa Ket",72,85,132,188,429,802,742,409,210,86,39,11,3205
"Sing Buri",1,0,0,0,0,6,3,5,0,1,2,0,18
"Songkhla",264,172,215,198,295,406,270,148,40,18,10,0,2036
"Sukhothai",13,13,25,59,66,57,74,34,27,13,7,6,394
"Suphan Buri",29,38,37,18,5,15,19,25,34,30,32,5,287
"Surat Thani",183,118,131,134,146,196,133,123,90,50,27,35,1366
"Surin",127,138,175,178,241,479,591,480,263,89,26,0,2787
"Tak",22,34,43,60,106,225,207,103,73,29,29,7,938
"Trang",30,13,10,22,48,71,37,52,21,19,19,11,353
"Trat",15,15,48,58,56,131,91,43,24,9,9,5,504
"Ubon Ratchathani",25,35,80,69,246,422,440,298,114,48,13,7,1797
"Udon Thani",14,4,8,7,28,96,181,121,32,7,5,1,504
"Uthai Thani",15,11,24,16,14,30,41,36,19,8,14,0,228
"Uttaradit",14,13,23,24,27,77,90,51,25,12,10,3,369
"Yala",36,22,29,43,52,49,27,30,16,13,12,19,348
"Yasothon",13,14,11,22,65,107,84,86,44,16,5,1,468
