"area","year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","total"
"Satun",2017,2,3,5,2,5,3,1,2,4,5,5,3,40
"Satun",2018,2,6,8,1,4,16,8,6,2,7,2,2,64
"Satun",2019,6,6,3,3,12,7,28,11,3,2,3,0,84
"Satun",2020,0,1,2,3,2,5,9,3,1,0,0,1,27
"Si Sa Ket",2011,8,12,20,43,203,273,290,253,123,50,21,17,1313
"Si Sa Ket",2012,7,10,28,35,72,149,172,138,144,130,86,64,1035
"Si Sa Ket",2013,72,85,132,188,429,802,742,409,210,86,39,11,3205
"Si Sa Ket",2014,4,12,25,12,29,72,75,59,54,33,18,11,404
"Si Sa Ket",2015,9,5,17,34,121,247,319,488,412,284,251,281,2468
"Si Sa Ket",2016,112,69,92,47,20,60,93,157,160,105,31,13,959
"Si Sa Ket",2017,15,9,14,5,20,106,105,101,62,43,30,15,525
"Si Sa Ket",2018,11,8,21,20,90,283,341,242,240,106,101,70,1533
"Si Sa Ket",2019,59,39,69,51,155,451,407,265,225,154,77,22,1974
"Si Sa Ket",2020,25,16,36,20,62,119,176,131,128,41,25,11,790
"Sing Buri",2011,1,0,0,0,0,2,4,1,0,0,0,0,8
"Sing Buri",2012,0,0,0,0,2,2,1,0,0,0,0,1,6
"Sing Buri",2013,1,0,0,0,0,6,3,5,0,1,2,0,18
"Sing Buri",2014,0,0,4,0,0,3,0,0,0,0,0,0,7
"Sing Buri",2015,0,0,0,6,11,3,1,0,0,0,0,0,21
"Sing Buri",2016,0,0,0,0,0,0,0,0,1,0,0,0,1
"Sing Buri",2017,0,1,0,0,1,2,2,1,0,0,0,0,7
"Sing Buri",2018,0,0,1,1,0,3,8,3,4,10,4,9,43
"Sing Buri",2019,4,12,23,3,4,42,21,19,7,12,0,0,147
"Sing Buri",2020,9,12,8,9,11,23,75,101,7,1,1,0,257
"Songkhla",2011,89,55,39,22,31,28,29,26,33,44,31,35,462
"Songkhla",2012,46,47,23,41,92,93,99,80,74,144,279,206,1224
"Songkhla",2013,264,172,215,198,295,406,270,148,40,18,10,0,2036
"Songkhla",2014,0,0,4,22,23,39,87,36,54,60,25,31,381
"Songkhla",2015,26,21,8,11,22,48,67,77,103,140,135,116,774
"Songkhla",2016,83,53,41,23,15,33,69,182,328,311,286,332,1756
"Songkhla",2017,317,175,104,63,77,97,57,48,38,39,45,52,1112
"Songkhla",2018,40,28,38,25,55,91,116,141,106,156,218,185,1199
"Songkhla",2019,114,76,50,48,109,209,222,215,188,181,180,99,1691
"Songkhla",2020,70,54,24,17,38,116,108,81,36,45,24,15,628
"Sukhothai",2011,6,6,7,25,50,73,54,30,17,10,7,4,289
"Sukhothai",2012,6,5,5,9,11,22,41,44,33,28,19,7,230
"Sukhothai",2013,13,13,25,59,66,57,74,34,27,13,7,6,394
"Sukhothai",2014,6,9,10,3,15,22,35,17,32,20,7,4,180
"Sukhothai",2015,2,8,20,23,40,43,30,39,33,31,55,25,349
"Sukhothai",2016,30,17,31,7,2,1,14,46,50,22,6,5,231
"Sukhothai",2017,1,4,0,2,2,18,26,43,24,12,13,3,148
"Sukhothai",2018,4,2,7,11,33,95,93,83,57,40,23,29,477
"Sukhothai",2019,28,27,42,34,15,30,69,71,63,37,15,4,435
"Sukhothai",2020,6,8,9,4,30,41,126,154,102,33,20,22,555
"Suphan Buri",2011,12,19,22,25,51,40,80,60,38,12,10,11,380
"Suphan Buri",2012,10,10,17,18,5,4,27,19,4,54,43,42,253
"Suphan Buri",2013,29,38,37,18,5,15,19,25,34,30,32,5,287
"Suphan Buri",2014,3,5,13,3,13,20,20,21,8,15,8,11,140
"Suphan Buri",2015,4,5,18,9,41,37,58,50,82,73,106,37,520
