"area","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","total"
"Amnat Charoen",9,2,6,9,58,48,28,24,66,47,21,1,319
"Ang Thong",12,10,7,3,5,10,20,18,11,11,4,3,114
"Bangkok",587,354,242,183,158,308,743,1224,1050,1479,1497,765,8590
"Bungkan",6,14,28,7,99,394,109,20,5,0,0,0,682
"Buri Ram",46,79,116,69,136,330,663,343,308,187,107,37,2421
"Chachoengsao",43,46,53,52,64,72,118,90,67,55,37,13,710
"Chai Nat",17,15,16,10,4,15,39,24,44,25,20,12,241
"Chaiyaphum",61,42,90,137,159,389,416,265,179,186,147,54,2125
"Chanthaburi",24,32,35,82,160,336,330,241,113,78,47,30,1508
"Chiang Mai",25,21,34,32,77,209,520,528,530,492,365,129,2962
"Chiang Rai",30,19,43,67,113,358,1173,1106,909,453,341,50,4662
"Chon Buri",155,139,116,151,151,234,420,304,207,237,254,155,2523
"Chumphon",30,36,33,47,64,66,76,53,44,33,8,12,502
"Kalasin",13,17,32,43,50,172,203,183,98,69,56,21,957
"Kamphaeng Phet",17,14,25,26,18,54,87,66,20,19,19,1,366
"Kanchanaburi",26,28,35,7,24,78,162,136,75,15,17,16,619
"Khon Kaen",98,87,122,65,128,407,307,322,315,242,192,48,2333
"Krabi",28,23,11,18,32,42,56,23,14,19,16,7,289
"Lampang",6,18,13,21,39,88,244,142,75,37,12,4,699
"Lamphun",2,4,6,3,3,19,31,53,97,36,14,2,270
"Loei",6,2,9,49,103,287,303,141,119,100,56,13,1188
"Lop Buri",94,106,145,56,36,61,71,64,95,85,48,12,873
"Mae Hong Son",6,1,6,2,5,30,44,85,77,54,38,2,350
"Maha Sarakham",20,25,32,17,14,89,145,146,152,93,35,13,781
"Mukdahan",8,12,33,50,140,156,99,86,34,12,3,1,634
"Nakhon Nayok",8,24,31,25,25,47,33,21,14,26,15,15,284
"Nakhon Pathom",193,127,75,39,20,63,95,146,203,195,159,116,1431
"Nakhon Phanom",2,11,15,49,166,242,107,68,27,11,5,3,706
"Nakhon Ratchasima",127,194,230,254,528,1519,1284,776,558,789,670,207,7136
"Nakhon Sawan",102,106,89,48,36,60,174,121,75,96,88,40,1035
"Nakhon Si Thammarat",210,203,159,120,141,314,539,337,327,298,270,175,3093
"Nan",3,8,2,18,24,61,55,52,69,43,27,3,365
"Narathiwat",21,33,19,26,19,62,118,97,55,85,57,29,621
"Nong Bua Lam Phu",5,4,5,7,24,57,66,39,22,17,17,5,268
"Nong Khai",12,2,23,46,41,47,115,68,73,62,34,5,528
"Nonthaburi",52,35,20,11,19,29,71,106,117,127,102,48,737
"P.Nakhon S.Ayutthaya",33,27,18,15,7,22,32,27,41,51,37,7,317
"Pathum Thani",39,34,26,7,5,24,28,37,26,53,33,25,337
"Pattani",52,37,18,11,39,71,88,75,51,56,44,21,563
"Phangnga",61,48,29,33,79,136,83,43,38,32,24,16,622
"Phatthalung",32,29,15,14,37,94,54,98,36,0,0,0,409
"Phayao",1,0,4,9,10,72,120,47,20,10,15,1,309
"Phetchabun",5,7,20,29,60,174,147,122,83,35,22,6,710
"Phetchaburi",44,26,59,34,28,32,66,69,79,80,105,26,648
"Phichit",7,22,24,8,9,17,25,31,25,24,13,7,212
"Phitsanulok",12,14,20,14,18,42,56,87,99,62,47,15,486
"Phrae",1,7,7,8,20,53,108,80,35,22,11,5,357
"Phuket",31,15,16,7,14,24,24,24,18,15,32,17,237
"Prachin Buri",28,27,48,51,63,116,193,226,117,65,49,7,990
"Prachuap Khiri Khan",16,21,21,21,27,48,40,16,15,12,22,16,275
"Ranong",17,12,13,9,33,32,34,8,3,4,2,6,173
"Ratchaburi",144,90,111,44,41,86,137,166,173,173,145,83,1393
"Rayong",67,45,50,68,85,242,377,251,164,151,198,101,1799
"Roi Et",32,51,51,55,164,482,507,325,234,151,85,31,2168
"Sa Kaeo",16,30,38,57,110,184,201,189,111,69,39,18,1062
"Sakon Nakhon",7,6,15,30,37,136,100,38,22,5,3,1,400
"Samut Prakan",67,45,47,11,17,26,73,61,76,104,141,83,751
"Samut Sakhon",127,102,101,42,26,36,80,100,60,83,122,38,917
"Samut Songkhram",5,4,3,0,3,2,11,29,40,39,38,22,196
"Saraburi",13,21,36,16,12,22,71,107,87,59,56,19,519
"Satun",6,6,3,3,12,7,28,11,3,2,3,0,84
"Si Sa Ket",59,39,69,51,155,451,407,265,225,154,77,22,1974
"Sing Buri",4,12,23,3,4,42,21,19,7,12,0,0,147
"Songkhla",114,76,50,48,109,209,222,215,188,181,180,99,1691
"Sukhothai",28,27,42,34,15,30,69,71,63,37,15,4,435
"Suphan Buri",39,22,13,3,5,24,26,35,20,46,48,27,308
"Surat Thani",41,36,37,19,16,41,57,62,65,39,28,45,486
"Surin",63,74,67,69,141,495,533,430,394,232,107,51,2656
"Tak",11,24,21,47,65,113,268,177,78,68,48,16,936
"Trang",14,19,9,8,33,47,52,49,33,11,7,8,290
"Trat",27,19,23,49,113,120,39,49,21,16,14,5,495
"Ubon Ratchathani",85,100,208,223,817,1709,1215,870,477,209,112,48,6073
"Udon Thani",34,42,80,67,76,261,339,161,54,32,13,8,1167
"Uthai Thani",11,23,16,14,12,41,84,46,47,45,20,16,375
"Uttaradit",10,7,10,46,25,74,171,67,54,36,22,17,539
"Yala",63,38,30,28,68,175,189,100,88,59,47,29,914
"Yasothon",13,18,33,21,34,127,86,63,54,44,20,11,524
