"area","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","total"
"Amnat Charoen",0,0,2,1,9,37,20,23,16,11,1,0,120
"Ang Thong",2,2,10,10,15,18,21,12,20,17,15,6,148
"Bangkok",252,222,307,240,209,412,660,691,538,434,419,297,4681
"Bungkan",2,1,2,2,25,19,18,2,5,4,7,11,98
"Buri Ram",3,1,4,12,65,129,160,155,135,100,73,63,900
"Chachoengsao",15,12,18,19,84,237,227,228,113,48,80,62,1143
"Chai Nat",2,2,0,0,4,9,16,11,7,12,29,14,106
"Chaiyaphum",6,1,10,16,67,150,140,96,72,68,45,35,706
"Chanthaburi",5,5,6,15,16,49,50,37,27,22,39,28,299
"Chiang Mai",18,13,11,17,33,103,235,251,174,115,72,55,1097
"Chiang Rai",30,10,16,26,141,414,619,559,336,248,129,74,2602
"Chon Buri",43,43,58,96,188,287,311,210,157,78,191,152,1814
"Chumphon",15,19,9,11,21,17,57,29,19,13,24,11,245
"Kalasin",1,1,3,3,36,100,132,89,52,33,14,21,485
"Kamphaeng Phet",9,8,12,27,56,135,153,117,68,38,41,36,700
"Kanchanaburi",8,9,10,26,41,84,59,88,19,23,27,26,420
"Khon Kaen",5,5,6,9,64,132,138,143,120,67,83,80,852
"Krabi",10,9,18,16,51,88,68,47,51,27,23,20,428
"Lampang",2,0,0,11,33,64,60,45,22,11,3,6,257
"Lamphun",0,3,10,20,36,35,33,21,20,4,16,7,205
"Loei",1,3,7,7,26,72,85,55,21,19,10,8,314
"Lop Buri",11,11,9,5,42,120,151,145,165,113,71,61,904
"Mae Hong Son",6,3,2,10,30,147,113,61,26,24,26,18,466
"Maha Sarakham",6,3,5,5,46,111,90,45,25,18,15,17,386
"Mukdahan",0,0,3,3,35,53,44,38,13,7,2,5,203
"Nakhon Nayok",1,4,6,18,25,46,168,139,76,25,6,5,519
"Nakhon Pathom",57,41,43,79,114,222,247,251,206,246,256,228,1990
"Nakhon Phanom",2,1,9,5,21,21,14,4,3,3,4,2,89
"Nakhon Ratchasima",20,15,26,40,162,455,328,360,309,324,229,155,2423
"Nakhon Sawan",17,16,32,59,142,361,307,294,304,267,209,162,2170
"Nakhon Si Thammarat",125,135,123,93,201,249,319,370,315,295,315,299,2839
"Nan",6,0,7,8,66,103,97,45,10,5,2,1,350
"Narathiwat",25,14,11,7,10,13,15,51,29,80,78,22,355
"Nong Bua Lam Phu",0,2,2,5,27,54,18,11,11,6,5,4,145
"Nong Khai",1,0,1,3,19,33,27,10,10,8,7,8,127
"Nonthaburi",20,18,32,62,114,213,185,154,102,93,107,83,1183
"P.Nakhon S.Ayutthaya",7,6,15,5,30,63,99,82,68,47,60,35,517
"Pathum Thani",16,16,18,35,85,148,128,158,74,85,91,40,894
"Pattani",14,19,10,7,9,11,17,18,37,38,62,61,303
"Phangnga",18,22,29,13,33,21,36,35,52,24,20,19,322
"Phatthalung",17,7,12,14,24,48,27,29,33,35,70,54,370
"Phayao",0,0,0,2,12,31,15,22,5,6,6,1,100
"Phetchabun",5,5,10,8,28,68,56,43,17,12,4,4,260
"Phetchaburi",13,36,25,20,42,56,53,62,65,55,54,38,519
"Phichit",10,14,13,33,105,223,164,91,80,47,25,16,821
"Phitsanulok",3,6,11,36,85,175,214,170,117,64,37,12,930
"Phrae",0,0,1,18,106,130,54,13,6,4,4,2,338
"Phuket",28,40,40,26,38,39,53,30,23,18,49,36,420
"Prachin Buri",9,14,15,21,41,74,76,63,36,28,24,19,420
"Prachuap Khiri Khan",13,19,16,17,24,22,29,30,13,13,15,19,230
"Ranong",7,9,20,19,28,37,10,13,9,4,7,8,171
"Ratchaburi",51,49,62,42,53,144,160,133,113,134,126,119,1186
"Rayong",24,9,37,45,114,136,119,150,70,95,105,74,978
"Roi Et",3,4,5,12,111,236,169,160,81,24,30,33,868
"Sa Kaeo",4,2,6,9,18,69,51,58,36,16,9,8,286
"Sakon Nakhon",0,2,2,7,15,49,33,31,8,4,2,4,157
"Samut Prakan",32,30,44,44,89,103,101,102,67,50,92,87,841
"Samut Sakhon",49,42,67,57,64,64,86,101,118,108,121,156,1033
"Samut Songkhram",9,12,4,6,12,19,23,33,28,9,8,8,171
"Saraburi",0,5,6,7,28,51,55,48,47,33,26,12,318
"Satun",2,6,8,1,4,16,8,6,2,7,2,2,64
"Si Sa Ket",11,8,21,20,90,283,341,242,240,106,101,70,1533
"Sing Buri",0,0,1,1,0,3,8,3,4,10,4,9,43
"Songkhla",40,28,38,25,55,91,116,141,106,156,218,185,1199
"Sukhothai",4,2,7,11,33,95,93,83,57,40,23,29,477
"Suphan Buri",27,9,16,22,35,71,76,67,83,100,74,53,633
"Surat Thani",57,66,55,66,160,212,119,89,58,56,53,74,1065
"Surin",10,5,19,23,145,277,380,273,257,117,49,49,1604
"Tak",14,11,16,20,73,139,192,100,75,48,48,35,771
"Trang",12,5,3,10,14,17,43,29,22,21,21,10,207
"Trat",6,9,16,15,31,56,71,34,53,38,36,21,386
"Ubon Ratchathani",6,16,29,51,282,406,333,161,75,38,36,44,1477
"Udon Thani",0,1,0,3,30,84,31,22,16,11,13,9,220
"Uthai Thani",4,4,4,13,46,101,86,29,15,31,30,17,380
"Uttaradit",0,3,3,9,35,38,53,42,20,14,9,5,231
"Yala",20,10,7,6,9,12,32,43,35,54,52,52,332
"Yasothon",1,0,3,5,22,55,62,50,19,6,4,5,232
