"area","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","total"
"Amnat Charoen",1,3,4,2,11,64,91,111,80,35,23,12,437
"Ang Thong",9,9,15,36,108,126,107,108,107,87,57,12,781
"Bangkok",286,209,178,192,441,471,705,1103,1270,1895,4273,1715,12738
"Bungkan",0,1,2,0,1,11,19,31,48,60,57,6,236
"Buri Ram",5,7,13,22,49,75,78,223,166,68,96,74,876
"Chachoengsao",6,8,13,16,37,80,169,202,342,279,388,172,1712
"Chai Nat",7,4,5,7,18,74,47,56,46,49,53,29,395
"Chaiyaphum",12,15,24,43,142,193,245,407,333,182,134,43,1773
"Chanthaburi",26,28,43,48,122,178,283,271,207,165,182,57,1610
"Chiang Mai",15,11,7,20,140,340,530,715,925,806,797,316,4622
"Chiang Rai",5,1,1,6,111,241,215,290,232,104,183,72,1461
"Chon Buri",64,38,44,45,143,191,279,286,176,237,316,186,2005
"Chumphon",26,27,22,27,43,66,61,64,53,45,44,18,496
"Kalasin",3,0,9,19,44,109,126,207,196,105,158,84,1060
"Kamphaeng Phet",5,13,16,12,31,48,78,62,76,91,47,48,527
"Kanchanaburi",15,11,26,21,38,51,134,149,105,85,101,50,786
"Khon Kaen",1,3,10,22,47,100,162,186,209,152,161,62,1115
"Krabi",21,11,15,14,24,73,135,94,64,56,38,7,552
"Lampang",4,3,0,3,41,151,174,209,233,118,113,74,1123
"Lamphun",0,0,1,2,8,29,29,82,146,147,118,53,615
"Loei",0,1,7,7,57,115,117,150,101,94,82,20,751
"Lop Buri",27,58,57,46,169,135,99,138,282,277,231,61,1580
"Mae Hong Son",9,9,1,1,13,54,133,146,73,46,40,16,541
"Maha Sarakham",2,3,14,25,50,72,74,108,114,79,121,35,697
"Mukdahan",0,2,6,2,7,45,34,47,49,23,30,15,260
"Nakhon Nayok",3,2,3,3,13,29,68,72,121,24,18,3,359
"Nakhon Pathom",75,45,54,54,52,91,180,279,240,185,196,112,1563
"Nakhon Phanom",3,0,7,24,40,115,106,114,68,44,44,24,589
"Nakhon Ratchasima",22,25,28,63,146,298,543,644,777,634,555,198,3933
"Nakhon Sawan",13,12,19,36,146,189,293,368,432,391,426,97,2422
"Nakhon Si Thammarat",102,71,60,50,50,116,190,161,148,133,178,153,1412
"Nan",0,0,2,13,60,73,101,77,47,16,8,7,404
"Narathiwat",13,15,15,7,7,9,36,43,29,45,55,43,317
"Nong Bua Lam Phu",0,2,1,0,10,30,17,6,10,7,14,5,102
"Nong Khai",0,1,6,5,7,27,32,24,23,23,14,4,166
"Nonthaburi",12,16,14,9,24,41,87,95,91,168,344,180,1081
"P.Nakhon S.Ayutthaya",13,6,9,10,30,49,61,76,129,158,162,48,751
"Pathum Thani",11,19,9,13,19,27,38,57,77,109,180,57,616
"Pattani",8,7,3,1,9,18,17,11,12,13,16,32,147
"Phangnga",14,18,8,11,24,100,94,58,44,38,45,24,478
"Phatthalung",27,14,11,10,20,39,51,34,26,26,39,50,347
"Phayao",0,0,0,4,27,45,44,35,26,18,32,19,250
"Phetchabun",2,8,5,2,19,39,54,71,63,30,26,2,321
"Phetchaburi",34,44,45,58,101,205,347,282,249,164,170,55,1754
"Phichit",0,8,23,26,49,44,56,68,79,73,107,54,587
"Phitsanulok",3,1,4,5,18,64,103,165,153,83,135,102,836
"Phrae",0,2,5,15,79,162,263,339,184,40,42,21,1152
"Phuket",7,5,8,14,12,11,48,29,33,47,64,45,323
"Prachin Buri",18,14,32,63,136,185,299,297,264,160,110,36,1614
"Prachuap Khiri Khan",17,18,18,40,52,107,93,103,111,86,113,61,819
"Ranong",17,11,9,11,13,47,41,26,15,12,21,15,238
"Ratchaburi",53,60,147,138,198,308,520,593,514,232,195,34,2992
"Rayong",72,31,76,114,201,317,342,270,220,193,212,97,2145
"Roi Et",10,4,13,32,99,146,172,207,201,121,133,80,1218
"Sa Kaeo",8,8,7,11,23,78,125,204,186,97,75,38,860
"Sakon Nakhon",1,0,0,7,76,155,144,99,35,14,12,4,547
"Samut Prakan",60,59,57,48,83,77,116,141,143,176,297,195,1452
"Samut Sakhon",31,22,47,37,33,34,46,38,75,127,225,132,847
"Samut Songkhram",15,26,41,31,33,19,47,80,91,65,55,37,540
"Saraburi",18,6,10,36,66,44,72,100,96,67,59,43,617
"Satun",5,3,3,3,0,14,18,5,3,13,15,7,89
"Si Sa Ket",9,5,17,34,121,247,319,488,412,284,251,281,2468
"Sing Buri",0,0,0,6,11,3,1,0,0,0,0,0,21
"Songkhla",26,21,8,11,22,48,67,77,103,140,135,116,774
"Sukhothai",2,8,20,23,40,43,30,39,33,31,55,25,349
"Suphan Buri",4,5,18,9,41,37,58,50,82,73,106,37,520
"Surat Thani",29,19,22,14,16,42,51,67,60,41,71,39,471
"Surin",5,2,11,21,88,142,223,512,430,240,229,107,2010
"Tak",12,8,16,29,114,246,296,205,157,124,136,66,1409
"Trang",1,3,0,2,2,7,18,8,5,5,0,6,57
"Trat",19,13,26,53,77,146,138,60,43,31,36,33,675
"Ubon Ratchathani",6,7,27,54,134,340,548,699,463,307,238,99,2922
"Udon Thani",2,0,2,1,5,11,6,18,21,11,25,4,106
"Uthai Thani",9,5,4,27,76,101,172,230,235,165,138,46,1208
"Uttaradit",2,0,0,3,5,14,33,59,73,30,30,14,263
"Yala",3,3,7,4,5,9,13,7,10,6,15,15,97
"Yasothon",2,3,1,6,18,57,107,226,147,55,31,13,666
