"area","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","total"
"Amnat Charoen",0,1,4,0,4,7,30,18,15,16,11,6,112
"Ang Thong",3,4,9,2,9,6,19,4,5,6,16,5,88
"Bangkok",200,156,120,86,77,110,157,189,213,239,367,208,2122
"Bungkan",1,1,2,6,25,49,10,12,10,6,4,0,126
"Buri Ram",4,16,10,11,12,31,26,42,38,14,15,1,220
"Chachoengsao",7,3,5,2,7,11,12,21,21,23,23,8,143
"Chai Nat",1,1,0,0,3,3,11,3,1,1,6,4,34
"Chaiyaphum",3,3,5,10,30,74,79,58,34,46,28,16,386
"Chanthaburi",6,6,22,23,49,82,123,128,91,84,49,53,716
"Chiang Mai",8,6,2,5,14,62,121,153,125,64,32,22,614
"Chiang Rai",15,4,4,3,23,41,50,28,43,21,42,20,294
"Chon Buri",16,12,24,14,11,22,24,24,18,22,37,25,249
"Chumphon",16,24,25,17,20,56,69,44,38,40,41,29,419
"Kalasin",4,9,16,10,24,26,38,55,43,37,7,2,271
"Kamphaeng Phet",5,4,13,12,22,136,176,91,36,17,17,10,539
"Kanchanaburi",2,10,7,15,6,7,7,4,12,12,17,5,104
"Khon Kaen",4,12,15,3,11,27,47,50,49,33,17,9,277
"Krabi",14,10,16,15,50,79,67,37,28,20,30,20,386
"Lampang",2,1,1,2,16,25,22,10,11,10,9,4,113
"Lamphun",0,1,0,2,0,3,6,3,2,0,3,1,21
"Loei",2,4,3,5,7,9,9,22,5,4,8,2,80
"Lop Buri",9,18,21,23,41,52,33,66,30,44,65,26,428
"Mae Hong Son",2,2,3,13,40,65,124,98,31,23,22,3,426
"Maha Sarakham",9,27,17,3,14,26,35,38,35,24,15,9,252
"Mukdahan",1,1,2,5,12,8,7,12,4,4,1,0,57
"Nakhon Nayok",1,0,4,4,5,3,4,11,8,4,8,3,55
"Nakhon Pathom",24,27,34,17,12,14,17,46,51,43,61,46,392
"Nakhon Phanom",0,0,9,3,7,17,30,14,6,5,1,3,95
"Nakhon Ratchasima",15,16,13,7,37,57,51,60,50,48,57,36,447
"Nakhon Sawan",5,14,29,13,23,53,77,59,48,28,37,24,410
"Nakhon Si Thammarat",63,44,56,35,91,157,319,346,330,303,246,131,2121
"Nan",1,0,0,25,86,143,72,47,22,3,0,2,401
"Narathiwat",34,19,3,6,13,15,44,75,67,66,48,25,415
"Nong Bua Lam Phu",0,5,8,3,3,4,15,13,8,1,0,1,61
"Nong Khai",1,3,3,2,6,63,61,25,1,1,0,0,166
"Nonthaburi",26,14,13,5,9,7,7,8,38,20,19,23,189
"P.Nakhon S.Ayutthaya",9,10,8,4,6,11,10,12,18,16,25,10,139
"Pathum Thani",15,9,13,11,4,4,14,21,12,26,22,22,173
"Pattani",38,14,8,7,18,48,85,73,41,34,16,8,390
"Phangnga",5,5,12,11,19,17,14,2,2,1,0,2,90
"Phatthalung",36,42,29,26,16,69,39,50,40,69,59,48,523
"Phayao",0,0,0,0,5,13,15,13,8,4,4,6,68
"Phetchabun",1,2,2,3,1,8,14,14,4,2,4,6,61
"Phetchaburi",16,22,35,17,16,27,30,35,45,34,74,46,397
"Phichit",12,13,19,9,9,34,62,44,39,14,18,6,279
"Phitsanulok",3,6,6,1,6,5,14,18,14,16,8,5,102
"Phrae",2,2,2,3,17,42,77,58,21,7,7,5,243
"Phuket",52,14,7,8,9,18,52,48,27,21,10,5,271
"Prachin Buri",7,7,18,14,23,30,62,53,47,25,11,9,306
"Prachuap Khiri Khan",1,5,12,8,13,12,24,19,15,6,22,32,169
"Ranong",4,2,9,7,26,33,11,8,7,6,6,6,125
"Ratchaburi",19,31,31,20,14,31,94,125,103,57,103,66,694
"Rayong",18,28,33,16,31,32,31,32,40,65,69,62,457
"Roi Et",2,7,9,6,13,34,60,84,48,18,12,9,302
"Sa Kaeo",1,1,5,8,12,22,39,24,13,12,9,1,147
"Sakon Nakhon",0,0,0,2,3,9,8,14,12,8,4,2,62
"Samut Prakan",28,40,39,19,12,20,25,25,25,52,47,58,390
"Samut Sakhon",18,12,10,8,10,16,21,37,35,36,47,27,277
"Samut Songkhram",1,1,3,8,16,5,11,11,14,23,21,12,126
"Saraburi",10,10,22,14,18,21,57,43,35,21,7,9,267
"Satun",10,8,10,13,8,17,18,10,4,7,5,6,116
"Si Sa Ket",4,12,25,12,29,72,75,59,54,33,18,11,404
"Sing Buri",0,0,4,0,0,3,0,0,0,0,0,0,7
"Songkhla",0,0,4,22,23,39,87,36,54,60,25,31,381
"Sukhothai",6,9,10,3,15,22,35,17,32,20,7,4,180
"Suphan Buri",3,5,13,3,13,20,20,21,8,15,8,11,140
"Surat Thani",26,13,22,15,25,73,115,86,71,81,41,40,608
"Surin",4,10,21,13,54,31,65,99,57,45,27,8,434
"Tak",5,7,17,11,21,54,54,73,53,30,44,23,392
"Trang",8,2,2,4,11,14,12,1,2,9,0,1,66
"Trat",2,6,2,6,22,35,11,16,9,5,6,5,125
"Ubon Ratchathani",5,2,7,6,35,61,54,62,35,23,18,8,316
"Udon Thani",1,6,0,2,2,3,5,4,4,0,0,0,27
"Uthai Thani",3,5,4,2,5,5,25,9,13,17,34,15,137
"Uttaradit",0,0,5,5,10,7,14,28,13,3,3,3,91
"Yala",8,10,11,12,24,52,54,40,37,33,27,17,325
"Yasothon",0,0,3,4,3,18,40,27,19,6,10,4,134
