NAME_1,tn,fp,fn,tp,population,accuracy,prevalence,precision,npv,recall,specificity,f1
Amnat Charoen,100,0,0,0,100,1.0,0.0,0,1,0,1.0,0
Ang Thong,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Bangkok Metropolis,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Bueng Kan,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Buri Ram,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Chachoengsao,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Chai Nat,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Chaiyaphum,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Chanthaburi,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Chiang Mai,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Chiang Rai,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Chon Buri,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Chumphon,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Kalasin,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Kamphaeng Phet,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Kanchanaburi,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Khon Kaen,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Krabi,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Lampang,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Lamphun,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Loei,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Lop Buri,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Mae Hong Son,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Maha Sarakham,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Mukdahan,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Nakhon Nayok,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Nakhon Pathom,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Nakhon Phanom,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Nakhon Ratchasima,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Nakhon Sawan,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Nakhon Si Thammarat,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Nan,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Narathiwat,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Nong Bua Lam Phu,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Nong Khai,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Nonthaburi,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Pathum Thani,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Pattani,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Phangnga,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Phatthalung,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Phayao,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Phetchabun,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Phetchaburi,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Phichit,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Phitsanulok,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Phra Nakhon Si Ayutthaya,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Phrae,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Phuket,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Prachin Buri,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Prachuap Khiri Khan,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Ranong,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Ratchaburi,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Rayong,100,0,0,0,100,1.0,0.0,0,1,0,1.0,0
Roi Et,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Sa Kaeo,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Sakon Nakhon,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Samut Prakan,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
