NAME_1,total
Amnat Charoen,0.00054506953364346
Ang Thong,0.00077070238458083
Bangkok,0.00093991760852248
Bungkan,0.0006757822153768501
Buri Ram,0.00053574180941767
Chachoengsao,0.0008446874736793199
Chai Nat,0.00064299021862313
Chaiyaphum,0.00080391415694677
Chanthaburi,0.0014323677352425898
Chiang Mai,0.00162272859607939
Chiang Rai,0.00200788657947649
Chon Buri,0.0007461857466863999
Chumphon,0.00081869249242314
Kalasin,0.0005185993385700401
Kamphaeng Phet,0.00062969728606352
Kanchanaburi,0.0003979737565485711
Khon Kaen,0.00059658476242088
Krabi,0.0008304525510224901
Lampang,0.0009016945160232801
Lamphun,0.0007359901476237287
Loei,0.00101461758983853
Lop Buri,0.00089827072792677
Mae Hong Son,0.00230236961204322
Maha Sarakham,0.00067838445379419
Mukdahan,0.00084099047449211
Nakhon Nayok,0.00074534630071656
Nakhon Pathom,0.00092326797532713
Nakhon Phanom,0.0005305782145783699
Nakhon Ratchasima,0.0009688120700706
Nakhon Sawan,0.0010191233364295498
Nakhon Si Thammarat,0.0011044239686863401
Nan,0.0006507547464190874
Narathiwat,0.00047942155848753004
Nong Bua Lam Phu,0.0002947221465460188
Nong Khai,0.00046806954875841
Nonthaburi,0.00051116849538921
P.Nakhon S.Ayutthaya,0.00026946554703552
Pathum Thani,0.00054108297407638
Pattani,0.0012565271955396
Phangnga,0.0006696326389143399
Phatthalung,0.0009599642410802699
Phayao,0.00019764737498372486
Phetchabun,0.00099970902956612
Phetchaburi,0.00118040480292081
Phichit,0.00052028716498603
Phitsanulok,0.00074082142903831
Phrae,0.0007933947686752093
Phuket,0.00091015408314239
Prachin Buri,0.00129148343834377
Prachuap Khiri Khan,0.00053367864439581
Ranong,0.00080534780833503
Ratchaburi,0.00120662908936716
Rayong,0.00155223907859581
Roi Et,0.00078519445320151
Sa Kaeo,0.0007839649271886801
Sakon Nakhon,0.00019762658418723578
Samut Prakan,0.0005315852614037299
Samut Sakhon,0.00108069110820657
Samut Songkhram,0.0010160293267442101
Saraburi,0.00052726898458169
Satun,0.0003973314122720776
Si Sa Ket,0.0009693492171549899
Sing Buri,0.0002479394585263145
Songkhla,0.00079850440933599
Sukhothai,0.00055001579209498
Suphan Buri,0.00040013096181434996
Surat Thani,0.00067250231636754
Surin,0.00120492679119685
Tak,0.00116673221680517
Trang,0.00024162520049280872
Trat,0.00138590729051305
Ubon Ratchathani,0.00093460046233919
Udon Thani,0.00019357517123870022
Uthai Thani,0.0009296414349006899
Uttaradit,0.00064361012110971
Yala,0.00062244958186043
Yasothon,0.00053596882155337
