LOC_ID,RADIUS,X,Y
10,2.6189951362333335,98.72837071600001,18.7893068756
11,1.55980249242,99.8675265033,19.8453088062
12,1.5866214653,101.2003518952,13.1903860338
13,4.560034988866234,99.0627745265,10.3453517241
15,0.9203669274499999,99.5343692775,16.3311076391
17,0.0,102.58029357330001,16.4069945998
20,2.7138963921,98.9558833113,18.1180821675
33,8.5526596583,101.7195262758,6.1792336247
50,3.8507347261,99.6355242869,11.9461992477
53,1.9037952811999999,101.4267100133,12.8552292107
54,0.0,103.8163921939,15.9181321002
57,1.1318581789,100.7109476127,13.5964951188
6,1.5802588563666669,101.43028837870001,13.6060072502
69,3.516566739,98.7910500445,16.7149524965
