NAME_1,tn,fp,fn,tp,population,accuracy,prevalence,precision,npv,recall,specificity,f1
Amnat Charoen,96,4,0,0,100,0.96,0.04,0,1,0,0.96,0
Ang Thong,95,5,0,0,100,0.95,0.05,0,1,0,0.95,0
Bangkok Metropolis,94,6,0,0,100,0.94,0.06,0,1,0,0.94,0
Bueng Kan,85,15,0,0,100,0.85,0.15,0,1,0,0.85,0
Buri Ram,95,5,0,0,100,0.95,0.05,0,1,0,0.95,0
Chachoengsao,95,5,0,0,100,0.95,0.05,0,1,0,0.95,0
Chai Nat,88,12,0,0,100,0.88,0.12,0,1,0,0.88,0
Chaiyaphum,90,10,0,0,100,0.9,0.1,0,1,0,0.9,0
Chanthaburi,95,5,0,0,100,0.95,0.05,0,1,0,0.95,0
Chiang Mai,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Chiang Rai,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Chon Buri,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Chumphon,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Kalasin,92,8,0,0,100,0.92,0.08,0,1,0,0.92,0
Kamphaeng Phet,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Kanchanaburi,96,4,0,0,100,0.96,0.04,0,1,0,0.96,0
Khon Kaen,89,11,0,0,100,0.89,0.11,0,1,0,0.89,0
Krabi,94,6,0,0,100,0.94,0.06,0,1,0,0.94,0
Lampang,95,5,0,0,100,0.95,0.05,0,1,0,0.95,0
Lamphun,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Loei,95,5,0,0,100,0.95,0.05,0,1,0,0.95,0
Lop Buri,92,8,0,0,100,0.92,0.08,0,1,0,0.92,0
Mae Hong Son,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Maha Sarakham,91,9,0,0,100,0.91,0.09,0,1,0,0.91,0
Mukdahan,90,10,0,0,100,0.9,0.1,0,1,0,0.9,0
Nakhon Nayok,94,6,0,0,100,0.94,0.06,0,1,0,0.94,0
Nakhon Pathom,93,7,0,0,100,0.93,0.07,0,1,0,0.93,0
Nakhon Phanom,87,13,0,0,100,0.87,0.13,0,1,0,0.87,0
Nakhon Ratchasima,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Nakhon Sawan,90,10,0,0,100,0.9,0.1,0,1,0,0.9,0
Nakhon Si Thammarat,91,9,0,0,100,0.91,0.09,0,1,0,0.91,0
Nan,96,4,0,0,100,0.96,0.04,0,1,0,0.96,0
Narathiwat,96,4,0,0,100,0.96,0.04,0,1,0,0.96,0
Nong Bua Lam Phu,95,5,0,0,100,0.95,0.05,0,1,0,0.95,0
Nong Khai,91,9,0,0,100,0.91,0.09,0,1,0,0.91,0
Nonthaburi,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Pathum Thani,95,5,0,0,100,0.95,0.05,0,1,0,0.95,0
Pattani,95,5,0,0,100,0.95,0.05,0,1,0,0.95,0
Phangnga,96,4,0,0,100,0.96,0.04,0,1,0,0.96,0
Phatthalung,93,7,0,0,100,0.93,0.07,0,1,0,0.93,0
Phayao,98,2,0,0,100,0.98,0.02,0,1,0,0.98,0
Phetchabun,99,1,0,0,100,0.99,0.01,0,1,0,0.99,0
Phetchaburi,97,3,0,0,100,0.97,0.03,0,1,0,0.97,0
Phichit,86,14,0,0,100,0.86,0.14,0,1,0,0.86,0
