"area","<28days","<1yr","1+","2+","3+","4+","5+","6+","7-9","10-14","15-24","25-34","35-44","45-54","55-64","65+","unknown","year"
"Amnat Charoen",0,2,1,0,1,0,1,2,10,48,60,8,12,8,2,1,0,2015
"Ang Thong",0,0,1,2,2,2,2,3,8,58,81,46,27,23,15,8,0,2015
"Bangkok",1,60,47,72,94,91,102,127,600,1572,3391,3010,2011,1211,733,345,0,2015
"Bungkan",0,0,1,1,1,0,0,3,8,29,35,15,5,8,1,2,0,2015
"Buri Ram",1,15,2,8,15,17,18,29,156,289,307,88,69,33,21,12,0,2015
"Chachoengsao",0,4,2,2,2,4,12,13,25,104,180,145,67,46,33,10,0,2015
"Chai Nat",0,2,0,1,1,0,4,2,9,25,61,52,23,17,8,4,0,2015
"Chaiyaphum",0,3,7,10,12,11,32,25,117,284,369,156,78,49,24,17,0,2015
"Chanthaburi",0,2,0,1,1,2,7,12,38,61,147,131,91,51,36,11,0,2015
"Chiang Mai",0,3,3,2,2,3,0,7,22,64,188,140,90,74,59,20,0,2015
"Chiang Rai",0,2,0,1,2,1,1,0,8,21,38,49,27,29,31,14,0,2015
"Chon Buri",0,10,7,6,9,22,18,30,76,202,429,241,135,67,32,11,0,2015
"Chumphon",0,0,0,1,2,1,0,3,8,9,19,15,8,3,1,2,0,2015
"Kalasin",0,3,1,1,3,3,4,8,31,83,108,32,27,16,11,7,0,2015
"Kamphaeng Phet",0,1,0,1,1,2,3,4,7,29,81,30,17,4,5,3,0,2015
"Kanchanaburi",0,5,0,4,8,9,7,12,58,108,115,40,32,12,7,0,0,2015
"Khon Kaen",0,4,2,11,16,13,10,23,93,220,340,181,91,40,30,12,0,2015
"Krabi",0,16,11,14,12,18,22,19,82,171,327,224,104,58,24,16,0,2015
"Lampang",0,0,0,0,0,2,0,0,3,28,94,72,35,18,25,5,0,2015
"Lamphun",0,1,0,0,1,1,1,4,7,8,33,20,11,4,4,4,0,2015
"Loei",0,0,0,0,2,4,0,0,10,35,54,33,34,11,7,2,0,2015
"Lop Buri",0,1,2,7,4,5,10,12,59,117,226,109,52,37,21,12,0,2015
"Mae Hong Son",0,0,0,1,0,0,1,1,5,13,43,30,25,13,10,6,0,2015
"Maha Sarakham",0,0,1,2,3,3,3,13,32,87,165,39,25,12,2,5,0,2015
"Mukdahan",0,0,0,0,0,2,0,1,6,14,40,24,18,6,2,0,0,2015
"Nakhon Nayok",0,0,0,0,0,0,1,1,4,16,24,22,13,4,6,2,0,2015
"Nakhon Pathom",0,7,6,6,12,14,15,20,79,222,511,211,157,106,58,37,0,2015
"Nakhon Phanom",0,6,1,1,1,3,4,8,30,60,79,27,21,11,2,3,0,2015
"Nakhon Ratchasima",0,21,7,25,47,43,36,57,296,657,1022,491,291,125,76,26,0,2015
"Nakhon Sawan",0,0,10,7,7,12,15,17,80,206,388,203,111,87,47,32,0,2015
"Nakhon Si Thammarat",0,13,11,9,9,13,10,10,49,90,204,90,68,45,26,18,0,2015
"Nan",0,0,1,1,0,1,2,0,7,9,37,17,15,16,15,5,0,2015
"Narathiwat",0,5,7,8,5,6,4,8,30,105,137,114,63,35,29,13,0,2015
"Nong Bua Lam Phu",0,0,0,0,0,1,0,3,11,30,43,13,1,3,2,0,0,2015
"Nong Khai",0,4,2,5,4,3,10,4,49,88,149,41,23,11,8,7,0,2015
"Nonthaburi",0,3,0,5,5,3,5,8,35,124,280,150,104,67,47,31,0,2015
"P.Nakhon S.Ayutthaya",0,7,3,3,3,3,7,4,30,86,251,209,88,64,30,20,0,2015
"Pathum Thani",0,4,2,4,0,5,7,7,38,76,308,145,108,65,40,11,1,2015
"Pattani",0,9,10,11,5,11,15,25,58,89,73,47,24,14,15,7,0,2015
"Phangnga",0,0,0,3,1,4,3,1,14,35,50,33,25,9,11,4,0,2015
"Phatthalung",0,1,2,1,1,3,2,1,13,20,60,29,20,18,14,4,0,2015
"Phayao",0,0,0,0,0,1,0,1,6,5,17,9,14,6,3,2,0,2015
