"area","<28days","<1yr","1+","2+","3+","4+","5+","6+","7-9","10-14","15-24","25-34","35-44","45-54","55-64","65+","unknown","year"
"Amnat Charoen",0,0,0,0,0,3,0,3,4,24,20,8,7,3,1,2,0,2018
"Ang Thong",0,1,1,1,0,0,1,4,5,17,34,17,13,6,6,3,0,2018
"Bangkok",1,19,21,35,38,50,54,71,233,524,1071,944,603,318,208,123,0,2018
"Bungkan",0,5,0,0,1,0,2,4,15,21,28,15,8,3,1,1,0,2018
"Buri Ram",0,3,2,6,8,13,15,31,86,207,144,34,21,8,8,7,0,2018
"Chachoengsao",0,1,0,5,4,3,10,8,29,76,131,82,48,31,14,1,0,2018
"Chai Nat",0,0,0,1,1,0,0,0,2,5,18,13,8,2,2,3,0,2018
"Chaiyaphum",0,1,3,1,1,7,4,2,33,59,45,18,23,7,5,3,0,2018
"Chanthaburi",0,2,1,0,1,4,1,8,12,23,32,18,9,3,2,2,0,2018
"Chiang Mai",0,2,1,1,0,2,1,4,9,42,101,105,64,46,36,12,0,2018
"Chiang Rai",0,2,1,6,1,0,4,6,17,21,44,62,46,31,45,17,0,2018
"Chon Buri",0,8,3,5,10,10,16,21,74,168,263,172,89,34,21,12,0,2018
"Chumphon",0,0,1,0,2,2,2,0,0,7,10,8,2,1,1,0,0,2018
"Kalasin",0,0,1,0,0,1,3,5,14,44,45,19,11,10,5,2,0,2018
"Kamphaeng Phet",0,1,0,2,1,2,1,3,15,49,56,35,21,6,3,2,0,2018
"Kanchanaburi",0,2,2,1,2,5,4,8,17,36,40,24,14,10,4,2,0,2018
"Khon Kaen",0,1,6,3,2,7,2,26,63,121,145,68,27,16,8,6,0,2018
"Krabi",0,9,4,1,3,10,12,11,62,108,124,89,40,8,4,4,0,2018
"Lampang",0,0,0,0,0,0,0,0,4,8,18,11,10,6,7,1,0,2018
"Lamphun",0,0,0,0,0,0,1,1,2,2,9,12,9,5,6,3,0,2018
"Loei",0,1,2,2,1,3,2,4,19,43,37,21,14,11,8,1,0,2018
"Lop Buri",0,6,1,3,4,10,9,10,49,72,88,28,17,11,2,6,0,2018
"Mae Hong Son",0,0,0,1,1,0,0,1,2,20,24,20,13,10,11,8,0,2018
"Maha Sarakham",0,2,1,3,3,5,3,7,34,83,82,26,16,7,3,1,0,2018
"Mukdahan",0,0,0,0,0,0,0,1,1,8,10,9,4,3,2,1,0,2018
