"area","<28days","<1yr","1+","2+","3+","4+","5+","6+","7-9","10-14","15-24","25-34","35-44","45-54","55-64","65+","unknown","year"
"Amnat Charoen",0,0,0,2,3,1,1,1,13,28,33,6,4,3,2,0,0,2012
"Ang Thong",0,1,1,0,0,0,3,3,9,16,29,12,10,3,1,3,1,2012
"Bangkok",0,0,1991,1592,1010,593,392,240,489,0,0,0,0,0,0,0,70,2012
"Bungkan",0,0,0,2,0,1,1,1,14,26,14,2,1,1,0,0,0,2012
"Buri Ram",0,16,2,20,31,33,55,63,240,476,290,58,39,23,5,6,0,2012
"Chachoengsao",0,10,2,10,14,11,9,19,64,149,279,170,85,46,31,10,0,2012
"Chai Nat",0,1,0,3,1,0,6,3,19,36,55,9,11,6,6,2,0,2012
"Chaiyaphum",0,7,7,8,7,9,23,24,93,199,150,28,26,7,2,0,0,2012
"Chanthaburi",0,3,3,3,8,7,4,8,25,84,168,86,44,19,6,7,0,2012
"Chiang Mai",0,2,3,3,1,3,7,4,26,58,153,134,70,44,38,22,0,2012
"Chiang Rai",0,2,0,1,2,1,2,3,12,40,106,95,65,62,28,16,0,2012
"Chon Buri",0,19,6,17,23,15,21,39,114,227,404,164,89,35,28,14,0,2012
"Chumphon",0,2,0,2,3,5,3,4,16,59,100,39,19,13,3,1,0,2012
"Kalasin",0,3,0,0,5,3,3,8,35,92,75,13,5,4,4,1,0,2012
"Kamphaeng Phet",0,5,3,3,4,4,11,6,45,106,197,70,41,18,13,11,0,2012
"Kanchanaburi",0,13,6,11,13,9,13,20,68,118,180,73,39,20,11,8,0,2012
"Khon Kaen",0,6,5,4,14,17,15,24,77,209,248,71,29,14,8,5,0,2012
"Krabi",0,17,8,8,24,29,26,34,109,228,337,144,71,34,13,5,0,2012
"Lampang",0,4,0,0,1,0,0,0,2,6,22,10,2,4,1,0,8,2012
"Lamphun",0,0,0,0,0,1,0,0,0,8,14,4,1,6,2,2,0,2012
"Loei",0,2,1,1,0,4,2,4,14,62,78,24,22,4,4,1,0,2012
"Lop Buri",0,4,10,15,16,14,17,33,74,170,215,97,38,24,13,7,0,2012
"Mae Hong Son",0,0,0,0,0,2,0,0,4,8,19,16,9,5,2,1,0,2012
"Maha Sarakham",0,2,1,4,2,3,8,7,30,118,156,29,5,2,3,1,0,2012
"Mukdahan",0,0,1,0,0,0,3,1,12,27,31,13,7,1,1,1,0,2012
"Nakhon Nayok",0,1,0,1,0,0,1,0,3,5,17,3,5,1,1,0,0,2012
"Nakhon Pathom",0,5,4,6,7,13,10,17,50,146,224,80,57,40,15,8,0,2012
"Nakhon Phanom",0,0,0,0,4,2,2,6,26,30,35,13,4,5,2,2,0,2012
"Nakhon Ratchasima",0,28,9,31,31,38,40,51,240,577,640,231,101,45,26,15,0,2012
"Nakhon Sawan",0,4,13,13,10,16,24,17,103,266,426,130,68,26,13,11,0,2012
