"area","<28days","<1yr","1+","2+","3+","4+","5+","6+","7-9","10-14","15-24","25-34","35-44","45-54","55-64","65+","unknown","year"
"Amnat Charoen",0,0,0,0,0,0,1,1,2,4,5,2,0,3,0,1,0,2014
"Ang Thong",0,0,0,0,3,1,1,1,6,12,13,11,0,4,1,2,0,2014
"Bangkok",0,18,9,13,16,21,30,40,152,326,703,563,325,194,116,50,0,2014
"Bungkan",0,0,1,0,1,0,0,1,6,6,13,4,1,0,1,0,0,2014
"Buri Ram",0,9,4,5,12,7,13,10,44,80,44,16,6,4,5,1,0,2014
"Chachoengsao",0,0,1,0,1,1,2,2,11,25,51,35,16,11,7,0,0,2014
"Chai Nat",0,0,0,0,0,0,0,1,1,5,5,2,3,6,1,3,0,2014
"Chaiyaphum",0,4,2,1,1,4,6,11,34,70,71,29,15,7,4,1,0,2014
"Chanthaburi",0,2,0,0,1,2,2,4,10,43,108,91,68,33,20,9,0,2014
"Chiang Mai",0,0,2,0,1,0,4,2,10,16,38,33,30,17,9,5,0,2014
"Chiang Rai",0,1,0,0,0,0,0,0,0,0,2,4,3,3,1,1,0,2014
"Chon Buri",0,4,13,8,2,7,12,8,25,44,111,64,35,21,10,11,0,2014
"Chumphon",0,1,1,0,0,2,0,3,6,21,23,20,12,7,0,1,0,2014
"Kalasin",0,0,0,0,0,0,1,2,6,13,15,3,5,2,0,1,0,2014
"Kamphaeng Phet",0,2,0,0,3,5,1,6,18,49,81,21,14,9,4,0,0,2014
"Kanchanaburi",0,1,2,2,8,9,10,11,26,39,47,24,20,11,2,1,0,2014
"Khon Kaen",0,0,1,6,3,4,6,6,11,23,49,14,10,5,5,0,0,2014
"Krabi",1,8,7,10,8,12,9,13,52,99,160,114,45,27,16,11,0,2014
"Lampang",0,0,0,0,0,0,0,1,0,8,18,4,4,4,6,2,0,2014
"Lamphun",0,0,0,0,0,0,0,0,2,2,4,3,1,1,1,0,0,2014
"Loei",0,0,0,2,0,0,0,1,1,6,5,4,3,0,1,0,0,2014
