"area","<28days","<1yr","1+","2+","3+","4+","5+","6+","7-9","10-14","15-24","25-34","35-44","45-54","55-64","65+","unknown","year"
"Amnat Charoen",0,0,0,1,0,0,2,0,6,25,14,10,4,0,2,0,0,2020
"Ang Thong",0,1,1,1,0,1,2,2,12,44,68,44,16,13,15,9,0,2020
"Bangkok",0,4,11,11,10,9,17,21,88,204,540,544,362,203,121,73,0,2020
"Bungkan",0,3,0,1,2,1,2,1,18,44,28,14,5,2,6,0,0,2020
"Buri Ram",0,4,2,1,0,3,17,16,52,105,111,28,11,8,9,8,0,2020
"Chachoengsao",0,0,0,0,1,0,1,1,5,9,33,7,4,9,1,0,0,2020
"Chai Nat",0,0,1,1,0,1,4,2,17,40,59,33,18,13,9,4,0,2020
"Chaiyaphum",0,4,3,7,4,4,7,13,70,163,181,53,26,15,5,4,0,2020
"Chanthaburi",0,0,0,0,0,1,1,1,6,12,26,11,7,2,4,2,0,2020
"Chiang Mai",0,2,5,0,7,7,3,0,15,43,113,108,90,47,42,35,0,2020
"Chiang Rai",0,0,1,0,0,1,0,1,3,12,31,25,26,15,28,13,0,2020
"Chon Buri",0,5,0,2,3,6,9,2,38,100,166,125,75,31,26,16,0,2020
"Chumphon",0,0,1,0,0,0,0,0,1,2,14,7,3,1,0,0,0,2020
"Kalasin",0,1,0,0,1,2,3,2,15,54,64,20,8,5,4,2,0,2020
"Kamphaeng Phet",0,1,0,0,0,1,0,3,5,13,23,14,7,3,2,2,0,2020
"Kanchanaburi",0,2,1,0,2,0,1,3,14,37,32,26,13,7,7,2,0,2020
"Khon Kaen",0,12,3,8,9,14,12,22,82,252,292,121,32,31,20,10,0,2020
"Krabi",0,7,2,1,0,3,1,2,9,13,28,14,12,1,1,4,0,2020
"Lampang",0,0,0,0,0,0,0,0,5,17,46,29,12,7,8,9,0,2020
"Lamphun",0,1,0,0,0,0,0,0,0,1,6,0,2,4,7,8,0,2020
"Loei",0,1,1,1,0,2,3,1,23,42,68,32,18,11,13,5,0,2020
"Lop Buri",0,6,3,2,5,3,5,4,23,65,114,61,25,19,12,13,0,2020
"Mae Hong Son",0,0,0,1,0,0,0,1,6,19,54,35,27,21,21,12,0,2020
"Maha Sarakham",0,4,0,2,2,6,9,9,43,123,177,68,31,12,6,5,0,2020
"Mukdahan",0,0,1,0,0,0,0,2,5,10,34,16,6,3,0,0,0,2020
"Nakhon Nayok",0,1,0,0,0,0,0,2,1,7,7,3,1,2,1,2,0,2020
