"area","<28days","<1yr","1+","2+","3+","4+","5+","6+","7-9","10-14","15-24","25-34","35-44","45-54","55-64","65+","unknown","year"
"Amnat Charoen",0,1,3,0,2,4,5,4,20,58,83,16,17,10,2,2,0,2019
"Ang Thong",0,0,1,0,1,0,1,1,13,30,54,23,15,11,8,3,0,2019
"Bangkok",0,15,19,32,37,49,50,58,229,545,1355,1231,786,492,283,169,0,2019
"Bungkan",0,5,1,0,1,5,5,4,27,37,58,25,7,9,2,0,0,2019
"Buri Ram",0,12,10,12,19,23,42,62,246,420,380,87,34,22,14,15,0,2019
"Chachoengsao",0,3,3,3,1,5,4,10,33,82,151,49,32,17,16,6,0,2019
"Chai Nat",0,0,0,1,0,1,2,0,6,26,22,14,13,8,1,0,0,2019
"Chaiyaphum",0,7,1,3,5,14,12,19,75,172,135,46,23,8,7,9,0,2019
"Chanthaburi",0,7,0,3,2,8,9,10,35,91,117,71,37,18,6,2,0,2019
"Chiang Mai",0,4,1,4,6,3,7,7,39,90,197,184,122,91,96,43,0,2019
"Chiang Rai",0,2,3,4,8,9,6,7,38,87,167,129,91,83,102,56,0,2019
"Chon Buri",0,5,5,3,8,8,15,16,72,191,400,233,111,78,25,22,0,2019
"Chumphon",0,0,0,1,1,1,3,2,4,18,22,8,6,5,1,1,0,2019
"Kalasin",0,3,0,4,1,6,1,12,29,90,133,36,26,10,10,8,0,2019
"Kamphaeng Phet",0,0,2,0,0,1,2,1,12,19,43,19,6,4,4,0,0,2019
"Kanchanaburi",0,0,1,0,3,4,5,8,23,57,64,42,24,11,8,4,0,2019
"Khon Kaen",0,18,8,9,13,19,24,34,145,308,367,132,53,28,23,15,0,2019
"Krabi",0,2,0,4,8,3,8,8,20,43,64,61,26,9,12,7,0,2019
"Lampang",0,1,1,1,0,1,1,3,8,17,55,36,21,13,14,6,0,2019
"Lamphun",0,0,1,2,0,0,2,0,1,4,19,19,4,2,5,2,0,2019
"Loei",0,3,1,3,7,8,5,16,55,134,162,65,31,34,16,7,0,2019
"Lop Buri",0,5,2,4,2,8,9,11,39,84,133,33,22,21,12,3,0,2019
"Mae Hong Son",0,1,0,1,1,0,3,1,4,11,8,9,6,5,4,2,0,2019
"Maha Sarakham",0,5,1,3,5,8,9,28,59,152,180,62,20,14,5,5,0,2019
"Mukdahan",0,1,1,0,2,0,1,2,12,25,56,20,14,7,2,3,0,2019
"Nakhon Nayok",0,0,0,1,0,2,2,1,2,16,23,11,4,5,1,1,0,2019
