"area","<28days","<1yr","1+","2+","3+","4+","5+","6+","7-9","10-14","15-24","25-34","35-44","45-54","55-64","65+","unknown","year"
"Amnat Charoen",0,0,0,1,1,3,4,5,19,53,37,7,4,2,0,1,0,2013
"Ang Thong",0,0,0,0,0,1,1,2,5,20,27,11,13,4,0,1,0,2013
"Bangkok",1,49,48,55,84,88,119,136,533,1327,2518,1685,1018,553,277,150,0,2013
"Bungkan",0,4,3,2,10,7,12,19,94,148,130,43,26,11,0,0,0,2013
"Buri Ram",0,22,11,15,31,47,45,65,224,488,436,95,41,23,11,9,0,2013
"Chachoengsao",0,3,2,2,5,2,6,7,27,64,143,65,33,16,1,2,0,2013
"Chai Nat",0,2,4,1,2,4,1,1,18,31,56,37,16,10,5,3,0,2013
"Chaiyaphum",0,9,6,13,8,9,12,17,97,208,228,57,26,16,5,5,0,2013
"Chanthaburi",0,7,4,7,2,10,14,17,46,91,165,126,63,46,19,4,0,2013
"Chiang Mai",2,9,6,2,8,16,16,25,79,265,859,504,267,276,146,76,0,2013
"Chiang Rai",0,7,8,6,16,10,12,22,69,176,587,528,351,324,219,96,0,2013
"Chon Buri",0,21,26,12,22,24,31,35,123,213,492,269,108,52,23,9,0,2013
"Chumphon",0,3,1,4,3,2,4,6,18,40,119,48,24,11,5,6,0,2013
"Kalasin",0,5,4,6,4,6,7,18,81,211,225,52,20,12,6,2,0,2013
"Kamphaeng Phet",0,3,2,2,6,4,2,5,35,92,184,67,24,15,5,5,0,2013
"Kanchanaburi",0,6,4,5,5,6,9,12,35,64,72,34,22,4,1,1,0,2013
"Khon Kaen",0,6,5,16,22,15,20,28,127,318,533,146,67,34,19,12,0,2013
"Krabi",2,22,14,16,33,26,27,28,107,255,391,180,85,46,19,15,0,2013
"Lampang",0,0,4,2,2,1,1,7,36,98,368,135,90,71,40,15,0,2013
"Lamphun",0,0,0,0,0,0,1,9,16,38,102,62,44,30,19,10,0,2013
"Loei",0,5,3,8,4,6,10,16,60,157,289,117,56,34,17,9,0,2013
"Lop Buri",0,3,2,2,4,9,9,12,42,70,120,26,15,7,4,2,0,2013
"Mae Hong Son",0,0,0,2,1,4,2,4,16,42,108,78,52,37,26,12,0,2013
"Maha Sarakham",0,5,4,6,11,11,10,19,93,255,440,95,38,15,12,8,0,2013
"Mukdahan",0,3,1,0,1,5,5,6,23,70,116,43,31,12,2,1,0,2013
"Nakhon Nayok",0,1,0,0,0,0,1,1,2,15,26,9,6,4,1,0,0,2013
"Nakhon Pathom",0,11,9,7,6,11,16,15,55,146,256,100,73,29,13,11,0,2013
"Nakhon Phanom",0,11,1,9,9,11,25,25,112,266,313,123,75,32,22,6,0,2013
"Nakhon Ratchasima",0,57,33,44,66,69,67,116,414,980,1245,456,223,105,47,28,0,2013
"Nakhon Sawan",0,9,8,6,14,13,13,19,92,220,399,116,75,37,18,5,0,2013
"Nakhon Si Thammarat",0,24,16,17,35,44,45,71,203,513,764,372,210,127,59,39,0,2013
"Nan",0,0,1,0,0,0,2,0,2,16,46,23,21,27,7,5,0,2013
"Narathiwat",2,1,7,2,5,11,6,8,40,97,240,209,164,92,62,28,10,2013
"Nong Bua Lam Phu",0,3,0,2,6,10,11,9,84,219,236,53,36,21,10,3,0,2013
"Nong Khai",0,5,3,7,8,13,8,12,39,121,107,28,18,9,8,1,0,2013
"Nonthaburi",0,6,6,8,9,10,6,10,54,131,203,91,66,38,19,20,0,2013
"P.Nakhon S.Ayutthaya",0,4,3,2,4,2,6,8,33,87,165,90,44,19,10,3,0,2013
"Pathum Thani",0,5,8,7,3,8,8,12,40,121,185,96,61,35,14,8,0,2013
"Pattani",0,23,16,10,23,22,22,35,104,179,171,73,36,26,9,10,0,2013
"Phangnga",0,6,4,6,7,4,4,8,35,74,156,75,65,59,31,17,0,2013
"Phatthalung",0,2,3,6,6,4,6,10,30,73,159,65,45,26,13,4,0,2013
"Phayao",0,0,2,3,1,3,1,0,6,22,94,58,27,35,11,10,0,2013
"Phetchabun",0,21,9,17,26,38,46,52,224,526,566,136,82,46,21,12,0,2013
"Phetchaburi",0,3,4,2,4,7,6,6,31,48,66,24,14,9,6,1,0,2013
"Phichit",0,2,0,0,3,1,4,3,22,70,128,53,26,17,9,6,0,2013
"Phitsanulok",0,2,3,1,0,1,3,4,22,83,149,74,28,21,8,4,0,2013
"Phrae",0,0,1,0,0,1,5,0,18,73,122,46,35,27,11,3,0,2013
"Phuket",0,12,5,9,8,11,17,23,50,118,234,166,91,42,21,5,1,2013
"Prachin Buri",0,4,3,5,1,2,4,6,31,77,93,44,21,11,2,0,0,2013
"Prachuap Khiri Khan",0,1,0,1,3,5,2,7,11,25,56,28,19,6,5,4,0,2013
"Ranong",0,1,1,1,3,3,2,0,11,13,25,10,9,7,0,3,0,2013
"Ratchaburi",0,5,2,3,4,6,11,10,30,100,165,61,35,24,9,6,0,2013
"Rayong",0,8,10,9,11,16,19,26,103,159,281,194,102,35,8,6,0,2013
"Roi Et",0,7,7,19,21,24,37,52,208,621,673,131,59,28,14,11,0,2013
"Sa Kaeo",0,1,3,5,1,11,9,13,38,74,64,12,17,4,5,2,0,2013
"Sakon Nakhon",1,1,0,2,4,3,6,8,21,71,65,18,13,3,2,2,0,2013
"Samut Prakan",0,8,2,6,5,7,9,9,57,151,324,160,114,55,28,8,0,2013
"Samut Sakhon",0,7,8,5,3,6,8,5,30,77,185,75,53,23,10,4,0,2013
"Samut Songkhram",0,0,0,0,0,0,0,2,3,13,31,11,6,3,0,0,0,2013
"Saraburi",0,7,2,4,5,3,8,12,33,95,125,53,25,16,5,2,0,2013
"Satun",0,1,0,2,4,2,1,5,13,23,44,20,6,4,1,1,0,2013
"Si Sa Ket",0,10,7,5,19,25,38,47,142,450,441,130,74,33,24,7,0,2013
"Sing Buri",0,0,0,0,0,0,1,0,5,12,32,16,8,1,2,0,0,2013
"Songkhla",0,37,16,30,54,55,78,98,338,675,1042,581,284,148,69,29,0,2013
"Sukhothai",0,4,2,2,2,6,5,8,34,67,90,22,11,8,7,1,0,2013
"Suphan Buri",0,1,1,3,4,1,4,10,26,65,114,63,19,15,7,8,0,2013
"Surat Thani",0,2,1,1,3,1,0,0,8,19,41,28,6,3,3,0,0,2013
"Surin",0,18,10,21,29,31,35,52,204,372,340,83,39,20,10,5,0,2013
"Tak",0,2,3,2,9,12,12,6,38,94,123,59,24,14,10,4,0,2013
"Trang",0,11,3,5,5,8,9,11,49,121,280,134,74,30,15,11,0,2013
"Trat",0,1,0,3,2,3,1,4,13,28,57,42,19,16,8,2,0,2013
"Ubon Ratchathani",0,25,14,11,14,22,34,41,121,285,357,116,64,24,15,7,0,2013
"Udon Thani",0,13,4,9,10,7,7,23,87,232,222,96,30,8,6,1,0,2013
"Uthai Thani",0,3,0,4,2,2,8,2,20,49,70,25,13,9,1,2,0,2013
"Uttaradit",0,0,0,1,1,3,3,2,6,27,37,13,10,2,1,2,0,2013
"Yala",0,0,1,1,1,2,0,1,15,23,36,32,21,8,2,2,0,2013
"Yasothon",0,3,2,3,4,5,15,10,52,109,113,27,13,5,3,1,0,2013
