2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Area
13.213946587537095,11.139354838709679,12.956763925729438,12.537228260869565,11.33219512195122,12.270093457943927,15.489162561576356,14.588161209068009,14.588812785388129,11.92872340425532,10.845301204819277,9.3,14.244281524926683,Bangkok
11.410243902439024,13.160784313725491,11.113829787234042,11.532870370370372,12.299065420560748,11.893650793650792,10.525847457627119,10.701293103448275,12.5582995951417,12.170873786407766,12.364220183486239,12.314077669902911,11.728571428571428,Buri Ram
9.05,9.738297872340425,9.712149532710281,8.975471698113207,12.320183486238532,15.001769911504425,15.172727272727272,12.5525,11.799074074074074,11.103092783505154,11.904464285714285,9.120689655172415,10.142222222222221,Chaiyaphum
15.17116564417178,20.059060402684565,16.52057142857143,23.55722891566265,19.08277777777778,18.266666666666666,18.78242424242424,17.521472392638035,18.952571428571428,14.0646408839779,20.84943820224719,17.41320754716981,17.33375796178344,Chanthaburi
9.266666666666667,10.890990990990991,11.421311475409837,12.820512820512821,11.14158415841584,7.761904761904762,8.844628099173555,11.114444444444445,11.05817610062893,10.135164835164835,12.225249169435216,10.992883895131088,8.66771653543307,Chiang Mai
11.2328,12.552857142857144,11.319310344827587,14.229411764705883,14.688489208633094,10.607975460122699,13.88888888888889,13.824242424242424,14.184722222222222,12.840425531914894,14.76896551724138,11.484375,10.76390977443609,Chiang Rai
12.193617021276596,10.597826086956522,10.34225352112676,11.713801452784503,9.691090909090908,10.93690909090909,10.647739602169983,10.990524534686973,10.99629005059022,10.892119089316989,12.39820359281437,9.35497512437811,11.626666666666667,Chon Buri
11.827218934911242,9.441818181818183,11.69506172839506,12.402380952380952,14.681410256410258,11.422147651006712,9.921472392638037,10.547945205479452,12.241317365269461,12.511258278145696,11.843558282208589,11.985714285714286,12.621556886227546,Chumphon
12.826315789473684,16.134615384615383,,15.613541666666668,15.091,11.570634920634921,14.003960396039606,11.277391304347827,12.07244094488189,10.530841121495326,8.799137931034483,12.294642857142858,0.8292682926829269,Kalasin
10.805940594059408,11.604901960784314,9.97948717948718,9.902362204724408,11.05813953488372,11.673972602739727,9.663636363636364,12.96260162601626,10.771621621621621,10.421186440677966,12.215200000000001,10.949572649572648,8.633928571428571,Kamphaeng Phet
10.083520599250937,9.510666666666667,11.49084249084249,11.863508771929826,11.41937984496124,10.655183946488293,11.95217391304348,10.709677419354838,10.459298245614036,11.459636363636362,11.561450381679391,8.919354838709678,10.173478260869565,Kanchanaburi
13.358095238095236,14.246601941747574,13.13763440860215,9.092233009708737,11.125,13.652475247524753,14.715702479338843,10.09611650485437,11.182727272727272,10.512213740458014,10.309278350515465,7.991525423728813,9.423584905660377,Khon Kaen
16.449305555555554,13.978571428571428,11.993430656934306,,14.677777777777779,14.222333333333333,10.596529968454258,11.589910979228486,13.15539358600583,13.61501416430595,16.795222929936305,14.265191740412979,15.579775280898877,Krabi
8.348148148148148,8.741743119266054,9.948803827751197,13.799052132701421,10.507762557077625,8.691634980988594,10.127649769585252,11.10242718446602,11.963369963369964,8.793032786885245,10.072522522522524,12.106422018348622,9.257674418604651,Lampang
7.840000000000001,9.254128440366973,10.808620689655172,9.847413793103447,9.272916666666667,9.89274193548387,7.6000000000000005,13.285294117647059,13.230232558139535,8.620192307692308,9.396694214876034,7.801980198019802,12.810714285714285,Lamphun
10.665789473684212,10.238842975206612,8.649606299212598,9.917241379310346,10.589166666666667,9.44148148148148,10.782399999999999,11.168115942028987,13.888732394366198,9.199099099099099,13.236752136752138,9.625892857142857,7.911009174311927,Loei
10.288235294117648,12.323952095808385,11.237810945273633,11.957487922705313,10.240394088669952,12.128634361233479,9.647533632286995,12.635467980295566,10.589333333333332,10.727669902912622,12.485514018691589,8.447596153846153,10.772596153846154,Lop Buri
7.9981412639405205,9.027443609022557,9.64140127388535,10.144370860927152,9.821653543307086,8.934754098360655,9.082706766917294,9.789887640449438,10.75290322580645,9.822382671480145,8.086785714285716,7.872727272727272,8.571084337349397,Mae Hong Son
10.953465346534653,12.578260869565218,,,14.530841121495326,16.611009174311924,14.969662921348315,10.258762886597939,12.195535714285715,14.58,12.645833333333334,16.596666666666668,9.348314606741573,Maha Sarakham
11.687272727272726,13.665765765765766,13.945299145299144,12.532727272727271,11.20948275862069,10.52781954887218,11.433962264150944,15.944954128440367,14.432520325203253,10.902083333333332,13.902380952380954,11.727358490566036,11.141758241758241,Mukdahan
16.91796875,16.58712121212121,21.771323529411767,19.314388489208632,17.894573643410855,16.886060606060607,16.14748201438849,15.153125,19.56546762589928,13.59225352112676,13.254838709677419,17.60375939849624,16.371653543307087,Nakhon Phanom
8.692718446601942,10.703626943005183,11.9,9.261990950226245,11.086915887850466,11.258921161825725,11.080099502487561,11.561943319838058,9.699595141700405,9.219597989949749,11.088571428571427,9.855897435897436,10.042081447963803,Nakhon Ratchasima
10.1,9.019417475728156,11.385185185185184,10.092561983471075,11.0803738317757,10.466197183098592,14.013861386138615,14.322727272727272,10.743055555555555,8.894871794871795,9.72962962962963,9.672549019607843,7.346666666666667,Nakhon Sawan
13.332941176470587,9.411620795107034,19.575675675675676,12.272987012987015,12.932686980609418,13.78281690140845,12.131974921630094,13.334670487106017,16.625392670157066,14.368284789644013,13.728823529411764,12.421965317919074,11.648082595870205,Nakhon Si Thammarat
11.052507374631269,13.127200000000002,12.299999999999999,12.469696969696969,10.47211796246649,11.06532438478747,11.541176470588232,12.874590163934426,15.119035532994918,9.49034852546917,10.022025316455696,10.568926553672318,10.055733333333334,Nan
