Area,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Sakon Nakhon,1301.8,1754.5,1829.8,1602.2,1823.4,2142.0,1440.5,1449.8,1892.6,1703.7,1992.8,1680.1,1439.9
Samut Prakan,542.45,432.9,472.0,470.05,413.25,1178.4,1342.25,1308.0,1218.85,1081.05,1152.9,751.45,766.4
Satun,2595.9,1955.1,2264.0,2079.4,2300.2,2380.3,2584.2,2502.5,2373.7,2430.2,2206.3,2341.2,2649.3
Songkhla,1816.6333333333332,1434.6333333333332,1652.8333333333333,1089.7333333333333,1803.3999999999999,1949.7333333333333,1690.5333333333335,2081.1666666666665,2030.7333333333333,1689.4333333333334,2006.3,1560.2666666666667,1270.4333333333332
Sukhothai,883.7,1145.0,1182.5,1771.1,1173.0,1510.0,1176.0,1386.2,1945.5,1147.1,1507.2,1212.5,869.4
Suphan Buri,1084.5,646.9,1303.6,940.3,782.0,945.0,654.2,962.6,999.9,1059.6,1048.9,953.7,960.4
Surat Thani,1333.075,1091.3,1386.125,1210.225,1309.575,1255.6,1001.125,1618.35,1644.225,1258.225,1209.1,1244.3,1147.75
Surin,1445.15,1434.75,683.1,1490.5,1390.5,1487.95,1486.6999999999998,1345.65,1674.4499999999998,1087.45,1451.6,1235.6,1160.35
Tak,1088.75,1156.175,1153.75,1656.625,1318.675,1417.775,1463.65,1242.25,1680.575,1422.4,1348.25,1018.85,1138.05
Trang,1830.1,1861.1,1798.6,1992.8,2452.1,1782.0,2117.2,2303.4,2318.0,2478.1,2455.5,2076.9,1973.5
Trat,4331.3,4326.0,4853.4,6463.2,4860.9,4511.9,6114.8,3686.3,5496.3,5376.8,5111.3,5143.9,3918.4
Ubon Ratchathani,1560.4,1471.1,1323.0,1526.7,2035.5,1396.1,1976.2,1551.5,1956.8,1614.8,1797.0,1880.9,1258.6
Udon Thani,1374.4,1511.8,1423.1,1324.0,1159.9,1662.6,1513.9,1507.7,1714.5,854.9,1352.4,1307.0,1129.1
Uttaradit,1289.8,1676.2,1364.0,2241.0,1083.8,1305.7,1183.3,1156.7,2112.8,1367.1,1345.6,1224.9,825.6
