2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Area
1381.9,2130.3,1802.7,1926.8,1594.8,1905.1,1510.9,1562.1,2060.7,1259.6,1445.0,1519.5,1251.8,Nan
1043.9,1081.8,1564.0,1682.4,1138.4,1172.9,847.0,1158.2,1391.4,1115.5,1173.7,1141.5,807.5,Phayao
1187.9,1283.2,1513.7,1531.8,1207.2,1550.0,841.5,1363.1,1686.1,1475.8,1250.6,1024.9,1064.9,Mae Hong Son
963.6,1118.1,,,1287.5,1175.1,1574.5,1250.8,1647.3,1245.0,1013.7,966.9,1069.3,Mae Hong Son
1218.5,1678.0,,1498.9,1509.1,1457.9,1414.4,1296.9,1533.2,1126.8,1020.7,1377.0,27.2,Kalasin
1402.6,1467.4,1221.8,936.5,1201.5,1378.9,1780.6,1039.9,1230.1,1377.1,1000.0,943.0,998.9,Khon Kaen
832.6,915.4,1039.2,951.4,1342.9,1695.2,1502.1,1506.3,1274.3,1077.0,1333.3,793.5,912.8,Chaiyaphum
2165.5,2189.5,2960.9,2684.7,2308.4,2786.2,2244.5,1939.6,2719.6,1930.1,2054.5,2341.3,2079.2,Nakhon Phanom
933.0,980.0,1380.4,991.8,1177.8,1375.6,1212.5,1386.2,1208.6,1028.5,1306.0,976.7,1171.1,Nakhon Ratchasima
857.7,1085.8,,1055.1,1194.8,1337.8,1014.6,1469.6,1187.2,806.2,1410.7,945.2,1048.2,Nakhon Ratchasima
1210.5,1385.8,1044.7,1320.4,1214.5,1472.5,1287.3,1354.5,1799.8,1236.5,1347.7,1206.2,1029.3,Buri Ram
1128.6,1299.0,,1170.7,1417.5,1524.7,1196.8,1128.2,1302.1,1270.7,,1330.5,1187.4,Buri Ram
1106.3,1157.2,,,1554.8,1810.6,1332.3,995.1,1365.9,1458.0,1214.0,1493.7,832.0,Maha Sarakham
1417.6,1455.8,,1483.2,1515.2,1342.8,1305.2,1147.7,1550.1,1192.7,1606.5,1436.6,1051.7,Roi Et
1215.9,1238.9,1098.5,1150.4,1270.7,1274.6,1347.8,1541.2,1972.2,1021.1,1548.7,1078.1,862.3,Loei
1301.8,1754.5,1829.8,1602.2,1823.4,2142.0,1440.5,1449.8,1892.6,1703.7,1992.8,1680.1,1439.9,Sakon Nakhon
1628.2,1544.5,1366.2,1545.5,1522.4,1541.7,1534.8,1315.0,1804.8,982.7,1608.3,1388.5,1258.6,Surin
1262.1,1325.0,,1435.5,1258.6,1434.2,1438.6,1376.3,1544.1,1192.2,1294.9,1082.7,1062.1,Surin
1694.1,1590.1,1692.5,1375.1,1404.8,2331.0,1843.6,1591.8,2408.8,1516.6,1526.8,1572.6,1523.5,Nong Khai
1374.4,1511.8,1423.1,1324.0,1159.9,1662.6,1513.9,1507.7,1714.5,854.9,1352.4,1307.0,1129.1,Udon Thani
1560.4,1471.1,1323.0,1526.7,2035.5,1396.1,1976.2,1551.5,1956.8,1614.8,1797.0,1880.9,1258.6,Ubon Ratchathani
1285.6,1516.9,1631.6,1378.6,1300.3,1400.2,1212.0,1738.0,1775.2,1046.6,1751.7,1243.1,1013.9,Mukdahan
,,,,1369.4,1808.3,1690.8,2029.3,2473.4,2647.9,2523.5,2318.6,1976.0,Krabi
2368.7,1957.0,1643.1,,2329.4,2458.4,1668.3,1876.5,2038.9,2158.2,2750.2,2517.3,2183.8,Krabi
3470.0,,,,4044.7,3638.0,3912.1,3376.2,4282.1,4372.4,4776.5,3545.7,3274.5,Phangnga
1998.8,1557.9,1894.6,2083.6,2290.3,1701.9,1617.2,1540.0,2044.3,1889.2,1930.5,1678.0,2107.8,Chumphon
1830.1,1861.1,1798.6,1992.8,2452.1,1782.0,2117.2,2303.4,2318.0,2478.1,2455.5,2076.9,1973.5,Trang
2831.6,1849.8,2897.2,2766.9,2598.6,3248.4,2175.5,2699.6,4177.9,2544.4,2840.6,2318.4,2091.0,Nakhon Si Thammarat
1701.6,1227.8,,1958.2,2070.1,1644.5,1694.6,1954.2,2173.0,1895.4,1827.2,1979.6,1857.7,Nakhon Si Thammarat
2352.6,2217.7,,1890.1,2006.2,3268.6,2935.1,2571.6,4001.8,2938.8,2995.6,2377.8,1987.2,Narathiwat
1885.0,1281.1,2085.3,1579.0,1841.2,2598.6,1562.7,2081.7,2290.3,1666.3,1625.8,2013.9,1189.7,Pattani
2463.3,1992.8,1516.7,2153.6,2396.0,2174.3,2451.6,2329.1,2400.6,2716.9,2603.4,2827.6,2485.7,Phuket
2663.6,2102.8,2812.2,2351.9,2952.4,2309.9,2619.6,2782.9,3113.1,3053.9,2944.4,2544.8,2557.6,Phuket
3435.0,3598.0,3726.9,4578.9,4138.1,3787.8,4404.9,3305.5,4150.4,5338.3,4534.8,4779.2,3596.2,Ranong
2247.7,1555.1,3048.4,1985.4,1861.6,2816.5,2119.3,2805.7,2966.1,2483.4,2793.6,1943.0,1573.8,Songkhla
1609.8,1174.3,,1283.8,1590.5,1055.4,1113.1,1436.0,937.3,1241.6,1256.9,984.8,917.9,Songkhla
1592.4,1574.5,1910.1,,1958.1,1977.3,1839.2,2001.8,2188.8,1343.3,1968.4,1753.0,1319.6,Songkhla
2595.9,1955.1,2264.0,2079.4,2300.2,2380.3,2584.2,2502.5,2373.7,2430.2,2206.3,2341.2,2649.3,Satun
,,,,1518.4,1624.7,1420.2,1930.7,1970.8,1493.1,1637.6,1629.4,1454.9,Surat Thani
1992.5,1248.1,1578.0,1229.3,,,,,,,,,,Surat Thani
1885.9,1437.3,2262.8,1643.6,2345.5,2248.7,1336.8,2971.7,2655.5,1618.7,1562.6,1403.2,1421.7,Surat Thani
1453.9,1679.8,1703.7,1968.0,1374.4,1149.0,1247.5,1571.0,1950.6,1921.1,1636.2,1944.6,1714.4,Surat Thani
